bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
    2,   ABAGUG,  Ca1, 2,  5,   O2, 2.208
    2,   ABAGUG,  Ca1, 2,  5,   O3, 2.227
    2,   ABAGUG,  Ca1, 2,  5,  O1B, 2.348
    2,   ABAGUG,  Ca1, 2,  5,   O4, 2.406
    2,   ABAGUG,  Ca1, 2,  5,   O1, 2.301
    3,   ACAHES,  Ca1, 2,  8,   O8, 2.417
    3,   ACAHES,  Ca1, 2,  8,   O2, 2.484
    3,   ACAHES,  Ca1, 2,  8,   O4, 2.354
    3,   ACAHES,  Ca1, 2,  8,   O1,  2.35
    3,   ACAHES,  Ca1, 2,  8,  N1B, 2.791
    3,   ACAHES,  Ca1, 2,  8,   N2, 2.777
    3,   ACAHES,  Ca1, 2,  8,   O5, 2.393
    3,   ACAHES,  Ca1, 2,  8,  O3B, 2.397
    4,   ACAQUR,  Ca1, 2,  8,   N1, 2.503
    4,   ACAQUR,  Ca1, 2,  8,   O3, 2.534
    4,   ACAQUR,  Ca1, 2,  8,   O1, 2.586
    4,   ACAQUR,  Ca1, 2,  8,   O4,   2.6
    4,   ACAQUR,  Ca1, 2,  8,   O2,  2.57
    4,   ACAQUR,  Ca1, 2,  8,   N2, 2.462
    4,   ACAQUR,  Ca1, 2,  8,   N3, 2.486
    4,   ACAQUR,  Ca1, 2,  8,   N4, 2.502
    5,   ACOLOU,  Ca1, 2,  8,   O6, 2.405
    5,   ACOLOU,  Ca1, 2,  8,   O4, 2.427
    5,   ACOLOU,  Ca1, 2,  8,   O8, 2.446
    5,   ACOLOU,  Ca1, 2,  8,   O5, 2.468
    5,   ACOLOU,  Ca1, 2,  8,   O2, 2.482
    5,   ACOLOU,  Ca1, 2,  8,   O3,  2.37
    5,   ACOLOU,  Ca1, 2,  8,   O7, 2.384
    5,   ACOLOU,  Ca1, 2,  8,   O1, 2.392
    7, ADACUE01,  Ca1, 2,  7,   O6, 2.465
    7, ADACUE01,  Ca1, 2,  7,  O3C, 2.334
    7, ADACUE01,  Ca1, 2,  7,  O1C, 2.385
    7, ADACUE01,  Ca1, 2,  7,   O5, 2.398
    7, ADACUE01,  Ca1, 2,  7,   O2, 2.416
    7, ADACUE01,  Ca1, 2,  7,  O4C, 2.425
    7, ADACUE01,  Ca1, 2,  7,   N1, 2.535
    6,   ADACUE,  Ca1, 2,  7,   O4, 2.384
    6,   ADACUE,  Ca1, 2,  7,   O1, 2.325
    6,   ADACUE,  Ca1, 2,  7,  N1C, 2.523
    6,   ADACUE,  Ca1, 2,  7,   O3, 2.455
    6,   ADACUE,  Ca1, 2,  7,  O5*, 2.412
    6,   ADACUE,  Ca1, 2,  7,  O2C, 2.412
    6,   ADACUE,  Ca1, 2,  7,  O6*, 2.374
    8,   AFUMAQ,  Ca1, 2,  7,  O25, 2.355
    8,   AFUMAQ,  Ca1, 2,  7,  O24, 2.359
    8,   AFUMAQ,  Ca1, 2,  7,  O15,  2.36
    8,   AFUMAQ,  Ca1, 2,  7,  O28, 2.366
    8,   AFUMAQ,  Ca1, 2,  7,  O40, 2.416
    8,   AFUMAQ,  Ca1, 2,  7,  O5C, 2.467
    8,   AFUMAQ,  Ca1, 2,  7,  O41, 2.488
   10,   AGIQOX,  Ca1, 2,  6,   N1, 2.374
   10,   AGIQOX,  Ca1, 2,  6,  C37, 2.889
   10,   AGIQOX,  Ca1, 2,  6,  C36, 2.768
   10,   AGIQOX,  Ca1, 2,  6,   N3,  2.35
   10,   AGIQOX,  Ca1, 2,  6,   O1, 2.344
   10,   AGIQOX,  Ca1, 2,  6,   N2, 2.331
   11,   AGIQOX,  Ca2, 2,  6,   O2,   2.3
   11,   AGIQOX,  Ca2, 2,  6,   N5, 2.346
   11,   AGIQOX,  Ca2, 2,  6,   N6, 2.342
   11,   AGIQOX,  Ca2, 2,  6,  C81, 2.859
   11,   AGIQOX,  Ca2, 2,  6,   N4, 2.388
   12,   AGIRAK,  Ca1, 2,  5,   N1, 2.395
   12,   AGIRAK,  Ca1, 2,  5,   O1, 2.377
   12,   AGIRAK,  Ca1, 2,  5,  C46,  2.81
   12,   AGIRAK,  Ca1, 2,  5,   N4,  2.37
   12,   AGIRAK,  Ca1, 2,  5,   N5, 2.463
   12,   AGIRAK,  Ca1, 2,  5,   N2, 2.385
   13,   AGIREO,  Ca1, 2,  6,   N3, 2.408
   13,   AGIREO,  Ca1, 2,  6,   N1, 2.417
   13,   AGIREO,  Ca1, 2,  6,   N5, 2.381
   13,   AGIREO,  Ca1, 2,  6,  C33, 2.756
   13,   AGIREO,  Ca1, 2,  6,   O1, 2.587
   13,   AGIREO,  Ca1, 2,  6,   O2, 2.465
   13,   AGIREO,  Ca1, 2,  6,   N2, 2.432
   15, AHONUG01,  Ca1, 2,  8,   O2, 2.503
   15, AHONUG01,  Ca1, 2,  8,   O9, 2.333
   15, AHONUG01,  Ca1, 2,  8,   N2, 2.918
   15, AHONUG01,  Ca1, 2,  8,   N1, 2.537
   15, AHONUG01,  Ca1, 2,  8,   O6, 2.516
   15, AHONUG01,  Ca1, 2,  8,   O8, 2.357
   15, AHONUG01,  Ca1, 2,  8,   O4, 2.421
   15, AHONUG01,  Ca1, 2,  8,  O1A,  2.46
   15, AHONUG01,  Ca1, 2,  8,   O5,   2.5
   14,   AHONUG,  Ca1, 2,  8,  O1C, 2.447
   14,   AHONUG,  Ca1, 2,  8,   O4, 2.457
   14,   AHONUG,  Ca1, 2,  8,   O8,  2.53
   14,   AHONUG,  Ca1, 2,  8,   O2, 2.545
   14,   AHONUG,  Ca1, 2,  8,   O7, 2.552
   14,   AHONUG,  Ca1, 2,  8,   N1,  2.57
   14,   AHONUG,  Ca1, 2,  8,   N2, 2.941
   14,   AHONUG,  Ca1, 2,  8,   O5, 2.374
   14,   AHONUG,  Ca1, 2,  8,   O6, 2.352
   17, AJIQUG01,  Ca1, 2,  7,   O7, 2.331
   17, AJIQUG01,  Ca1, 2,  7,  O2B,  2.35
   17, AJIQUG01,  Ca1, 2,  7,   O8, 2.359
   17, AJIQUG01,  Ca1, 2,  7,  O3*, 2.367
   17, AJIQUG01,  Ca1, 2,  7,  O4B, 2.372
   17, AJIQUG01,  Ca1, 2,  7,   O2, 2.452
   17, AJIQUG01,  Ca1, 2,  7,   O1,  2.63
   17, AJIQUG01,  Ca1, 2,  7,   C7, 2.865
   16,   AJIQUG,  Ca1, 2,  7,  O1B,  2.34
   16,   AJIQUG,  Ca1, 2,  7,   O8,  2.34
   16,   AJIQUG,  Ca1, 2,  7,   O3, 2.347
   16,   AJIQUG,  Ca1, 2,  7,   O7, 2.359
   16,   AJIQUG,  Ca1, 2,  7,   O2, 2.368
   16,   AJIQUG,  Ca1, 2,  7,  O3B, 2.458
   16,   AJIQUG,  Ca1, 2,  7,  O4B, 2.591
   18,   AKANAC,  Ca1, 2,  6,  N1B, 2.437
   18,   AKANAC,  Ca1, 2,  6,   N1, 2.437
   18,   AKANAC,  Ca1, 2,  6,   N5, 2.448
   18,   AKANAC,  Ca1, 2,  6,  N3B, 2.459
   18,   AKANAC,  Ca1, 2,  6,   N3, 2.459
   18,   AKANAC,  Ca1, 2,  6,  N5B, 2.448
   19,   AKUPAX,  Ca1, 2,  6,   N1, 2.465
   19,   AKUPAX,  Ca1, 2,  6,   O3, 2.481
   19,   AKUPAX,  Ca1, 2,  6,   O5, 2.264
   19,   AKUPAX,  Ca1, 2,  6,   O6, 2.292
   19,   AKUPAX,  Ca1, 2,  6,   O1, 2.437
   19,   AKUPAX,  Ca1, 2,  6,   O4, 2.437
   20,   AKUPAX,  Ca2, 2,  6,   O2, 2.418
   20,   AKUPAX,  Ca2, 2,  6,   O8, 2.259
   20,   AKUPAX,  Ca2, 2,  6,   O4, 2.397
   20,   AKUPAX,  Ca2, 2,  6,   O7, 2.315
   20,   AKUPAX,  Ca2, 2,  6,   N1, 2.512
   20,   AKUPAX,  Ca2, 2,  6,   O3, 2.448
   21,   AKUQEC,  Ca1, 2,  6,  N2B, 2.522
   21,   AKUQEC,  Ca1, 2,  6,   N1, 2.379
   21,   AKUQEC,  Ca1, 2,  6,  N1B, 2.379
   21,   AKUQEC,  Ca1, 2,  6,   O1,  2.38
   21,   AKUQEC,  Ca1, 2,  6,  O1B,  2.38
   21,   AKUQEC,  Ca1, 2,  6,   N2, 2.522
   22,   AKUQEC,  Ca2, 2,  6,  O2B, 2.365
   22,   AKUQEC,  Ca2, 2,  6,   O2, 2.365
   22,   AKUQEC,  Ca2, 2,  6,   N3, 2.394
   22,   AKUQEC,  Ca2, 2,  6,  N3B, 2.394
   22,   AKUQEC,  Ca2, 2,  6,   N4, 2.525
   22,   AKUQEC,  Ca2, 2,  6,  N4B, 2.525
   23,   AKUQIG,  Ca1, 2,  6,  N3A, 2.528
   23,   AKUQIG,  Ca1, 2,  6,   N3, 2.528
   23,   AKUQIG,  Ca1, 2,  6,  N2A, 2.528
   23,   AKUQIG,  Ca1, 2,  6,   N1,  2.39
   23,   AKUQIG,  Ca1, 2,  6,  N1A,  2.39
   23,   AKUQIG,  Ca1, 2,  6,   N2, 2.528
   24,   AKUQIG,  Ca2, 2,  6,  N5A, 2.537
   24,   AKUQIG,  Ca2, 2,  6,   N5, 2.537
   24,   AKUQIG,  Ca2, 2,  6,  N4A,  2.52
   24,   AKUQIG,  Ca2, 2,  6,   N4,  2.52
   24,   AKUQIG,  Ca2, 2,  6,  N6A, 2.399
   24,   AKUQIG,  Ca2, 2,  6,   N6, 2.399
   25,   AKUQOM,  Ca1, 2,  6,   O1, 2.398
   25,   AKUQOM,  Ca1, 2,  6,   O2, 2.359
   25,   AKUQOM,  Ca1, 2,  6,   N1, 2.396
   25,   AKUQOM,  Ca1, 2,  6,   N4, 2.511
   25,   AKUQOM,  Ca1, 2,  6,   N2, 2.534
   25,   AKUQOM,  Ca1, 2,  6,   N3, 2.373
   26,   AKUQUS,  Ca1, 2,  6,   N3, 2.595
   26,   AKUQUS,  Ca1, 2,  6,  N2F, 2.584
   26,   AKUQUS,  Ca1, 2,  6,   N2, 2.584
   26,   AKUQUS,  Ca1, 2,  6,  N1F, 2.404
   26,   AKUQUS,  Ca1, 2,  6,   N1, 2.404
   26,   AKUQUS,  Ca1, 2,  6,  N3F, 2.595
   27,   ALEJOQ,  Ca1, 2,  6,   O1, 2.355
   27,   ALEJOQ,  Ca1, 2,  6,  O2B, 2.302
   27,   ALEJOQ,  Ca1, 2,  6, Cl1B, 2.682
   27,   ALEJOQ,  Ca1, 2,  6,   O2, 2.302
   27,   ALEJOQ,  Ca1, 2,  6,  Cl1, 2.682
   27,   ALEJOQ,  Ca1, 2,  6,  O1B, 2.355
   28,   AMUCOB,  Ca1, 2,  7,  O4L, 2.299
   28,   AMUCOB,  Ca1, 2,  7,  O2D, 2.303
   28,   AMUCOB,  Ca1, 2,  7,  O3D,  2.37
   28,   AMUCOB,  Ca1, 2,  7,  O1H,  2.41
   28,   AMUCOB,  Ca1, 2,  7,  O4J, 2.459
