bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
     1,   ABAWUV,  Fe1, 2,  6,   N3, 2.328
     1,   ABAWUV,  Fe1, 2,  6,   N2,  2.32
     1,   ABAWUV,  Fe1, 2,  6,  Cl3, 2.448
     1,   ABAWUV,  Fe1, 2,  6,  Cl2,  2.46
     1,   ABAWUV,  Fe1, 2,  6,   N1, 2.307
     1,   ABAWUV,  Fe1, 2,  6,  Cl1,  2.45
     2,   ABAWUV,  Fe2, 2,  6,  Cl6, 2.473
     2,   ABAWUV,  Fe2, 2,  6,  Cl5, 2.493
     2,   ABAWUV,  Fe2, 2,  6,   N6, 2.197
     2,   ABAWUV,  Fe2, 2,  6,   N5, 2.207
     2,   ABAWUV,  Fe2, 2,  6,  Cl4, 2.519
     2,   ABAWUV,  Fe2, 2,  6,   N4, 2.213
     3,   ABAWUV,  Fe3, 2,  6,  Cl5, 2.482
     3,   ABAWUV,  Fe3, 2,  6,  Cl4,  2.49
     3,   ABAWUV,  Fe3, 2,  6,  Cl6, 2.514
     3,   ABAWUV,  Fe3, 2,  6,   N9, 2.193
     3,   ABAWUV,  Fe3, 2,  6,   N8, 2.194
     3,   ABAWUV,  Fe3, 2,  6,   N7, 2.209
     4,   ABAYAF,  Fe1, 2,  6,   N4, 1.915
     4,   ABAYAF,  Fe1, 2,  6,   N2, 1.974
     4,   ABAYAF,  Fe1, 2,  6,   N1, 1.965
     4,   ABAYAF,  Fe1, 2,  6,   P2, 2.248
     4,   ABAYAF,  Fe1, 2,  6,   N3,  1.91
     4,   ABAYAF,  Fe1, 2,  6,   P1, 2.259
     5,   ABAYAF,  Fe2, 2,  4,  Br2, 2.447
     5,   ABAYAF,  Fe2, 2,  4,  Br4, 2.463
     5,   ABAYAF,  Fe2, 2,  4,  Br3, 2.484
     5,   ABAYAF,  Fe2, 2,  4,  Br1, 2.408
     8,   ABEMAX,  Fe1, 2,  3,   C1, 2.184
     8,   ABEMAX,  Fe1, 2,  3,  N1A, 1.971
     8,   ABEMAX,  Fe1, 2,  3,   N1, 1.971
    11,   ABEQUV,  Fe1, 2,  6,   N3, 1.911
    11,   ABEQUV,  Fe1, 2,  6,   N2, 2.057
    11,   ABEQUV,  Fe1, 2,  6,  N10, 2.067
    11,   ABEQUV,  Fe1, 2,  6,  N11, 1.917
    11,   ABEQUV,  Fe1, 2,  6,   N1,  1.98
    11,   ABEQUV,  Fe1, 2,  6,   N9, 1.982
    12,   ABEQUV,  Fe2, 2,  6,   N4,  2.12
    12,   ABEQUV,  Fe2, 2,  6,  N12, 2.121
    12,   ABEQUV,  Fe2, 2,  6,   N6, 2.146
    12,   ABEQUV,  Fe2, 2,  6,  N14, 2.155
    12,   ABEQUV,  Fe2, 2,  6,  N13, 2.245
    12,   ABEQUV,  Fe2, 2,  6,   N5, 2.299
    19, ABISOV01,  Fe1, 2,  6,   N5, 1.956
    19, ABISOV01,  Fe1, 2,  6,   N6, 2.003
    19, ABISOV01,  Fe1, 2,  6,   N1, 2.019
    19, ABISOV01,  Fe1, 2,  6,   N3,  2.02
    19, ABISOV01,  Fe1, 2,  6,   N2, 2.027
    19, ABISOV01,  Fe1, 2,  6,   N4, 2.065
    20, ABISOV01,  Fe2, 2,  6,  N11, 1.998
    20, ABISOV01,  Fe2, 2,  6,  N12, 2.031
    20, ABISOV01,  Fe2, 2,  6,   N9, 2.063
    20, ABISOV01,  Fe2, 2,  6,   N7, 2.069
    20, ABISOV01,  Fe2, 2,  6,   N8, 2.079
    20, ABISOV01,  Fe2, 2,  6,  N10,  2.12
    21, ABISOV02,  Fe1, 2,  6,   N5, 1.944
    21, ABISOV02,  Fe1, 2,  6,   N6, 1.955
    21, ABISOV02,  Fe1, 2,  6,   N2, 1.959
    21, ABISOV02,  Fe1, 2,  6,   N3,  1.96
    21, ABISOV02,  Fe1, 2,  6,   N1, 1.969
    21, ABISOV02,  Fe1, 2,  6,   N4, 1.989
    22, ABISOV02,  Fe2, 2,  6,  N11, 1.949
    22, ABISOV02,  Fe2, 2,  6,   N8, 1.954
    22, ABISOV02,  Fe2, 2,  6,  N12, 1.963
    22, ABISOV02,  Fe2, 2,  6,   N7, 1.964
    22, ABISOV02,  Fe2, 2,  6,   N9, 1.964
    22, ABISOV02,  Fe2, 2,  6,  N10, 1.996
    23, ABISOV05,  Fe1, 2,  6,   N5, 1.943
    23, ABISOV05,  Fe1, 2,  6,   N3, 1.958
    23, ABISOV05,  Fe1, 2,  6,   N2, 1.964
    23, ABISOV05,  Fe1, 2,  6,   N6, 1.967
    23, ABISOV05,  Fe1, 2,  6,   N1, 1.972
    23, ABISOV05,  Fe1, 2,  6,   N4,  1.99
    24, ABISOV05,  Fe2, 2,  6,  N11, 1.954
    24, ABISOV05,  Fe2, 2,  6,  N12, 1.956
    24, ABISOV05,  Fe2, 2,  6,   N8, 1.958
    24, ABISOV05,  Fe2, 2,  6,   N7, 1.962
    24, ABISOV05,  Fe2, 2,  6,   N9, 1.966
    24, ABISOV05,  Fe2, 2,  6,  N10, 2.002
    25, ABISOV06,  Fe1, 2,  6,   N5, 1.947
    25, ABISOV06,  Fe1, 2,  6,   N3, 1.951
    25, ABISOV06,  Fe1, 2,  6,   N2, 1.957
    25, ABISOV06,  Fe1, 2,  6,   N6,  1.96
    25, ABISOV06,  Fe1, 2,  6,   N1, 1.963
    25, ABISOV06,  Fe1, 2,  6,   N4, 1.996
    26, ABISOV06,  Fe2, 2,  6,  N11, 1.948
    26, ABISOV06,  Fe2, 2,  6,   N8, 1.953
    26, ABISOV06,  Fe2, 2,  6,  N12,  1.96
    26, ABISOV06,  Fe2, 2,  6,   N9, 1.964
    26, ABISOV06,  Fe2, 2,  6,   N7, 1.969
    26, ABISOV06,  Fe2, 2,  6,  N10, 1.998
    27, ABISOV07,  Fe1, 2,  6,   N2,  1.96
    27, ABISOV07,  Fe1, 2,  6,   N6,  1.96
    27, ABISOV07,  Fe1, 2,  6,   N1, 1.965
    27, ABISOV07,  Fe1, 2,  6,   N3, 1.968
    27, ABISOV07,  Fe1, 2,  6,   N4, 1.997
    27, ABISOV07,  Fe1, 2,  6,   N5, 1.943
    28, ABISOV07,  Fe2, 2,  6,  N11, 1.938
    28, ABISOV07,  Fe2, 2,  6,   N7, 1.957
    28, ABISOV07,  Fe2, 2,  6,  N12, 1.962
    28, ABISOV07,  Fe2, 2,  6,   N8, 1.968
    28, ABISOV07,  Fe2, 2,  6,   N9, 1.969
    28, ABISOV07,  Fe2, 2,  6,  N10, 1.988
    17,   ABISOV,  Fe1, 2,  6,   N5,  2.03
    17,   ABISOV,  Fe1, 2,  6,   N6, 2.092
    17,   ABISOV,  Fe1, 2,  6,   N3,  2.12
