bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
    2,   ABAGUG,  K1, 1,  3,  C13B, 3.138
    2,   ABAGUG,  K1, 1,  3,    O1, 2.842
    2,   ABAGUG,  K1, 1,  3,   O2B, 2.633
    2,   ABAGUG,  K1, 1,  3,    O3, 2.702
    2,   ABAGUG,  K1, 1,  3,   C25, 3.153
    2,   ABAGUG,  K1, 1,  3,  C12B, 3.094
    3,   ABIVIS,  K1, 1,  8,    O3,  2.82
    3,   ABIVIS,  K1, 1,  8,    O1, 2.843
    3,   ABIVIS,  K1, 1,  8,    N1,  3.05
    3,   ABIVIS,  K1, 1,  8,    O5, 2.846
    3,   ABIVIS,  K1, 1,  8,    O2, 2.831
    3,   ABIVIS,  K1, 1,  8,    O6, 2.764
    3,   ABIVIS,  K1, 1,  8,    N2, 3.057
    3,   ABIVIS,  K1, 1,  8,    O4, 2.775
    4,   ABIVIS,  K2, 1,  8,   N3C, 2.927
    4,   ABIVIS,  K2, 1,  8,    O8, 2.766
    4,   ABIVIS,  K2, 1,  8,   O8C, 2.766
    4,   ABIVIS,  K2, 1,  8,    O7, 2.803
    4,   ABIVIS,  K2, 1,  8,    O9,  2.81
    4,   ABIVIS,  K2, 1,  8,   O7C, 2.803
    4,   ABIVIS,  K2, 1,  8,   O9C,  2.81
    4,   ABIVIS,  K2, 1,  8,    N3, 2.927
    5,   ABIYAL,  K1, 1,  7,    O3, 2.817
    5,   ABIYAL,  K1, 1,  7,    O7, 2.828
    5,   ABIYAL,  K1, 1,  7,    O9, 2.924
    5,   ABIYAL,  K1, 1,  7,    O5, 2.978
    5,   ABIYAL,  K1, 1,  7,   Cl1, 3.523
    5,   ABIYAL,  K1, 1,  7,    O1, 2.675
    5,   ABIYAL,  K1, 1,  7,    O4, 2.691
    5,   ABIYAL,  K1, 1,  7,    O2, 2.809
    6,   ABOBEY,  K1, 1,  8,    O2, 2.742
    6,   ABOBEY,  K1, 1,  8,    O6, 2.877
    6,   ABOBEY,  K1, 1,  8,    O4, 2.929
    6,   ABOBEY,  K1, 1,  8,  Cl1B, 3.492
    6,   ABOBEY,  K1, 1,  8,    O7, 2.948
    6,   ABOBEY,  K1, 1,  8,   O7B, 3.083
    6,   ABOBEY,  K1, 1,  8,    O5, 3.176
    6,   ABOBEY,  K1, 1,  8,    O3, 2.678
    6,   ABOBEY,  K1, 1,  8,    O1, 2.648
