bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
    1,   ABAZEI,  Na1, 1,  6,  O5C, 2.348
    1,   ABAZEI,  Na1, 1,  6,   N2, 2.498
    1,   ABAZEI,  Na1, 1,  6,  O3C, 2.597
    1,   ABAZEI,  Na1, 1,  6,   O2, 2.343
    1,   ABAZEI,  Na1, 1,  6,  O6C, 2.433
    1,   ABAZEI,  Na1, 1,  6,   N1,  2.51
    2,   ABEPOM,  Na1, 1,  7,   O6, 2.374
    2,   ABEPOM,  Na1, 1,  7,   O3, 2.406
    2,   ABEPOM,  Na1, 1,  7,   O2, 2.409
    2,   ABEPOM,  Na1, 1,  7,   O4, 2.441
    2,   ABEPOM,  Na1, 1,  7,   O1, 2.485
    2,   ABEPOM,  Na1, 1,  7,   O5, 2.559
    2,   ABEPOM,  Na1, 1,  7,   O7, 2.323
    6,   ACITIQ,  Na1, 1,  6,   O2, 2.374
    6,   ACITIQ,  Na1, 1,  6,   O5, 2.401
    6,   ACITIQ,  Na1, 1,  6,  O5A, 2.652
    6,   ACITIQ,  Na1, 1,  6,   O6, 2.672
    6,   ACITIQ,  Na1, 1,  6,   O3, 2.356
    6,   ACITIQ,  Na1, 1,  6,   O7, 2.373
    7,   ACITIQ,  Na2, 1,  6,   O1, 2.369
    7,   ACITIQ,  Na2, 1,  6,   O2, 2.374
    7,   ACITIQ,  Na2, 1,  6,  O11, 2.404
    7,   ACITIQ,  Na2, 1,  6,  O6A, 2.423
    7,   ACITIQ,  Na2, 1,  6,  O7A,  2.47
    7,   ACITIQ,  Na2, 1,  6,   O6, 2.521
    8,   ACITIQ,  Na3, 1,  6,   O3, 2.343
    8,   ACITIQ,  Na3, 1,  6,   O4, 2.344
    8,   ACITIQ,  Na3, 1,  6,  O1*, 2.356
    8,   ACITIQ,  Na3, 1,  6,  O8A, 2.413
    8,   ACITIQ,  Na3, 1,  6,  O5A, 2.445
    8,   ACITIQ,  Na3, 1,  6,  O7A, 2.495
   11,   ACOPOY,  Na1, 1,  8,   O4, 2.831
   11,   ACOPOY,  Na1, 1,  8,   O1, 2.678
   11,   ACOPOY,  Na1, 1,  8,   O3, 2.651
   11,   ACOPOY,  Na1, 1,  8,   O6,  2.63
   11,   ACOPOY,  Na1, 1,  8,   N1, 2.392
