 refcode  , lab1  , dist1 , lab2  , ano2 
----------+-------+-------+-------+------
 ABAWUV   , Fe1   , 2.307 , N1    ,    7
 ABAWUV   , Fe1   ,  2.32 , N2    ,    7
 ABAWUV   , Fe1   , 2.448 , Cl3   ,   17
 ABAWUV   , Fe1   ,  2.45 , Cl1   ,   17
 ABAWUV   , Fe1   , 2.328 , N3    ,    7
 ABAWUV   , Fe1   ,  2.46 , Cl2   ,   17
 ABAWUV   , Fe2   , 2.207 , N5    ,    7
 ABAWUV   , Fe2   , 2.213 , N4    ,    7
 ABAWUV   , Fe2   , 2.473 , Cl6   ,   17
 ABAWUV   , Fe2   , 2.493 , Cl5   ,   17
 ABAWUV   , Fe2   , 2.519 , Cl4   ,   17
 ABAWUV   , Fe2   , 2.197 , N6    ,    7
 ABAWUV   , Fe3   , 2.482 , Cl5   ,   17
 ABAWUV   , Fe3   ,  2.49 , Cl4   ,   17
 ABAWUV   , Fe3   , 2.514 , Cl6   ,   17
 ABAWUV   , Fe3   , 2.193 , N9    ,    7
 ABAWUV   , Fe3   , 2.194 , N8    ,    7
 ABAWUV   , Fe3   , 2.209 , N7    ,    7
 ABAYAF   , Fe2   , 2.447 , Br2   ,   35
 ABAYAF   , Fe2   , 2.463 , Br4   ,   35
 ABAYAF   , Fe2   , 2.484 , Br3   ,   35
 ABAYAF   , Fe2   , 2.408 , Br1   ,   35
 ABISOV02 , Fe1   , 1.944 , N5    ,    7
 ABISOV02 , Fe1   , 1.955 , N6    ,    7
 ABISOV02 , Fe1   , 1.959 , N2    ,    7
 ABISOV02 , Fe1   ,  1.96 , N3    ,    7
 ABISOV02 , Fe1   , 1.969 , N1    ,    7
 ABISOV02 , Fe1   , 1.989 , N4    ,    7
 ABISOV02 , Fe2   , 1.949 , N11   ,    7
 ABISOV02 , Fe2   , 1.954 , N8    ,    7
 ABISOV02 , Fe2   , 1.963 , N12   ,    7
 ABISOV02 , Fe2   , 1.964 , N7    ,    7
 ABISOV02 , Fe2   , 1.964 , N9    ,    7
 ABISOV02 , Fe2   , 1.996 , N10   ,    7
 ABITEM   , Fe1   , 2.063 , N5    ,    7
 ABITEM   , Fe1   , 2.111 , N6    ,    7
 ABITEM   , Fe1   , 2.189 , N1    ,    7
 ABITEM   , Fe1   , 2.202 , N2    ,    7
 ABITEM   , Fe1   , 2.202 , N3    ,    7
 ABITEM   , Fe1   , 2.238 , N4    ,    7
 ABITUC01 , Fe1   , 2.047 , N5    ,    7
 ABITUC01 , Fe1   , 2.107 , N6    ,    7
 ABITUC01 , Fe1   , 2.192 , N1    ,    7
 ABITUC01 , Fe1   ,   2.2 , N3    ,    7
 ABITUC01 , Fe1   ,  2.21 , N2    ,    7
 ABITUC01 , Fe1   ,  2.24 , N4    ,    7
