    OBAMOV,       Fe1, 2,        N1, 1.948, 0.401,0,1.6102359194747378
    OBAMOV,       Fe1, 2,        N2, 1.944, 0.406,0,1.6102359194747378
    OBAMOV,       Fe1, 2,        N3, 1.946, 0.404,0,1.6102359194747378
    OBAMOV,       Fe1, 2,        N4, 1.949, 0.400,0,1.6102359194747378
    OBAMOV,       Fe1, 2,        N5, 1.819, 0.569,0,1.6102359194747378
    OBAMOV,       Fe1, 2,        N6, 2.001, 0.348,0,1.6102359194747378
    HOSRUD,       Fe1, 2,       N2B, 2.153, 0.231,0,1.6102359194747378
    HOSRUD,       Fe1, 2,       N1B, 2.204, 0.201,0,1.6102359194747378
    HOSRUD,       Fe1, 2,       O1B, 2.139, 0.336,0,1.7352693218182855
    HOSRUD,       Fe1, 2,        N1, 2.204, 0.201,0,1.6102359194747378
    HOSRUD,       Fe1, 2,        N2, 2.153, 0.231,0,1.6102359194747378
    HOSRUD,       Fe1, 2,        O1, 2.139, 0.336,0,1.7352693218182855
    SAXFIH,       Fe1, 2,        N3, 2.171, 0.220,0,1.6102359194747378
    SAXFIH,       Fe1, 2,       O4A, 2.043, 0.435,0,1.7352693218182855
    SAXFIH,       Fe1, 2,       N2A, 2.181, 0.214,0,1.6102359194747378
    SAXFIH,       Fe1, 2,       N3A, 2.171, 0.220,0,1.6102359194747378
    SAXFIH,       Fe1, 2,        N2, 2.181, 0.214,0,1.6102359194747378
    SAXFIH,       Fe1, 2,        O4, 2.043, 0.435,0,1.7352693218182855
    SIBZOS,       Fe1, 2,       N11, 1.954, 0.395,0,1.6102359194747378
    SIBZOS,       Fe1, 2,        N9, 1.931, 0.420,0,1.6102359194747378
    SIBZOS,       Fe1, 2,        N1, 1.988, 0.360,0,1.6102359194747378
    SIBZOS,       Fe1, 2,        N2, 2.002, 0.347,0,1.6102359194747378
    SIBZOS,       Fe1, 2,        N3, 2.006, 0.343,0,1.6102359194747378
    SIBZOS,       Fe1, 2,        N4, 1.985, 0.363,0,1.6102359194747378
    NEHHEO,       Fe1, 2,        N1, 2.094, 0.271,0,1.6102359194747378
    NEHHEO,       Fe1, 2,        N2, 2.098, 0.268,0,1.6102359194747378
    NEHHEO,       Fe1, 2,        N3, 2.307, 0.152,0,1.6102359194747378
    NEHHEO,       Fe1, 2,        N4, 2.264, 0.171,0,1.6102359194747378
    NEHHEO,       Fe1, 2,        O2, 2.013, 0.472,0,1.7352693218182855
    NEHHEO,       Fe1, 2,        O1, 2.014, 0.471,0,1.7352693218182855
    XUCXUP,       Fe1, 2,        O3, 2.015, 0.470,0,1.7352693218182855
    XUCXUP,       Fe1, 2,        N3, 2.095, 0.270,0,1.6102359194747378
    XUCXUP,       Fe1, 2,       O3B, 2.148, 0.328,0,1.7352693218182855
    XUCXUP,       Fe1, 2,        O2, 1.943, 0.570,0,1.7352693218182855
    XUCXUP,       Fe1, 2,        O1, 2.137, 0.338,0,1.7352693218182855
    COMRAY,       Fe1, 2,       N3C, 1.899, 0.458,0,1.6102359194747378
    COMRAY,       Fe1, 2,        N5, 1.962, 0.386,0,1.6102359194747378
    COMRAY,       Fe1, 2,       N1C, 1.968, 0.380,0,1.6102359194747378
    COMRAY,       Fe1, 2,        N1, 1.968, 0.380,0,1.6102359194747378
    COMRAY,       Fe1, 2,        N3, 1.899, 0.458,0,1.6102359194747378
    COMRAY,       Fe1, 2,       N5C, 1.962, 0.386,0,1.6102359194747378
    XOYGAU,       Fe1, 2,        N1, 1.896, 0.462,0,1.6102359194747378
    XOYGAU,       Fe1, 2,        N2, 1.898, 0.459,0,1.6102359194747378
    XOYGAU,       Fe1, 2,        N3, 1.906, 0.450,0,1.6102359194747378
    XOYGAU,       Fe1, 2,        N4, 1.906, 0.450,0,1.6102359194747378
    FOSYUH,       Fe2, 2,        O3, 2.166, 0.312,0,1.7352693218182855
    FOSYUH,       Fe2, 2,       O1B, 2.104, 0.369,0,1.7352693218182855
    FOSYUH,       Fe2, 2,       O3B, 2.166, 0.312,0,1.7352693218182855
    FOSYUH,       Fe2, 2,       O2B, 2.156, 0.321,0,1.7352693218182855
    FOSYUH,       Fe2, 2,        O2, 2.156, 0.321,0,1.7352693218182855
    FOSYUH,       Fe2, 2,        O1, 2.104, 0.369,0,1.7352693218182855
    KEHRAR,       Fe1, 2,        O8, 2.204, 0.282,0,1.7352693218182855
    KEHRAR,       Fe1, 2,        N1, 2.142, 0.238,0,1.6102359194747378
    KEHRAR,       Fe1, 2,        O5, 2.145, 0.330,0,1.7352693218182855
    KEHRAR,       Fe1, 2,        N3, 2.332, 0.142,0,1.6102359194747378
    KEHRAR,       Fe1, 2,        O3, 2.241, 0.255,0,1.7352693218182855
    KEHRAR,       Fe1, 2,        N2, 2.498, 0.091,0,1.6102359194747378
    KEHRAR,       Fe1, 2,        O1, 2.112, 0.361,0,1.7352693218182855
    JUXYEG,       Fe1, 2,        N1, 2.209, 0.198,0,1.6102359194747378
    JUXYEG,       Fe1, 2,        N2, 2.173, 0.218,0,1.6102359194747378
    JUXYEG,       Fe1, 2,        N3, 2.184, 0.212,0,1.6102359194747378
    JUXYEG,       Fe1, 2,        O3, 2.137, 0.338,0,1.7352693218182855
    JUXYEG,       Fe1, 2,        O2, 2.023, 0.459,0,1.7352693218182855
    JUXYEG,       Fe1, 2,        O1, 2.087, 0.386,0,1.7352693218182855
    JUXYEG,       Fe2, 2,        N6, 2.171, 0.220,0,1.6102359194747378
    JUXYEG,       Fe2, 2,        O5, 2.131, 0.343,0,1.7352693218182855
    JUXYEG,       Fe2, 2,        O4, 2.042, 0.436,0,1.7352693218182855
    JUXYEG,       Fe2, 2,        N4, 2.208, 0.199,0,1.6102359194747378
    JUXYEG,       Fe2, 2,        N5, 2.169, 0.221,0,1.6102359194747378
    JUXYEG,       Fe2, 2,        O1, 2.110, 0.363,0,1.7352693218182855
    SESGED,       Fe1, 2,       O4B, 2.110, 0.363,0,1.7352693218182855
    SESGED,       Fe1, 2,       O1B, 2.345, 0.192,0,1.7352693218182855
    SESGED,       Fe1, 2,        O4, 2.110, 0.363,0,1.7352693218182855
    SESGED,       Fe1, 2,       O2B, 2.088, 0.385,0,1.7352693218182855
    SESGED,       Fe1, 2,        O2, 2.088, 0.385,0,1.7352693218182855
    SESGED,       Fe1, 2,        O1, 2.345, 0.192,0,1.7352693218182855
    TUQKAR,       Fe1, 2,        N3, 2.240, 0.182,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        N1, 2.313, 0.150,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        N2, 2.262, 0.172,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        O4, 2.111, 0.362,0,1.7352693218182855
    TUQKAR,       Fe1, 2,        O2, 2.088, 0.385,0,1.7352693218182855
    TUQKAR,       Fe1, 2,        O1, 1.819, 0.797,0,1.7352693218182855
    TACFOU,       Fe1, 2,       N3B, 1.934, 0.417,0,1.6102359194747378
    TACFOU,       Fe1, 2,       N1B, 1.932, 0.419,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N1, 1.932, 0.419,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N3, 1.934, 0.417,0,1.6102359194747378
    TACFOU,       Fe1, 2,       N5B, 2.014, 0.336,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N5, 2.014, 0.336,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N8, 2.212, 0.197,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        O4, 2.060, 0.416,0,1.7352693218182855
    DUKXUC,       Fe2, 2,        O3, 2.057, 0.419,0,1.7352693218182855
    DUKXUC,       Fe2, 2,        N5, 2.225, 0.190,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N6, 2.238, 0.183,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N7, 2.202, 0.202,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N1, 2.255, 0.175,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N2, 2.219, 0.193,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N3, 2.227, 0.189,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N4, 2.211, 0.197,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        O2, 2.055, 0.421,0,1.7352693218182855
