    RAVYIX,       Fe1, 2,        N1, 2.019, 0.325,0,1.6035209463714926
    RAVYIX,       Fe1, 2,        N2, 2.162, 0.221,0,1.6035209463714926
    RAVYIX,       Fe1, 2,        N3, 2.244, 0.177,0,1.6035209463714926
    RAVYIX,       Fe1, 2,        N4, 2.166, 0.219,0,1.6035209463714926
    RAVYIX,       Fe1, 2,        N5, 2.245, 0.177,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N1, 1.982, 0.360,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N2, 1.886, 0.466,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N3, 1.977, 0.364,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N4, 1.968, 0.373,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N5, 1.878, 0.476,0,1.6035209463714926
    KITFAV,       Fe1, 2,        N6, 1.969, 0.372,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N1, 2.174, 0.214,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N2, 2.164, 0.220,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N3, 2.040, 0.307,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N4, 2.196, 0.202,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N5, 2.251, 0.174,0,1.6035209463714926
    COMQUR,       Fe1, 2,        N6, 2.052, 0.298,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N1, 1.948, 0.394,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N2, 1.944, 0.398,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N3, 1.946, 0.396,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N4, 1.949, 0.393,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N5, 1.819, 0.559,0,1.6035209463714926
    OBAMOV,       Fe1, 2,        N6, 2.001, 0.342,0,1.6035209463714926
    WEYWEC,       Fe1, 2,       N10, 2.094, 0.266,0,1.6035209463714926
    WEYWEC,       Fe1, 2,        N1, 2.167, 0.218,0,1.6035209463714926
    WEYWEC,       Fe1, 2,        N2, 2.034, 0.312,0,1.6035209463714926
    WEYWEC,       Fe1, 2,        N5, 2.131, 0.240,0,1.6035209463714926
    WEYWEC,       Fe1, 2,        N6, 2.170, 0.216,0,1.6035209463714926
    WEYWEC,       Fe1, 2,        N7, 2.026, 0.319,0,1.6035209463714926
    KANBAC,       Fe1, 2,        N1, 1.897, 0.452,0,1.6035209463714926
    KANBAC,       Fe1, 2,        N2, 1.909, 0.438,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N1, 2.194, 0.203,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N2, 2.096, 0.264,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N3, 2.197, 0.201,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N5, 2.330, 0.140,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N6, 2.133, 0.239,0,1.6035209463714926
    QEGVON,       Fe1, 2,        N7, 2.235, 0.181,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N1, 1.993, 0.349,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N2, 1.970, 0.371,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N3, 1.958, 0.384,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N4, 1.981, 0.361,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N5, 1.967, 0.374,0,1.6035209463714926
    TPHOLF,       Fe1, 2,        N6, 1.968, 0.373,0,1.6035209463714926
    MAKCAD,       Fe1, 2,       N1B, 2.116, 0.250,0,1.6035209463714926
    MAKCAD,       Fe1, 2,       N2B, 2.116, 0.250,0,1.6035209463714926
    MAKCAD,       Fe1, 2,        N2, 2.116, 0.250,0,1.6035209463714926
    MAKCAD,       Fe1, 2,        N3, 2.064, 0.288,0,1.6035209463714926
    MAKCAD,       Fe1, 2,        N1, 2.116, 0.250,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N8, 1.968, 0.373,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N9, 1.972, 0.369,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N1, 1.968, 0.373,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N2, 1.968, 0.373,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N3, 1.972, 0.369,0,1.6035209463714926
    NENTAB,       Fe1, 2,        N7, 1.975, 0.366,0,1.6035209463714926
    COMROM,       Fe1, 2,       N3N, 1.881, 0.472,0,1.6035209463714926
    COMROM,       Fe1, 2,       N1G, 1.972, 0.369,0,1.6035209463714926
    COMROM,       Fe1, 2,        N1, 1.972, 0.369,0,1.6035209463714926
    COMROM,       Fe1, 2,       N1K, 1.972, 0.369,0,1.6035209463714926
    COMROM,       Fe1, 2,        N3, 1.881, 0.472,0,1.6035209463714926
    COMROM,       Fe1, 2,       N1N, 1.972, 0.369,0,1.6035209463714926
    SIBZOS,       Fe1, 2,       N11, 1.954, 0.388,0,1.6035209463714926
    SIBZOS,       Fe1, 2,        N9, 1.931, 0.413,0,1.6035209463714926
    SIBZOS,       Fe1, 2,        N1, 1.988, 0.354,0,1.6035209463714926
    SIBZOS,       Fe1, 2,        N2, 2.002, 0.341,0,1.6035209463714926
    SIBZOS,       Fe1, 2,        N3, 2.006, 0.337,0,1.6035209463714926
    SIBZOS,       Fe1, 2,        N4, 1.985, 0.357,0,1.6035209463714926
    HOQFID,       Fe1, 2,       N2B, 1.988, 0.354,0,1.6035209463714926
    HOQFID,       Fe1, 2,       N6B, 1.974, 0.367,0,1.6035209463714926
    HOQFID,       Fe1, 2,        N2, 1.988, 0.354,0,1.6035209463714926
    HOQFID,       Fe1, 2,       N4B, 1.992, 0.350,0,1.6035209463714926
    HOQFID,       Fe1, 2,        N4, 1.992, 0.350,0,1.6035209463714926
    HOQFID,       Fe1, 2,        N6, 1.974, 0.367,0,1.6035209463714926
    OQUDIO,       Fe1, 2,       N2B, 1.972, 0.369,0,1.6035209463714926
    OQUDIO,       Fe1, 2,       N6B, 1.961, 0.381,0,1.6035209463714926
    OQUDIO,       Fe1, 2,        N2, 1.972, 0.369,0,1.6035209463714926
    OQUDIO,       Fe1, 2,       N4B, 1.966, 0.375,0,1.6035209463714926
    OQUDIO,       Fe1, 2,        N4, 1.966, 0.375,0,1.6035209463714926
    OQUDIO,       Fe1, 2,        N6, 1.961, 0.381,0,1.6035209463714926
    VASYOF,       Fe1, 2,       N3A, 2.154, 0.226,0,1.6035209463714926
    VASYOF,       Fe1, 2,       N1A, 2.144, 0.232,0,1.6035209463714926
    VASYOF,       Fe1, 2,       N4A, 2.172, 0.215,0,1.6035209463714926
    VASYOF,       Fe1, 2,        N1, 2.144, 0.232,0,1.6035209463714926
    VASYOF,       Fe1, 2,        N3, 2.154, 0.226,0,1.6035209463714926
    VASYOF,       Fe1, 2,        N4, 2.172, 0.215,0,1.6035209463714926
    COMRAY,       Fe1, 2,       N3C, 1.899, 0.450,0,1.6035209463714926
    COMRAY,       Fe1, 2,        N5, 1.962, 0.380,0,1.6035209463714926
    COMRAY,       Fe1, 2,       N1C, 1.968, 0.373,0,1.6035209463714926
    COMRAY,       Fe1, 2,        N1, 1.968, 0.373,0,1.6035209463714926
    COMRAY,       Fe1, 2,        N3, 1.899, 0.450,0,1.6035209463714926
    COMRAY,       Fe1, 2,       N5C, 1.962, 0.380,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N1, 1.987, 0.355,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N2, 1.973, 0.368,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N3, 1.978, 0.363,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N4, 1.980, 0.361,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N5, 1.973, 0.368,0,1.6035209463714926
    XEHQIK,       Fe1, 2,        N6, 1.977, 0.364,0,1.6035209463714926
    BUKRAB,       Fe2, 2,        N4, 1.962, 0.380,0,1.6035209463714926
    BUKRAB,       Fe2, 2,       N6B, 1.935, 0.408,0,1.6035209463714926
    BUKRAB,       Fe2, 2,       N4B, 1.962, 0.380,0,1.6035209463714926
    BUKRAB,       Fe2, 2,       N5B, 1.991, 0.351,0,1.6035209463714926
    BUKRAB,       Fe2, 2,        N5, 1.991, 0.351,0,1.6035209463714926
    BUKRAB,       Fe2, 2,        N6, 1.935, 0.408,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N1, 2.004, 0.339,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N2, 1.994, 0.348,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N3, 1.995, 0.347,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N4, 1.998, 0.344,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N5, 1.874, 0.481,0,1.6035209463714926
    ZONXEF,       Fe1, 2,        N6, 1.899, 0.450,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N1, 2.049, 0.300,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N2, 2.059, 0.292,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N3, 2.053, 0.297,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N4, 1.960, 0.382,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N5, 1.971, 0.370,0,1.6035209463714926
  DOQRAC01,       Fe1, 2,        N6, 1.996, 0.346,0,1.6035209463714926
    OJOGUP,       Fe1, 2,       N2F, 1.969, 0.372,0,1.6035209463714926
    OJOGUP,       Fe1, 2,       N3F, 1.967, 0.374,0,1.6035209463714926
    OJOGUP,       Fe1, 2,       N1F, 1.961, 0.381,0,1.6035209463714926
    OJOGUP,       Fe1, 2,        N1, 1.961, 0.381,0,1.6035209463714926
    OJOGUP,       Fe1, 2,        N2, 1.969, 0.372,0,1.6035209463714926
    OJOGUP,       Fe1, 2,        N3, 1.967, 0.374,0,1.6035209463714926
