    KITFAV,       Fe1, 2,        N1, 1.982, 0.319,0,1.5594708834007494
    KITFAV,       Fe1, 2,        N2, 1.886, 0.414,0,1.5594708834007494
    KITFAV,       Fe1, 2,        N3, 1.977, 0.324,0,1.5594708834007494
    KITFAV,       Fe1, 2,        N4, 1.968, 0.331,0,1.5594708834007494
    KITFAV,       Fe1, 2,        N5, 1.878, 0.423,0,1.5594708834007494
    KITFAV,       Fe1, 2,        N6, 1.969, 0.331,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N1, 1.948, 0.350,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N2, 1.944, 0.354,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N3, 1.946, 0.352,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N4, 1.949, 0.349,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N5, 1.819, 0.496,0,1.5594708834007494
    OBAMOV,       Fe1, 2,        N6, 2.001, 0.303,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N1, 1.993, 0.310,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N2, 1.970, 0.330,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N3, 1.958, 0.341,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N4, 1.981, 0.320,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N5, 1.967, 0.332,0,1.5594708834007494
    TPHOLF,       Fe1, 2,        N6, 1.968, 0.331,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N8, 1.968, 0.331,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N9, 1.972, 0.328,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N1, 1.968, 0.331,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N2, 1.968, 0.331,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N3, 1.972, 0.328,0,1.5594708834007494
    NENTAB,       Fe1, 2,        N7, 1.975, 0.325,0,1.5594708834007494
    COMROM,       Fe1, 2,       N3N, 1.881, 0.419,0,1.5594708834007494
    COMROM,       Fe1, 2,       N1G, 1.972, 0.328,0,1.5594708834007494
    COMROM,       Fe1, 2,        N1, 1.972, 0.328,0,1.5594708834007494
    COMROM,       Fe1, 2,       N1K, 1.972, 0.328,0,1.5594708834007494
    COMROM,       Fe1, 2,        N3, 1.881, 0.419,0,1.5594708834007494
    COMROM,       Fe1, 2,       N1N, 1.972, 0.328,0,1.5594708834007494
    SIBZOS,       Fe1, 2,       N11, 1.954, 0.344,0,1.5594708834007494
    SIBZOS,       Fe1, 2,        N9, 1.931, 0.366,0,1.5594708834007494
    SIBZOS,       Fe1, 2,        N1, 1.988, 0.314,0,1.5594708834007494
    SIBZOS,       Fe1, 2,        N2, 2.002, 0.302,0,1.5594708834007494
    SIBZOS,       Fe1, 2,        N3, 2.006, 0.299,0,1.5594708834007494
    SIBZOS,       Fe1, 2,        N4, 1.985, 0.317,0,1.5594708834007494
    HOQFID,       Fe1, 2,       N2B, 1.988, 0.314,0,1.5594708834007494
    HOQFID,       Fe1, 2,       N6B, 1.974, 0.326,0,1.5594708834007494
    HOQFID,       Fe1, 2,        N2, 1.988, 0.314,0,1.5594708834007494
    HOQFID,       Fe1, 2,       N4B, 1.992, 0.311,0,1.5594708834007494
    HOQFID,       Fe1, 2,        N4, 1.992, 0.311,0,1.5594708834007494
    HOQFID,       Fe1, 2,        N6, 1.974, 0.326,0,1.5594708834007494
    OQUDIO,       Fe1, 2,       N2B, 1.972, 0.328,0,1.5594708834007494
    OQUDIO,       Fe1, 2,       N6B, 1.961, 0.338,0,1.5594708834007494
    OQUDIO,       Fe1, 2,        N2, 1.972, 0.328,0,1.5594708834007494
    OQUDIO,       Fe1, 2,       N4B, 1.966, 0.333,0,1.5594708834007494
