    GATWUV,       Fe1, 2,       O2B, 1.971, 0.475,0,1.6955119165400609
    GATWUV,       Fe1, 2,        O2, 1.971, 0.475,0,1.6955119165400609
    GATWUV,       Fe1, 2,        O1, 1.967, 0.480,0,1.6955119165400609
    GATWUV,       Fe1, 2,       O1B, 1.967, 0.480,0,1.6955119165400609
    POFYAK,       Fe4, 2,       O13, 2.023, 0.413,0,1.6955119165400609
    POFYAK,       Fe4, 2,       O12, 1.980, 0.464,0,1.6955119165400609
    POFYAK,       Fe4, 2,       O11, 1.980, 0.464,0,1.6955119165400609
    POFYAK,       Fe4, 2,       O10, 1.973, 0.472,0,1.6955119165400609
    YICGAT,       Fe1, 2,       O2B, 2.148, 0.294,0,1.6955119165400609
    YICGAT,       Fe1, 2,       O1B, 2.131, 0.308,0,1.6955119165400609
    YICGAT,       Fe1, 2,       O3B, 2.085, 0.349,0,1.6955119165400609
    YICGAT,       Fe1, 2,        O3, 2.085, 0.349,0,1.6955119165400609
    YICGAT,       Fe1, 2,        O2, 2.148, 0.294,0,1.6955119165400609
    YICGAT,       Fe1, 2,        O1, 2.131, 0.308,0,1.6955119165400609
    GAZGET,       Fe1, 2,       O2B, 2.082, 0.352,0,1.6955119165400609
    GAZGET,       Fe1, 2,       O1B, 2.106, 0.330,0,1.6955119165400609
    GAZGET,       Fe1, 2,       O3B, 2.096, 0.339,0,1.6955119165400609
    GAZGET,       Fe1, 2,        O3, 2.096, 0.339,0,1.6955119165400609
    GAZGET,       Fe1, 2,        O2, 2.082, 0.352,0,1.6955119165400609
    GAZGET,       Fe1, 2,        O1, 2.106, 0.330,0,1.6955119165400609
    GAZGET,       Fe2, 2,       O5B, 2.103, 0.332,0,1.6955119165400609
    GAZGET,       Fe2, 2,       O4B, 2.098, 0.337,0,1.6955119165400609
    GAZGET,       Fe2, 2,       O6B, 2.088, 0.346,0,1.6955119165400609
    GAZGET,       Fe2, 2,        O6, 2.088, 0.346,0,1.6955119165400609
    GAZGET,       Fe2, 2,        O5, 2.103, 0.332,0,1.6955119165400609
    GAZGET,       Fe2, 2,        O4, 2.098, 0.337,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O8, 2.082, 0.352,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O7, 2.052, 0.382,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O6, 2.055, 0.378,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O5, 2.070, 0.363,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O2, 2.128, 0.311,0,1.6955119165400609
    UDUTOC,       Fe1, 2,        O1, 2.145, 0.297,0,1.6955119165400609
    UDUTOC,       Fe2, 2,       O12, 2.084, 0.350,0,1.6955119165400609
    UDUTOC,       Fe2, 2,       O11, 2.063, 0.370,0,1.6955119165400609
    UDUTOC,       Fe2, 2,       O10, 2.064, 0.369,0,1.6955119165400609
    UDUTOC,       Fe2, 2,        O9, 2.065, 0.368,0,1.6955119165400609
    UDUTOC,       Fe2, 2,        O4, 2.121, 0.317,0,1.6955119165400609
    UDUTOC,       Fe2, 2,        O3, 2.115, 0.322,0,1.6955119165400609
    FOSYUH,       Fe2, 2,        O3, 2.166, 0.280,0,1.6955119165400609
    FOSYUH,       Fe2, 2,       O1B, 2.104, 0.332,0,1.6955119165400609
    FOSYUH,       Fe2, 2,       O3B, 2.166, 0.280,0,1.6955119165400609
    FOSYUH,       Fe2, 2,       O2B, 2.156, 0.288,0,1.6955119165400609
    FOSYUH,       Fe2, 2,        O2, 2.156, 0.288,0,1.6955119165400609
    FOSYUH,       Fe2, 2,        O1, 2.104, 0.332,0,1.6955119165400609
    BUCDOS,       Fe1, 2,       O11, 2.152, 0.291,0,1.6955119165400609
    BUCDOS,       Fe1, 2,       O5B, 2.050, 0.384,0,1.6955119165400609
    BUCDOS,       Fe1, 2,      O11B, 2.152, 0.291,0,1.6955119165400609
    BUCDOS,       Fe1, 2,        O5, 2.050, 0.384,0,1.6955119165400609
    BUCDOS,       Fe1, 2,       O3B, 2.065, 0.368,0,1.6955119165400609
    BUCDOS,       Fe1, 2,        O3, 2.065, 0.368,0,1.6955119165400609
    QEDCOR,       Fe1, 2,       O1A, 2.103, 0.332,0,1.6955119165400609
    QEDCOR,       Fe1, 2,       O2D, 2.105, 0.331,0,1.6955119165400609
    QEDCOR,       Fe1, 2,       O2E, 2.105, 0.331,0,1.6955119165400609
    QEDCOR,       Fe1, 2,        O2, 2.105, 0.331,0,1.6955119165400609
    QEDCOR,       Fe1, 2,        O1, 2.103, 0.332,0,1.6955119165400609
    QEDCOR,       Fe1, 2,       O2A, 2.105, 0.331,0,1.6955119165400609
    LEFXAV,       Fe5, 2,       O13, 2.152, 0.291,0,1.6955119165400609
    LEFXAV,       Fe5, 2,       O29, 2.086, 0.348,0,1.6955119165400609
    LEFXAV,       Fe5, 2,       O19, 2.092, 0.342,0,1.6955119165400609
    LEFXAV,       Fe5, 2,        O7, 2.126, 0.312,0,1.6955119165400609
    LEFXAV,       Fe5, 2,        O5, 2.092, 0.342,0,1.6955119165400609
    LEFXAV,       Fe5, 2,        O1, 2.157, 0.287,0,1.6955119165400609
    LEFXAV,       Fe6, 2,       O14, 2.145, 0.297,0,1.6955119165400609
    LEFXAV,       Fe6, 2,       O30, 2.133, 0.307,0,1.6955119165400609
    LEFXAV,       Fe6, 2,       O20, 2.078, 0.356,0,1.6955119165400609
    LEFXAV,       Fe6, 2,        O8, 2.130, 0.309,0,1.6955119165400609
    LEFXAV,       Fe6, 2,        O6, 2.106, 0.330,0,1.6955119165400609
    LEFXAV,       Fe6, 2,        O2, 2.136, 0.304,0,1.6955119165400609
    LEFXAV,       Fe7, 2,       O15, 2.159, 0.286,0,1.6955119165400609
    LEFXAV,       Fe7, 2,       O25, 2.112, 0.324,0,1.6955119165400609
    LEFXAV,       Fe7, 2,       O23, 2.044, 0.390,0,1.6955119165400609
    LEFXAV,       Fe7, 2,        O7, 2.107, 0.329,0,1.6955119165400609
    LEFXAV,       Fe7, 2,        O5, 2.169, 0.278,0,1.6955119165400609
    LEFXAV,       Fe7, 2,        O3, 2.168, 0.279,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O24, 2.169, 0.278,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O22, 2.106, 0.330,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O23, 2.158, 0.287,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O19, 2.094, 0.341,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O21, 2.098, 0.337,0,1.6955119165400609
  JIZJIM01,       Fe4, 2,       O20, 2.096, 0.339,0,1.6955119165400609
    LEFXAV,       Fe1, 2,       O31, 2.039, 0.395,0,1.6955119165400609
    LEFXAV,       Fe1, 2,       O27, 2.052, 0.382,0,1.6955119165400609
    LEFXAV,       Fe1, 2,        O9, 1.906, 0.566,0,1.6955119165400609
    LEFXAV,       Fe1, 2,        O7, 2.065, 0.368,0,1.6955119165400609
    LEFXAV,       Fe1, 2,        O3, 2.021, 0.415,0,1.6955119165400609
    LEFXAV,       Fe1, 2,        O1, 2.036, 0.398,0,1.6955119165400609
    GUYCAF,       Fe1, 2,       O12, 2.170, 0.277,0,1.6955119165400609
    GUYCAF,       Fe1, 2,        O9, 2.141, 0.300,0,1.6955119165400609
    GUYCAF,       Fe1, 2,        O6, 2.165, 0.281,0,1.6955119165400609
    GUYCAF,       Fe1, 2,        O5, 2.097, 0.338,0,1.6955119165400609
    GUYCAF,       Fe1, 2,        O2, 2.146, 0.296,0,1.6955119165400609
    GUYCAF,       Fe1, 2,        O1, 2.140, 0.301,0,1.6955119165400609
    ZACNEW,       Fe1, 2,       O5A, 2.168, 0.279,0,1.6955119165400609
    ZACNEW,       Fe1, 2,       O1A, 2.198, 0.257,0,1.6955119165400609
    ZACNEW,       Fe1, 2,       O3A, 2.040, 0.394,0,1.6955119165400609
    ZACNEW,       Fe1, 2,        O5, 2.168, 0.279,0,1.6955119165400609
    ZACNEW,       Fe1, 2,        O3, 2.040, 0.394,0,1.6955119165400609
    ZACNEW,       Fe1, 2,        O1, 2.198, 0.257,0,1.6955119165400609
    BOXSIR,       Fe1, 2,       O4L, 2.149, 0.294,0,1.6955119165400609
    BOXSIR,       Fe1, 2,       O4M, 2.150, 0.293,0,1.6955119165400609
    BOXSIR,       Fe1, 2,       O4N, 2.151, 0.292,0,1.6955119165400609
    BOXSIR,       Fe1, 2,       O4A, 2.149, 0.294,0,1.6955119165400609
    BOXSIR,       Fe1, 2,       O4B, 2.148, 0.294,0,1.6955119165400609
    BOXSIR,       Fe1, 2,        O4, 2.150, 0.293,0,1.6955119165400609
    AFOXUO,       Fe1, 2,        O2, 2.099, 0.336,0,1.6955119165400609
    AFOXUO,       Fe1, 2,       O2D, 2.099, 0.336,0,1.6955119165400609
