refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
YEWYUU,0,Fe1,2,1.5244077335168917,S3,2.241,1.8955037509301116,0.39306761005937807
YEWYUU,0,Fe1,2,1.5244077335168917,S1,2.255,1.8955037509301116,0.37847264381558304
YEWYUU,0,Fe1,2,1.5244077335168917,S2,2.256,1.8955037509301116,0.37745112582976942
YEWYUU,0,Fe1,2,1.5244077335168917,S7,2.258,1.8955037509301116,0.37541635381216143
OLAREZ,0,Fe3,2,1.5424895926111928,S3B,2.226,1.8955037509301116,0.40933020331610293
OLAREZ,0,Fe3,2,1.5424895926111928,S3,2.227,1.8955037509301116,0.40822539912045835
OLAREZ,0,Fe3,2,1.5424895926111928,S1,2.268,1.8955037509301116,0.36540585226784178
OLAREZ,0,Fe3,2,1.5424895926111928,S2,2.274,1.8955037509301116,0.3595281379067895
CERVIE,0,Fe1,2,1.6353620316976718,S2B,2.22,1.8955037509301116,0.41602210239374093
CERVIE,0,Fe1,2,1.6353620316976718,S2,2.22,1.8955037509301116,0.41602210239374093
CERVIE,0,Fe1,2,1.6353620316976718,S1,2.233,1.8955037509301116,0.40165891345509502
CERVIE,0,Fe1,2,1.6353620316976718,S1B,2.233,1.8955037509301116,0.40165891345509502
MAJYOM,0,Fe1,2,1.6417579862069944,S2B,2.224,1.8955037509301116,0.41154878978739434
MAJYOM,0,Fe1,2,1.6417579862069944,S2,2.224,1.8955037509301116,0.41154878978739434
MAJYOM,0,Fe1,2,1.6417579862069944,S1B,2.226,1.8955037509301116,0.40933020331610293
MAJYOM,0,Fe1,2,1.6417579862069944,S1,2.226,1.8955037509301116,0.40933020331610293
YEWYII,0,Fe1,2,1.6810152237533245,S1,2.192,1.8955037509301116,0.44872672191168955
YEWYII,0,Fe1,2,1.6810152237533245,S3,2.204,1.8955037509301116,0.4344068914751234
YEWYII,0,Fe1,2,1.6810152237533245,S2,2.217,1.8955037509301116,0.41940896655092846
YEWYII,0,Fe1,2,1.6810152237533245,S7,2.255,1.8955037509301116,0.37847264381558304
TARSIO,0,Fe1,2,1.7259279904383118,S1,2.206,1.8955037509301116,0.43206508103519875
TARSIO,0,Fe1,2,1.7259279904383118,S1B,2.206,1.8955037509301116,0.43206508103519875
TARSIO,0,Fe1,2,1.7259279904383118,S2B,2.207,1.8955037509301116,0.4308989141839572
TARSIO,0,Fe1,2,1.7259279904383118,S2,2.207,1.8955037509301116,0.4308989141839572
KURPOC,0,Fe1,2,1.7647468208696533,S5,2.238,1.8955037509301116,0.39626760013731266
KURPOC,0,Fe1,2,1.7647468208696533,S10,2.242,1.8955037509301116,0.39200669947607025
KURPOC,0,Fe1,2,1.7647468208696533,S1,2.248,1.8955037509301116,0.38570109875063269
KURPOC,0,Fe1,2,1.7647468208696533,S6,2.25,1.8955037509301116,0.38362185259346998
KURPOC,0,Fe1,2,1.7647468208696533,S1A,2.478,1.8955037509301116,0.20714956991216774
KURPUI,0,Fe1,2,1.7794166850582962,S10,2.234,1.8955037509301116,0.40057481448265597
KURPUI,0,Fe1,2,1.7794166850582962,S5,2.234,1.8955037509301116,0.40057481448265597
KURPUI,0,Fe1,2,1.7794166850582962,S6,2.236,1.8955037509301116,0.39841538676423022
