refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
KEFFEG,0,Fe1,3,2.3091827497000832,N2B,1.992,1.8234291271421486,0.6340693449268654
KEFFEG,0,Fe1,3,2.3091827497000832,N2,1.992,1.8234291271421486,0.6340693449268654
KEFFEG,0,Fe1,3,2.3091827497000832,N3,2.002,1.8234291271421486,0.61716184451527711
KEFFEG,0,Fe1,3,2.3091827497000832,N1,2.141,1.8234291271421486,0.42388221533107506
ASERIA,0,Fe1,3,2.4677541961965961,N7,2.164,1.8234291271421486,0.39833504009570064
ASERIA,0,Fe1,3,2.4677541961965961,N14,2.179,1.8234291271421486,0.3825092821025266
ASERIA,0,Fe1,3,2.4677541961965961,N12,2.188,1.8234291271421486,0.3733172504653906
ASERIA,0,Fe1,3,2.4677541961965961,N11,2.202,1.8234291271421486,0.3594556334577067
ASERIA,0,Fe1,3,2.4677541961965961,N5,2.338,1.8234291271421486,0.24889302611971442
ASERIA,0,Fe1,3,2.4677541961965961,N9,2.35,1.8234291271421486,0.24095031676713974
ASERIA,0,Fe1,3,2.4677541961965961,N3,2.351,1.8234291271421486,0.24029997892558874
ASERIA,0,Fe1,3,2.4677541961965961,N1,2.377,1.8234291271421486,0.22399366826282852
EGEMUY,0,Fe1,3,2.5501349027571258,N1,2.117,1.8234291271421486,0.45228860715455116
EGEMUY,0,Fe1,3,2.5501349027571258,N2,2.123,1.8234291271421486,0.44501334534603459
EGEMUY,0,Fe1,3,2.5501349027571258,N3,2.216,1.8234291271421486,0.34610871119243836
EGEMUY,0,Fe1,3,2.5501349027571258,S1,2.317,2.1713246498317158,0.67454481575262581
EGEMUY,0,Fe1,3,2.5501349027571258,S2,2.341,2.1713246498317158,0.63217942331147614
QUSHUI,0,Fe1,3,2.5918253123754984,N1,2.031,1.8234291271421486,0.57063679411758073
QUSHUI,0,Fe1,3,2.5918253123754984,N2,2.054,1.8234291271421486,0.5362447916984947
QUSHUI,0,Fe1,3,2.5918253123754984,S2,2.281,2.1713246498317158,0.74347520302474501
QUSHUI,0,Fe1,3,2.5918253123754984,S1,2.282,2.1713246498317158,0.74146852353467785
XEDFUI,0,Fe1,3,2.5960499322697062,N2B,2.106,1.8234291271421486,0.46593689998708898
XEDFUI,0,Fe1,3,2.5960499322697062,N2,2.106,1.8234291271421486,0.46593689998708898
XEDFUI,0,Fe1,3,2.5960499322697062,N2A,2.106,1.8234291271421486,0.46593689998708898
XEDFUI,0,Fe1,3,2.5960499322697062,N3B,2.163,1.8234291271421486,0.39941307743614635
XEDFUI,0,Fe1,3,2.5960499322697062,N3A,2.163,1.8234291271421486,0.39941307743614635
XEDFUI,0,Fe1,3,2.5960499322697062,N3,2.163,1.8234291271421486,0.39941307743614635
DIDROX,0,Fe1,3,2.6444813924443804,S1,2.461,2.1713246498317158,0.45707565634252606
DIDROX,0,Fe1,3,2.6444813924443804,S1B,2.461,2.1713246498317158,0.45707565634252606
DIDROX,0,Fe1,3,2.6444813924443804,S3,2.472,2.1713246498317158,0.44368692837408202
DIDROX,0,Fe1,3,2.6444813924443804,S3B,2.472,2.1713246498317158,0.44368692837408202
DIDROX,0,Fe1,3,2.6444813924443804,S2B,2.491,2.1713246498317158,0.42147811150558212
DIDROX,0,Fe1,3,2.6444813924443804,S2,2.491,2.1713246498317158,0.42147811150558212
XEDFUI,0,Fe2,3,2.6495543467737601,N6B,2.11,1.8234291271421486,0.4609268743262368
XEDFUI,0,Fe2,3,2.6495543467737601,N6,2.111,1.8234291271421486,0.45968280794531569
XEDFUI,0,Fe2,3,2.6495543467737601,N6A,2.112,1.8234291271421486,0.45844209936635094
XEDFUI,0,Fe2,3,2.6495543467737601,N8,2.141,1.8234291271421486,0.42388221533107506
XEDFUI,0,Fe2,3,2.6495543467737601,N8B,2.141,1.8234291271421486,0.42388221533107506
XEDFUI,0,Fe2,3,2.6495543467737601,N8A,2.142,1.8234291271421486,0.42273813447370617
VEKNUU,0,Fe1,3,2.6542195244417819,S2B,2.464,2.1713246498317158,0.45338462138368829
VEKNUU,0,Fe1,3,2.6542195244417819,S2,2.464,2.1713246498317158,0.45338462138368829
VEKNUU,0,Fe1,3,2.6542195244417819,S1,2.464,2.1713246498317158,0.45338462138368829
VEKNUU,0,Fe1,3,2.6542195244417819,S1B,2.464,2.1713246498317158,0.45338462138368829
VEKNUU,0,Fe1,3,2.6542195244417819,S3,2.492,2.1713246498317158,0.42034051945351425
