    TAZBFE,       Fe1, 3,       N2C, 1.989, 0.483,0,1.7194345035746008
    TAZBFE,       Fe1, 3,       N2B, 1.990, 0.481,0,1.7194345035746008
    TAZBFE,       Fe1, 3,       N1B, 1.935, 0.558,0,1.7194345035746008
    TAZBFE,       Fe1, 3,       N1C, 1.935, 0.558,0,1.7194345035746008
    TAZBFE,       Fe1, 3,        N1, 1.936, 0.557,0,1.7194345035746008
    TAZBFE,       Fe1, 3,        N2, 1.990, 0.481,0,1.7194345035746008
    VOFMAE,       Fe2, 3,       N7A, 1.965, 0.515,0,1.7194345035746008
    VOFMAE,       Fe2, 3,       N6A, 1.987, 0.485,0,1.7194345035746008
    VOFMAE,       Fe2, 3,        N7, 1.965, 0.515,0,1.7194345035746008
    VOFMAE,       Fe2, 3,        N5, 1.986, 0.487,0,1.7194345035746008
    VOFMAE,       Fe2, 3,        N6, 1.987, 0.485,0,1.7194345035746008
    VOFMAE,       Fe2, 3,       N5A, 1.986, 0.487,0,1.7194345035746008
    VOFMAE,       Fe1, 3,       N3A, 1.974, 0.503,0,1.7194345035746008
    VOFMAE,       Fe1, 3,       N2A, 2.002, 0.466,0,1.7194345035746008
    VOFMAE,       Fe1, 3,       N1A, 1.974, 0.503,0,1.7194345035746008
    VOFMAE,       Fe1, 3,        N1, 1.974, 0.503,0,1.7194345035746008
    VOFMAE,       Fe1, 3,        N2, 2.002, 0.466,0,1.7194345035746008
    VOFMAE,       Fe1, 3,        N3, 1.974, 0.503,0,1.7194345035746008
    LEWSOV,       Fe1, 3,       N3A, 2.005, 0.462,0,1.7194345035746008
    LEWSOV,       Fe1, 3,       N2A, 1.883, 0.643,0,1.7194345035746008
    LEWSOV,       Fe1, 3,       N1A, 1.913, 0.593,0,1.7194345035746008
    LEWSOV,       Fe1, 3,        N1, 1.913, 0.593,0,1.7194345035746008
    LEWSOV,       Fe1, 3,        N2, 1.883, 0.643,0,1.7194345035746008
    LEWSOV,       Fe1, 3,        N3, 2.005, 0.462,0,1.7194345035746008
    FEJJEK,       Fe1, 3,        N1, 1.882, 0.644,0,1.7194345035746008
    FEJJEK,       Fe1, 3,        N2, 1.955, 0.529,0,1.7194345035746008
    FEJJEK,       Fe1, 3,        N3, 1.972, 0.505,0,1.7194345035746008
    FEJJEK,       Fe1, 3,        N4, 1.952, 0.533,0,1.7194345035746008
    FEJJEK,       Fe1, 3,        N5, 1.961, 0.521,0,1.7194345035746008
