    TALREE,       Fe1, 3,       O16, 2.019, 0.482,0,1.7489501731195423
    TALREE,       Fe1, 3,       O13, 1.943, 0.592,0,1.7489501731195423
    TALREE,       Fe1, 3,       O11, 2.064, 0.427,0,1.7489501731195423
    TALREE,       Fe1, 3,        O9, 2.007, 0.498,0,1.7489501731195423
    TALREE,       Fe1, 3,        O6, 1.932, 0.610,0,1.7489501731195423
    TALREE,       Fe1, 3,        O4, 2.035, 0.462,0,1.7489501731195423
    XUCZEB,       Fe1, 3,       O1B, 1.988, 0.524,0,1.7489501731195423
    XUCZEB,       Fe1, 3,        O5, 2.045, 0.449,0,1.7489501731195423
    XUCZEB,       Fe1, 3,        O4, 2.034, 0.463,0,1.7489501731195423
    XUCZEB,       Fe1, 3,        O3, 1.964, 0.559,0,1.7489501731195423
    XUCZEB,       Fe1, 3,        O2, 1.962, 0.562,0,1.7489501731195423
    XUCZEB,       Fe1, 3,        O1, 1.980, 0.536,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O8, 2.035, 0.462,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O7, 2.018, 0.483,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O6, 1.999, 0.509,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O5, 2.025, 0.474,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O3, 1.995, 0.514,0,1.7489501731195423
    KCATFE,       Fe1, 3,        O1, 2.016, 0.486,0,1.7489501731195423
    AHOTEX,       Fe2, 3,       O12, 1.970, 0.550,0,1.7489501731195423
    AHOTEX,       Fe2, 3,       O10, 1.972, 0.547,0,1.7489501731195423
    AHOTEX,       Fe2, 3,        O8, 1.982, 0.533,0,1.7489501731195423
    AHOTEX,       Fe2, 3,        O6, 1.981, 0.534,0,1.7489501731195423
    AHOTEX,       Fe2, 3,        O4, 1.973, 0.546,0,1.7489501731195423
    AHOTEX,       Fe2, 3,        O2, 1.976, 0.541,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O6, 2.011, 0.493,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O5, 2.041, 0.454,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O4, 1.991, 0.520,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O3, 1.988, 0.524,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O2, 2.027, 0.472,0,1.7489501731195423
    CUQFUP,       Fe1, 3,        O1, 2.018, 0.483,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O6, 1.967, 0.555,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O5, 1.998, 0.510,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O4, 1.995, 0.514,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O3, 1.998, 0.510,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O2, 1.984, 0.530,0,1.7489501731195423
    JOSRUE,       Fe1, 3,        O1, 2.013, 0.490,0,1.7489501731195423
    BONZUA,       Fe1, 3,       O10, 1.968, 0.553,0,1.7489501731195423
    BONZUA,       Fe1, 3,        O9, 1.999, 0.509,0,1.7489501731195423
    BONZUA,       Fe1, 3,        O6, 1.995, 0.514,0,1.7489501731195423
    BONZUA,       Fe1, 3,        O5, 2.037, 0.459,0,1.7489501731195423
    BONZUA,       Fe1, 3,        O2, 2.010, 0.494,0,1.7489501731195423
    BONZUA,       Fe1, 3,        O1, 2.004, 0.502,0,1.7489501731195423
    YUVVER,       Fe1, 3,       O28, 1.984, 0.530,0,1.7489501731195423
    YUVVER,       Fe1, 3,       O29, 1.994, 0.516,0,1.7489501731195423
    YUVVER,       Fe1, 3,       O30, 2.006, 0.499,0,1.7489501731195423
    YUVVER,       Fe1, 3,      O29D, 1.993, 0.517,0,1.7489501731195423
    YUVVER,       Fe1, 3,      O28D, 1.982, 0.533,0,1.7489501731195423
    YUVVER,       Fe1, 3,      O30D, 2.004, 0.502,0,1.7489501731195423
    NOPZEX,       Fe2, 3,       O10, 2.027, 0.472,0,1.7489501731195423
    NOPZEX,       Fe2, 3,       O6A, 1.965, 0.558,0,1.7489501731195423
    NOPZEX,       Fe2, 3,        O9, 1.993, 0.517,0,1.7489501731195423
    NOPZEX,       Fe2, 3,        O8, 1.997, 0.512,0,1.7489501731195423
    NOPZEX,       Fe2, 3,        O7, 2.000, 0.507,0,1.7489501731195423
    NOPZEX,       Fe2, 3,        O6, 1.979, 0.537,0,1.7489501731195423
    QILXEO,       Fe1, 3,        O1, 2.049, 0.444,0,1.7489501731195423
    QILXEO,       Fe1, 3,       O2I, 1.992, 0.518,0,1.7489501731195423
    QILXEO,       Fe1, 3,        O4, 1.916, 0.637,0,1.7489501731195423
    QILXEO,       Fe1, 3,        O3, 2.025, 0.474,0,1.7489501731195423
    QILXEO,       Fe1, 3,        O2, 1.988, 0.524,0,1.7489501731195423
    QILXEO,       Fe1, 3,       O1I, 2.053, 0.440,0,1.7489501731195423
    NOPZEX,       Fe1, 3,       O1A, 1.965, 0.558,0,1.7489501731195423
    NOPZEX,       Fe1, 3,        O5, 2.007, 0.498,0,1.7489501731195423
    NOPZEX,       Fe1, 3,        O4, 2.013, 0.490,0,1.7489501731195423
    NOPZEX,       Fe1, 3,        O3, 2.010, 0.494,0,1.7489501731195423
    NOPZEX,       Fe1, 3,        O2, 2.003, 0.503,0,1.7489501731195423
    NOPZEX,       Fe1, 3,        O1, 1.989, 0.523,0,1.7489501731195423
    UMUJAN,       Fe8, 3,       O12, 1.969, 0.552,0,1.7489501731195423
    UMUJAN,       Fe8, 3,       O26, 2.023, 0.477,0,1.7489501731195423
    UMUJAN,       Fe8, 3,       O27, 2.078, 0.411,0,1.7489501731195423
    UMUJAN,       Fe8, 3,       O24, 1.992, 0.518,0,1.7489501731195423
    UMUJAN,       Fe8, 3,       O25, 1.996, 0.513,0,1.7489501731195423
    UMUJAN,       Fe8, 3,        O4, 1.985, 0.528,0,1.7489501731195423
    UMUJAN,       Fe3, 3,       O12, 1.939, 0.598,0,1.7489501731195423
    UMUJAN,       Fe3, 3,       O11, 1.934, 0.606,0,1.7489501731195423
    UMUJAN,       Fe3, 3,       O10, 1.929, 0.615,0,1.7489501731195423
    UMUJAN,       Fe3, 3,        O9, 2.234, 0.270,0,1.7489501731195423
    UMUJAN,       Fe3, 3,        O8, 2.254, 0.255,0,1.7489501731195423
    UMUJAN,       Fe3, 3,        O4, 2.238, 0.267,0,1.7489501731195423
    UMUJAN,       Fe4, 3,       O15, 2.032, 0.465,0,1.7489501731195423
    UMUJAN,       Fe4, 3,       O14, 1.986, 0.527,0,1.7489501731195423
    UMUJAN,       Fe4, 3,       O13, 2.092, 0.396,0,1.7489501731195423
    UMUJAN,       Fe4, 3,       O11, 1.953, 0.576,0,1.7489501731195423
    UMUJAN,       Fe4, 3,        O8, 1.991, 0.520,0,1.7489501731195423
    UMUJAN,       Fe4, 3,        O1, 1.998, 0.510,0,1.7489501731195423
    UMUJAN,       Fe6, 3,       O10, 1.968, 0.553,0,1.7489501731195423
    UMUJAN,       Fe6, 3,       O20, 1.956, 0.571,0,1.7489501731195423
    UMUJAN,       Fe6, 3,       O18, 1.984, 0.530,0,1.7489501731195423
    UMUJAN,       Fe6, 3,       O19, 2.043, 0.452,0,1.7489501731195423
    UMUJAN,       Fe6, 3,        O9, 2.013, 0.490,0,1.7489501731195423
    UMUJAN,       Fe6, 3,       O21, 2.072, 0.418,0,1.7489501731195423
    CETWIH,       Fe1, 3,        O2, 2.059, 0.433,0,1.7489501731195423
    CETWIH,       Fe1, 3,       O1D, 1.963, 0.561,0,1.7489501731195423
    CETWIH,       Fe1, 3,       O1C, 1.963, 0.561,0,1.7489501731195423
    CETWIH,       Fe1, 3,       O2D, 2.059, 0.433,0,1.7489501731195423
    CETWIH,       Fe1, 3,       O2C, 2.059, 0.433,0,1.7489501731195423
    CETWIH,       Fe1, 3,        O1, 1.963, 0.561,0,1.7489501731195423
    CINRIA,       Fe1, 3,       O13, 1.984, 0.530,0,1.7489501731195423
    CINRIA,       Fe1, 3,        O8, 2.031, 0.467,0,1.7489501731195423
    CINRIA,       Fe1, 3,        O7, 2.025, 0.474,0,1.7489501731195423
    CINRIA,       Fe1, 3,        O3, 2.046, 0.448,0,1.7489501731195423
    CINRIA,       Fe1, 3,        O2, 2.084, 0.404,0,1.7489501731195423
    CINRIA,       Fe1, 3,        O1, 1.846, 0.769,0,1.7489501731195423
    ABOKIL,       Fe1, 3,       O5F, 1.975, 0.543,0,1.7489501731195423
    ABOKIL,       Fe1, 3,       O1F, 1.996, 0.513,0,1.7489501731195423
    ABOKIL,       Fe1, 3,        O5, 1.975, 0.543,0,1.7489501731195423
    ABOKIL,       Fe1, 3,        O3, 1.984, 0.530,0,1.7489501731195423
    ABOKIL,       Fe1, 3,        O1, 1.996, 0.513,0,1.7489501731195423
    ABOKIL,       Fe1, 3,       O3F, 1.984, 0.530,0,1.7489501731195423
    RADXAX,       Fe5, 3,       O12, 2.056, 0.436,0,1.7489501731195423
    RADXAX,       Fe5, 3,       O11, 2.068, 0.422,0,1.7489501731195423
    RADXAX,       Fe5, 3,        O9, 2.021, 0.479,0,1.7489501731195423
    RADXAX,       Fe5, 3,        O8, 1.963, 0.561,0,1.7489501731195423
