bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
    1,   ABAXAC,  Fe1, 3,  6,    N1, 2.236
    1,   ABAXAC,  Fe1, 3,  6,   Cl2, 2.378
    1,   ABAXAC,  Fe1, 3,  6,   Cl1, 2.342
    1,   ABAXAC,  Fe1, 3,  6,    N2, 2.413
    1,   ABAXAC,  Fe1, 3,  6,    O1, 1.819
    1,   ABAXAC,  Fe1, 3,  6,    N3, 2.258
    2,   ABECIT,  Fe1, 3,  6,    O2, 2.065
    2,   ABECIT,  Fe1, 3,  6,    N1, 2.071
    2,   ABECIT,  Fe1, 3,  6,    O1, 2.169
    2,   ABECIT,  Fe1, 3,  6,    O3, 1.869
    2,   ABECIT,  Fe1, 3,  6,   O2A, 1.975
    2,   ABECIT,  Fe1, 3,  6,   Cl1, 2.338
    3,   ABIJAX,  Fe1, 3,  4,    S2, 2.285
    3,   ABIJAX,  Fe1, 3,  4,    S1,  2.27
    3,   ABIJAX,  Fe1, 3,  4,    N1, 1.657
    3,   ABIJAX,  Fe1, 3,  4,    N2, 1.681
    4,   ABIJAX,  Fe2, 3,  4,    N5, 1.668
    4,   ABIJAX,  Fe2, 3,  4,    N6, 1.672
    4,   ABIJAX,  Fe2, 3,  4,    S4, 2.261
    4,   ABIJAX,  Fe2, 3,  4,    S3, 2.279
    5,   ABIJEB,  Fe1, 3,  5,    N3, 1.697
    5,   ABIJEB,  Fe1, 3,  5,    N2, 2.076
    5,   ABIJEB,  Fe1, 3,  5,    N1, 2.072
    5,   ABIJEB,  Fe1, 3,  5,    S2, 2.251
    5,   ABIJEB,  Fe1, 3,  5,    S1, 2.236
    7,   ABIJIF,  Fe2, 3,  5,    N4, 1.676
    7,   ABIJIF,  Fe2, 3,  5,    S3, 2.254
    7,   ABIJIF,  Fe2, 3,  5,    S1, 2.256
    7,   ABIJIF,  Fe2, 3,  5,    N3, 1.666
    9,   ABIJIF,  Fe4, 3,  5,    S6, 2.249
    9,   ABIJIF,  Fe4, 3,  5,    S4, 2.252
    9,   ABIJIF,  Fe4, 3,  5,    N8, 1.668
    9,   ABIJIF,  Fe4, 3,  5,    N7, 1.671
   10,   ABIVUC,  Fe1, 3,  6,   O4C, 2.041
   10,   ABIVUC,  Fe1, 3,  6,    O5, 2.044
   10,   ABIVUC,  Fe1, 3,  6,    N1, 2.065
   10,   ABIVUC,  Fe1, 3,  6,    O2, 2.145
   10,   ABIVUC,  Fe1, 3,  6,   C17, 2.446
   10,   ABIVUC,  Fe1, 3,  6,    N2,  2.08
   10,   ABIVUC,  Fe1, 3,  6,    O1, 2.142
   11,   ABIZOA,  Fe1, 3,  6,   O1A, 1.944
   11,   ABIZOA,  Fe1, 3,  6,    O1, 2.046
   11,   ABIZOA,  Fe1, 3,  6,    N1,  1.96
   11,   ABIZOA,  Fe1, 3,  6,    N4, 2.101
   11,   ABIZOA,  Fe1, 3,  6,    N3, 2.101
   11,   ABIZOA,  Fe1, 3,  6,    N2, 2.332
   12,   ABIZOA,  Fe2, 3,  6,   O2A, 1.939
   12,   ABIZOA,  Fe2, 3,  6,    O2, 2.029
   12,   ABIZOA,  Fe2, 3,  6,    N9, 2.003
   12,   ABIZOA,  Fe2, 3,  6,   N12, 2.066
   12,   ABIZOA,  Fe2, 3,  6,   N11,  2.09
   12,   ABIZOA,  Fe2, 3,  6,   N10, 2.323
   13,   ABOKIL,  Fe1, 3,  6,   O5F, 1.975
   13,   ABOKIL,  Fe1, 3,  6,    O3, 1.984
   13,   ABOKIL,  Fe1, 3,  6,   O3F, 1.984
   13,   ABOKIL,  Fe1, 3,  6,    O1, 1.996
   13,   ABOKIL,  Fe1, 3,  6,   O1F, 1.996
   13,   ABOKIL,  Fe1, 3,  6,    O5, 1.975
   14,   ABOKIL,  Fe2, 3,  6,    O2, 1.905
   14,   ABOKIL,  Fe2, 3,  6,    O4,  1.92
   14,   ABOKIL,  Fe2, 3,  6,    O3, 1.996
   14,   ABOKIL,  Fe2, 3,  6,    O1,     2
   14,   ABOKIL,  Fe2, 3,  6,    N2, 2.288
   14,   ABOKIL,  Fe2, 3,  6,    N1, 2.303
   15,   ABOKIL,  Fe3, 3,  6,   N3F, 2.264
   15,   ABOKIL,  Fe3, 3,  6,    O6, 1.899
   15,   ABOKIL,  Fe3, 3,  6,   O6F, 1.899
   15,   ABOKIL,  Fe3, 3,  6,    O5, 2.014
   15,   ABOKIL,  Fe3, 3,  6,   O5F, 2.014
   15,   ABOKIL,  Fe3, 3,  6,    N3, 2.264
   16,   ABOKOR,  Fe1, 3,  6,    O2, 1.906
   16,   ABOKOR,  Fe1, 3,  6,    O4, 1.913
   16,   ABOKOR,  Fe1, 3,  6,    O3, 1.999
   16,   ABOKOR,  Fe1, 3,  6,    O1, 2.005
   16,   ABOKOR,  Fe1, 3,  6,    N1, 2.296
   16,   ABOKOR,  Fe1, 3,  6,    N2, 2.296
   17,   ABOKOR,  Fe2, 3,  6,    O6, 1.898
   17,   ABOKOR,  Fe2, 3,  6,   O6F, 1.898
   17,   ABOKOR,  Fe2, 3,  6,    O5, 2.014
   17,   ABOKOR,  Fe2, 3,  6,   N3F, 2.269
   17,   ABOKOR,  Fe2, 3,  6,    N3, 2.269
   17,   ABOKOR,  Fe2, 3,  6,   O5F, 2.014
   18,   ABOKUX,  Fe1, 3,  6,    O2,  2.01
   18,   ABOKUX,  Fe1, 3,  6,    O4, 1.976
   18,   ABOKUX,  Fe1, 3,  6,    O5, 1.985
   18,   ABOKUX,  Fe1, 3,  6,    O1, 2.013
   18,   ABOKUX,  Fe1, 3,  6,    N4, 2.042
   18,   ABOKUX,  Fe1, 3,  6,    N1, 2.249
   19,   ABOKUX,  Fe2, 3,  6,    N5,  2.05
   19,   ABOKUX,  Fe2, 3,  6,    O1, 1.965
   19,   ABOKUX,  Fe2, 3,  6,    O6, 1.976
   19,   ABOKUX,  Fe2, 3,  6,    O3, 2.012
   19,   ABOKUX,  Fe2, 3,  6,    O4, 2.006
   19,   ABOKUX,  Fe2, 3,  6,    N2, 2.252
   20,   ABOKUX,  Fe3, 3,  6,    O5, 1.997
   20,   ABOKUX,  Fe3, 3,  6,   O6B, 1.998
   20,   ABOKUX,  Fe3, 3,  6,    N6, 2.047
   20,   ABOKUX,  Fe3, 3,  6,    N3, 2.253
   20,   ABOKUX,  Fe3, 3,  6,    O2, 1.972
   20,   ABOKUX,  Fe3, 3,  6,   O3B, 1.957
   21,   ABOXOE,  Fe1, 3,  6,    O5, 1.934
   21,   ABOXOE,  Fe1, 3,  6,    O3, 1.935
   21,   ABOXOE,  Fe1, 3,  6,    O1, 1.949
   21,   ABOXOE,  Fe1, 3,  6,    N3, 2.223
   21,   ABOXOE,  Fe1, 3,  6,    N2, 2.225
   21,   ABOXOE,  Fe1, 3,  6,    N1, 2.226
   22,   ABOXOE,  Fe2, 3,  6,    O6, 1.911
   22,   ABOXOE,  Fe2, 3,  6,    O4, 1.943
   22,   ABOXOE,  Fe2, 3,  6,    O2, 1.951
   22,   ABOXOE,  Fe2, 3,  6,    N6, 2.137
   22,   ABOXOE,  Fe2, 3,  6,    N4, 2.143
   22,   ABOXOE,  Fe2, 3,  6,    N5, 2.198
   23, ACNALC01,  Fe1, 3,  4,   Cl4, 2.163
   23, ACNALC01,  Fe1, 3,  4,   Cl5, 2.165
   23, ACNALC01,  Fe1, 3,  4,   Cl3,  2.17
   23, ACNALC01,  Fe1, 3,  4,   Cl2, 2.186
   24, ACNALC01,  Fe2, 3,  4,   Cl9, 2.164
   24, ACNALC01,  Fe2, 3,  4,   Cl8, 2.157
   24, ACNALC01,  Fe2, 3,  4,   Cl7, 2.168
   24, ACNALC01,  Fe2, 3,  4,   Cl6, 2.167
   25, ACNALC02,  Fe1, 3,  4,   Cl2, 2.154
   25, ACNALC02,  Fe1, 3,  4,   Cl4, 2.171
   25, ACNALC02,  Fe1, 3,  4,   Cl1,  2.17
   25, ACNALC02,  Fe1, 3,  4,   Cl3, 2.154
   26, ACNALC02,  Fe2, 3,  4,   Cl5, 2.181
   26, ACNALC02,  Fe2, 3,  4,   Cl7, 2.173
   26, ACNALC02,  Fe2, 3,  4,   Cl6, 2.159
   26, ACNALC02,  Fe2, 3,  4,   Cl8, 2.154
   27,   ACOLAG,  Fe1, 3,  6,    O1, 2.034
   27,   ACOLAG,  Fe1, 3,  6,   O1B, 2.034
   27,   ACOLAG,  Fe1, 3,  6,   O2D, 2.151
   27,   ACOLAG,  Fe1, 3,  6,   O2F, 2.151
   27,   ACOLAG,  Fe1, 3,  6,   Cl1,  2.25
   27,   ACOLAG,  Fe1, 3,  6,  Cl1B,  2.25
   28,   ACOMEL,  Fe1, 3,  6,    F1, 1.907
   28,   ACOMEL,  Fe1, 3,  6,    F3, 1.957
   28,   ACOMEL,  Fe1, 3,  6,   O3*, 1.975
   28,   ACOMEL,  Fe1, 3,  6,   O2A, 1.979
   28,   ACOMEL,  Fe1, 3,  6,    F2, 1.988
   28,   ACOMEL,  Fe1, 3,  6,    O1, 2.005
