bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
    1,   ABOCOK, Mg1, 2,  6,   O5, 2.047
    1,   ABOCOK, Mg1, 2,  6,  O1A, 2.061
    1,   ABOCOK, Mg1, 2,  6,  O5A, 2.047
    1,   ABOCOK, Mg1, 2,  6,  N1A, 2.177
    1,   ABOCOK, Mg1, 2,  6,   O1, 2.061
    1,   ABOCOK, Mg1, 2,  6,   N1, 2.177
    2,   ACOMEK, Mg1, 2,  3,  C27, 2.147
    2,   ACOMEK, Mg1, 2,  3,   N2, 2.016
    2,   ACOMEK, Mg1, 2,  3,   N1,  2.04
    3,   ACOMEK, Mg2, 2,  3, C29B, 2.158
    3,   ACOMEK, Mg2, 2,  3,   N3, 1.997
    3,   ACOMEK, Mg2, 2,  3,   N4, 2.041
    4,   ADITOW, Mg1, 2,  6,   O4, 2.143
    4,   ADITOW, Mg1, 2,  6,   O2,  1.98
    4,   ADITOW, Mg1, 2,  6,   O1, 1.971
    4,   ADITOW, Mg1, 2,  6,   N2, 2.241
    4,   ADITOW, Mg1, 2,  6,   N1, 2.237
    4,   ADITOW, Mg1, 2,  6,   O3, 2.156
    5, AECLPA01, Mg1, 2,  5,   N1, 2.058
    5, AECLPA01, Mg1, 2,  5,   N2, 2.085
    5, AECLPA01, Mg1, 2,  5,   N4, 2.189
    5, AECLPA01, Mg1, 2,  5,   N3, 2.037
    5, AECLPA01, Mg1, 2,  5,   O6,  2.04
    6, AECLPA10, Mg1, 2,  5,   N1, 2.063
    6, AECLPA10, Mg1, 2,  5,   O6, 2.034
    6, AECLPA10, Mg1, 2,  5,   N4, 2.167
    6, AECLPA10, Mg1, 2,  5,   N2, 2.093
    6, AECLPA10, Mg1, 2,  5,   N3, 2.022
    7,   AFAKIC, Mg1, 2,  5,   N1, 2.048
    7,   AFAKIC, Mg1, 2,  5,   N3, 2.043
    7,   AFAKIC, Mg1, 2,  5,   N7,  2.02
    7,   AFAKIC, Mg1, 2,  5,   N5, 2.056
    7,   AFAKIC, Mg1, 2,  5,   O1, 2.057
    8,   AFAKIC, Mg2, 2,  5,  N13, 2.034
    8,   AFAKIC, Mg2, 2,  5,   O2, 2.019
    8,   AFAKIC, Mg2, 2,  5,   N9, 2.039
    8,   AFAKIC, Mg2, 2,  5,  N15, 2.051
    8,   AFAKIC, Mg2, 2,  5,  N11, 2.037
    9,   AFAKOI, Mg1, 2,  5,   N7, 2.042
    9,   AFAKOI, Mg1, 2,  5,   N1, 2.047
    9,   AFAKOI, Mg1, 2,  5,   O1, 2.009
    9,   AFAKOI, Mg1, 2,  5,   N5,  2.04
    9,   AFAKOI, Mg1, 2,  5,   N3, 2.036
   10,   AFAKOI, Mg2, 2,  5,   O2, 1.997
   10,   AFAKOI, Mg2, 2,  5,  N15, 2.033
   10,   AFAKOI, Mg2, 2,  5,  N11, 2.029
   10,   AFAKOI, Mg2, 2,  5,   N9, 2.033
   10,   AFAKOI, Mg2, 2,  5,  N13, 2.042
   11,   AFAKUO, Mg1, 2,  5,   N5, 2.044
   11,   AFAKUO, Mg1, 2,  5,   N7, 2.045
   11,   AFAKUO, Mg1, 2,  5,   O1,     2
   11,   AFAKUO, Mg1, 2,  5,   N3, 2.045
   11,   AFAKUO, Mg1, 2,  5,   N1, 2.041
   12,   AFAKUO, Mg2, 2,  5,  N13, 2.045
   12,   AFAKUO, Mg2, 2,  5,  N11, 2.043
   12,   AFAKUO, Mg2, 2,  5,  N15, 2.042
   12,   AFAKUO, Mg2, 2,  5,   O2, 2.032
   12,   AFAKUO, Mg2, 2,  5,   N9, 2.031
   13,   AHIBAU, Mg1, 2,  4,  N1A, 2.129
   13,   AHIBAU, Mg1, 2,  4,   O1, 2.129
   13,   AHIBAU, Mg1, 2,  4,   N1, 2.135
   13,   AHIBAU, Mg1, 2,  4,   N2, 1.972
   18,   AJAXOY, Mg1, 2,  7,  O4B, 2.379
   18,   AJAXOY, Mg1, 2,  7,  O1C, 2.381
   18,   AJAXOY, Mg1, 2,  7,   O1, 2.399
   18,   AJAXOY, Mg1, 2,  7,   O2, 2.499
   18,   AJAXOY, Mg1, 2,  7,  O5C,  2.53
   19,   AJIDUT, Mg1, 2,  6,   O6, 2.071
   19,   AJIDUT, Mg1, 2,  6,  O6B, 2.071
   19,   AJIDUT, Mg1, 2,  6,   O5, 2.076
   19,   AJIDUT, Mg1, 2,  6,  O5B, 2.076
   19,   AJIDUT, Mg1, 2,  6,   O4, 2.029
   19,   AJIDUT, Mg1, 2,  6,  O4B, 2.029
   20,   AKAMIJ, Mg1, 2,  4,   N7, 1.987
   20,   AKAMIJ, Mg1, 2,  4,   N1, 2.094
   20,   AKAMIJ, Mg1, 2,  4,   N5, 2.098
   20,   AKAMIJ, Mg1, 2,  4,   N3, 2.152
   21,   AKAMIJ, Mg2, 2,  4,  N14, 1.988
   21,   AKAMIJ, Mg2, 2,  4,  N12, 2.077
   21,   AKAMIJ, Mg2, 2,  4,   N8,  2.11
   21,   AKAMIJ, Mg2, 2,  4,  N10, 2.138
   22,   AKAMOP, Mg1, 2,  4,   N7, 2.008
   22,   AKAMOP, Mg1, 2,  4,   N8, 2.024
   22,   AKAMOP, Mg1, 2,  4,   N3, 2.139
   22,   AKAMOP, Mg1, 2,  4,   N1, 2.147
   23,   AKASUB, Mg1, 2,  6,   O4, 2.053
   23,   AKASUB, Mg1, 2,  6,  O4B, 2.053
   23,   AKASUB, Mg1, 2,  6,   O3, 2.072
   23,   AKASUB, Mg1, 2,  6,  O3B, 2.072
   23,   AKASUB, Mg1, 2,  6,   O2, 2.128
   23,   AKASUB, Mg1, 2,  6,  O2B, 2.128
   24,   ALEBEY, Mg1, 2,  8,  C16, 2.411
   24,   ALEBEY, Mg1, 2,  8,   N1, 2.098
   24,   ALEBEY, Mg1, 2,  8,   C7, 2.276
   24,   ALEBEY, Mg1, 2,  8,  C14, 2.371
   24,   ALEBEY, Mg1, 2,  8,  C15, 2.376
   24,   ALEBEY, Mg1, 2,  8,   C8, 2.422
   24,   ALEBEY, Mg1, 2,  8,  C13,  2.43
   24,   ALEBEY, Mg1, 2,  8,  C12, 2.441
   25,   ALEBEY, Mg2, 2,  8,  C27, 2.429
   25,   ALEBEY, Mg2, 2,  8,  C29, 2.437
   25,   ALEBEY, Mg2, 2,  8,  C23,  2.44
   25,   ALEBEY, Mg2, 2,  8,  C24, 2.451
   25,   ALEBEY, Mg2, 2,  8,  C25, 2.454
   25,   ALEBEY, Mg2, 2,  8,  C32, 2.525
   25,   ALEBEY, Mg2, 2,  8,   N2, 2.109
   25,   ALEBEY, Mg2, 2,  8,  C26, 2.455
   25,   ALEBEY, Mg2, 2,  8,  C28, 2.316
   26,   ALEBIC, Mg1, 2, 11,  C17,  2.47
   26,   ALEBIC, Mg1, 2, 11,  C15, 2.497
   26,   ALEBIC, Mg1, 2, 11,   N1, 2.211
   26,   ALEBIC, Mg1, 2, 11,  C14, 2.381
   26,   ALEBIC, Mg1, 2, 11,  C18, 2.386
   26,   ALEBIC, Mg1, 2, 11,  C13, 2.392
   26,   ALEBIC, Mg1, 2, 11,  C19,  2.43
