bindingsiteid, csd_accession_code, atomname_cation, oxidation_state, coordination_number, atomname_anion, distance
     1,   ABAJET,  Zn1, 2,    5,    S1, 2.293
     1,   ABAJET,  Zn1, 2,    5,    N2, 2.168
     1,   ABAJET,  Zn1, 2,    5,    N1, 2.172
     1,   ABAJET,  Zn1, 2,    5,    N4, 2.122
     1,   ABAJET,  Zn1, 2,    5,    N3,   2.2
     2,   ABALAR,  Zn1, 2,    4,    N1, 2.063
     2,   ABALAR,  Zn1, 2,    4,    N2, 2.099
     2,   ABALAR,  Zn1, 2,    4,   Cl1, 2.184
     2,   ABALAR,  Zn1, 2,    4,   Cl2, 2.247
     3,   ABAYUY,  Zn1, 2,    5,    O1, 1.932
     3,   ABAYUY,  Zn1, 2,    5,   N2B, 2.044
     3,   ABAYUY,  Zn1, 2,    5,    N1, 2.051
     3,   ABAYUY,  Zn1, 2,    5,   O3C, 2.165
     3,   ABAYUY,  Zn1, 2,    5,   O4C, 2.193
     4,   ABAZAF,  Zn1, 2,    5,    N1, 2.088
     4,   ABAZAF,  Zn1, 2,    5,   O4A, 2.137
     4,   ABAZAF,  Zn1, 2,    5,   O3A, 2.173
     4,   ABAZAF,  Zn1, 2,    5,  C19A, 2.481
     4,   ABAZAF,  Zn1, 2,    5,    O2, 1.976
     4,   ABAZAF,  Zn1, 2,    5,   N2A, 2.065
     5,   ABAZEJ,  Zn1, 2,    4,    O1, 1.971
     5,   ABAZEJ,  Zn1, 2,    4,   O4A, 1.971
     5,   ABAZEJ,  Zn1, 2,    4,   N2A, 2.042
     5,   ABAZEJ,  Zn1, 2,    4,    N1,  2.05
     6,   ABIDEU,  Zn1, 2,    4,    S2, 2.339
     6,   ABIDEU,  Zn1, 2,    4,    S4, 2.341
     6,   ABIDEU,  Zn1, 2,    4,    S3, 2.344
     6,   ABIDEU,  Zn1, 2,    4,    S1,  2.34
     7,   ABINOQ,  Zn1, 2,    4,    S2, 2.402
     7,   ABINOQ,  Zn1, 2,    4,    N1, 2.057
     7,   ABINOQ,  Zn1, 2,    4,    S1, 2.271
     7,   ABINOQ,  Zn1, 2,    4,    S3, 2.347
     8,   ABINOQ,  Zn2, 2,    4,    S3, 2.408
     8,   ABINOQ,  Zn2, 2,    4,   N2C, 2.068
     8,   ABINOQ,  Zn2, 2,    4,    S4, 2.267
     8,   ABINOQ,  Zn2, 2,    4,   S2C, 2.332
     9,   ABIQUY,  Zn1, 2,    4,    N1, 2.066
     9,   ABIQUY,  Zn1, 2,    4,    N2, 2.092
     9,   ABIQUY,  Zn1, 2,    4,   Cl2, 2.204
     9,   ABIQUY,  Zn1, 2,    4,   Cl1, 2.229
    10,   ABIZOC,  Zn1, 2,    4,    O3,  1.95
    10,   ABIZOC,  Zn1, 2,    4,    N2, 2.007
    10,   ABIZOC,  Zn1, 2,    4,    N4, 2.065
    10,   ABIZOC,  Zn1, 2,    4,    O1, 1.947
    11,   ABOJOQ,  Zn1, 2,    6,    N1,  2.14
    11,   ABOJOQ,  Zn1, 2,    6,   N18, 2.144
    11,   ABOJOQ,  Zn1, 2,    6,    N9, 2.151
    11,   ABOJOQ,  Zn1, 2,    6,   N16, 2.162
    11,   ABOJOQ,  Zn1, 2,    6,    N7, 2.167
    11,   ABOJOQ,  Zn1, 2,    6,    N3, 2.172
    12,   ABOJOQ,  Zn2, 2,    6,    N4, 2.113
    12,   ABOJOQ,  Zn2, 2,    6,   N13, 2.126
    12,   ABOJOQ,  Zn2, 2,    6,   N15, 2.151
    12,   ABOJOQ,  Zn2, 2,    6,   N10, 2.178
    12,   ABOJOQ,  Zn2, 2,    6,    N6, 2.192
    12,   ABOJOQ,  Zn2, 2,    6,   N12, 2.194
    13,   ABOJOQ,  Zn3, 2,    4,   Br2, 2.385
    13,   ABOJOQ,  Zn3, 2,    4,   Br3,  2.39
    13,   ABOJOQ,  Zn3, 2,    4,   Br4, 2.401
    13,   ABOJOQ,  Zn3, 2,    4,   Br1, 2.465
    14,   ABOJOQ,  Zn4, 2,    4,   Br7, 2.447
    14,   ABOJOQ,  Zn4, 2,    4,   Br8, 2.387
    14,   ABOJOQ,  Zn4, 2,    4,   Br6, 2.402
    14,   ABOJOQ,  Zn4, 2,    4,   Br5, 2.407
    15,   ABOKOT,  Zn1, 2,    6,    O4, 2.047
    15,   ABOKOT,  Zn1, 2,    6,   O1A,  2.06
    15,   ABOKOT,  Zn1, 2,    6,    O3, 2.066
    15,   ABOKOT,  Zn1, 2,    6,   O2A, 2.069
    15,   ABOKOT,  Zn1, 2,    6,    N2,  2.24
    15,   ABOKOT,  Zn1, 2,    6,    N3, 2.255
    16,   ABOPAI,  Zn1, 2,    4,    N3, 2.035
    16,   ABOPAI,  Zn1, 2,    4,    N4, 2.054
    16,   ABOPAI,  Zn1, 2,    4,    N1,  2.08
    16,   ABOPAI,  Zn1, 2,    4,    N2,  2.08
    17,   ABOPOY,  Zn1, 2,    3,   C32, 1.992
    17,   ABOPOY,  Zn1, 2,    3,    N1, 2.073
    17,   ABOPOY,  Zn1, 2,    3,   C38, 1.973
    18,   ABOWOE,  Zn1, 2,    6,    O1, 2.138
    18,   ABOWOE,  Zn1, 2,    6,    O2, 2.135
    18,   ABOWOE,  Zn1, 2,    6,    N7, 2.151
    18,   ABOWOE,  Zn1, 2,    6,    N5, 2.172
    18,   ABOWOE,  Zn1, 2,    6,    N1, 2.173
    18,   ABOWOE,  Zn1, 2,    6,    N3, 2.177
    19,   ABOWOF,  Zn1, 2,    5,    O2, 1.988
    19,   ABOWOF,  Zn1, 2,    5,    O4,     2
    19,   ABOWOF,  Zn1, 2,    5,    N1, 2.073
    19,   ABOWOF,  Zn1, 2,    5,    O1, 2.055
    19,   ABOWOF,  Zn1, 2,    5,    O3, 2.029
    21,   ABOZOH,  Zn1, 2,    4,    N1, 2.052
    21,   ABOZOH,  Zn1, 2,    4,   Cl2, 2.208
    21,   ABOZOH,  Zn1, 2,    4,   Cl1, 2.267
    21,   ABOZOH,  Zn1, 2,    4,    N4, 2.066
    22,   ABOZOH,  Zn2, 2,    4,   Cl4, 2.214
    22,   ABOZOH,  Zn2, 2,    4,    N5, 2.045
    22,   ABOZOH,  Zn2, 2,    4,    N8, 2.059
    22,   ABOZOH,  Zn2, 2,    4,   Cl3, 2.257
    23,   ABUFIN,  Zn1, 2,    3,   C45, 1.953
    23,   ABUFIN,  Zn1, 2,    3,    O4, 1.966
    23,   ABUFIN,  Zn1, 2,    3,    O3, 1.999
    24,   ABUFIN,  Zn2, 2,    5,   C47, 1.969
    24,   ABUFIN,  Zn2, 2,    5,    O4, 1.999
    24,   ABUFIN,  Zn2, 2,    5,    O1, 2.367
    24,   ABUFIN,  Zn2, 2,    5,    O3, 1.999
    25,   ABUMUH,  Zn1, 2,    6,    O9, 2.103
    25,   ABUMUH,  Zn1, 2,    6,    N3, 2.127
    25,   ABUMUH,  Zn1, 2,    6,    N4, 2.139
    25,   ABUMUH,  Zn1, 2,    6,    N2, 2.146
    25,   ABUMUH,  Zn1, 2,    6,    N1, 2.147
    25,   ABUMUH,  Zn1, 2,    6,    O1, 2.258
    26,   ABUWOJ,  Zn1, 2,    6,    O4, 2.117
    26,   ABUWOJ,  Zn1, 2,    6,    O3, 2.108
