 refcode  , lab1  , dist1 , lab2  , ano2 
----------+-------+-------+-------+------
 ABAXAC   , Fe1   , 1.819 , O1    ,    8
 ABAXAC   , Fe1   , 2.236 , N1    ,    7
 ABAXAC   , Fe1   , 2.258 , N3    ,    7
 ABAXAC   , Fe1   , 2.342 , Cl1   ,   17
 ABAXAC   , Fe1   , 2.378 , Cl2   ,   17
 ABAXAC   , Fe1   , 2.413 , N2    ,    7
 ABECIT   , Fe1   , 1.869 , O3    ,    8
 ABECIT   , Fe1   , 1.975 , O2A   ,    8
 ABECIT   , Fe1   , 2.065 , O2    ,    8
 ABECIT   , Fe1   , 2.071 , N1    ,    7
 ABECIT   , Fe1   , 2.169 , O1    ,    8
 ABECIT   , Fe1   , 2.338 , Cl1   ,   17
 ABIJAX   , Fe1   , 1.657 , N1    ,    7
 ABIJAX   , Fe1   , 1.681 , N2    ,    7
 ABIJAX   , Fe1   ,  2.27 , S1    ,   16
 ABIJAX   , Fe1   , 2.285 , S2    ,   16
 ABIJAX   , Fe2   , 1.668 , N5    ,    7
 ABIJAX   , Fe2   , 1.672 , N6    ,    7
 ABIJAX   , Fe2   , 2.261 , S4    ,   16
 ABIJAX   , Fe2   , 2.279 , S3    ,   16
 ABIJIF   , Fe2   , 1.666 , N3    ,    7
 ABIJIF   , Fe2   , 1.676 , N4    ,    7
 ABIJIF   , Fe2   , 2.254 , S3    ,   16
 ABIJIF   , Fe2   , 2.256 , S1    ,   16
 ABIJIF   , Fe4   , 1.668 , N8    ,    7
 ABIJIF   , Fe4   , 1.671 , N7    ,    7
 ABIJIF   , Fe4   , 2.249 , S6    ,   16
 ABIJIF   , Fe4   , 2.252 , S4    ,   16
 ABIZOA   , Fe1   , 1.944 , O1A   ,    8
 ABIZOA   , Fe1   ,  1.96 , N1    ,    7
 ABIZOA   , Fe1   , 2.046 , O1    ,    8
 ABIZOA   , Fe1   , 2.101 , N3    ,    7
 ABIZOA   , Fe1   , 2.101 , N4    ,    7
 ABIZOA   , Fe1   , 2.332 , N2    ,    7
 ABIZOA   , Fe2   , 1.939 , O2A   ,    8
 ABIZOA   , Fe2   , 2.003 , N9    ,    7
 ABIZOA   , Fe2   , 2.029 , O2    ,    8
 ABIZOA   , Fe2   , 2.066 , N12   ,    7
 ABIZOA   , Fe2   ,  2.09 , N11   ,    7
 ABIZOA   , Fe2   , 2.323 , N10   ,    7
 ABOKIL   , Fe1   , 1.975 , O5    ,    8
 ABOKIL   , Fe1   , 1.975 , O5F   ,    8
 ABOKIL   , Fe1   , 1.984 , O3    ,    8
 ABOKIL   , Fe1   , 1.984 , O3F   ,    8
 ABOKIL   , Fe1   , 1.996 , O1    ,    8
 ABOKIL   , Fe1   , 1.996 , O1F   ,    8
 ABOKIL   , Fe2   , 1.905 , O2    ,    8
 ABOKIL   , Fe2   ,  1.92 , O4    ,    8
 ABOKIL   , Fe2   , 1.996 , O3    ,    8
 ABOKIL   , Fe2   ,     2 , O1    ,    8
 ABOKIL   , Fe2   , 2.288 , N2    ,    7
 ABOKIL   , Fe2   , 2.303 , N1    ,    7
 ABOKIL   , Fe3   , 1.899 , O6    ,    8
 ABOKIL   , Fe3   , 1.899 , O6F   ,    8
 ABOKIL   , Fe3   , 2.014 , O5    ,    8
 ABOKIL   , Fe3   , 2.014 , O5F   ,    8
 ABOKIL   , Fe3   , 2.264 , N3    ,    7
 ABOKIL   , Fe3   , 2.264 , N3F   ,    7
 ABOKOR   , Fe1   , 1.906 , O2    ,    8
 ABOKOR   , Fe1   , 1.913 , O4    ,    8
 ABOKOR   , Fe1   , 1.999 , O3    ,    8
 ABOKOR   , Fe1   , 2.005 , O1    ,    8
 ABOKOR   , Fe1   , 2.296 , N1    ,    7
 ABOKOR   , Fe1   , 2.296 , N2    ,    7
 ABOKOR   , Fe2   , 1.898 , O6    ,    8
 ABOKOR   , Fe2   , 1.898 , O6F   ,    8
 ABOKOR   , Fe2   , 2.014 , O5    ,    8
 ABOKOR   , Fe2   , 2.014 , O5F   ,    8
 ABOKOR   , Fe2   , 2.269 , N3    ,    7
 ABOKOR   , Fe2   , 2.269 , N3F   ,    7
 ABOXOE   , Fe1   , 1.934 , O5    ,    8
 ABOXOE   , Fe1   , 1.935 , O3    ,    8
 ABOXOE   , Fe1   , 1.949 , O1    ,    8
 ABOXOE   , Fe1   , 2.223 , N3    ,    7
 ABOXOE   , Fe1   , 2.225 , N2    ,    7
 ABOXOE   , Fe1   , 2.226 , N1    ,    7
 ABOXOE   , Fe2   , 1.911 , O6    ,    8
 ABOXOE   , Fe2   , 1.943 , O4    ,    8
 ABOXOE   , Fe2   , 1.951 , O2    ,    8
 ABOXOE   , Fe2   , 2.137 , N6    ,    7
 ABOXOE   , Fe2   , 2.143 , N4    ,    7
 ABOXOE   , Fe2   , 2.198 , N5    ,    7
 ACNALC01 , Fe1   , 2.163 , Cl4   ,   17
 ACNALC01 , Fe1   , 2.165 , Cl5   ,   17
 ACNALC01 , Fe1   ,  2.17 , Cl3   ,   17
 ACNALC01 , Fe1   , 2.186 , Cl2   ,   17
 ACNALC01 , Fe2   , 2.157 , Cl8   ,   17
 ACNALC01 , Fe2   , 2.164 , Cl9   ,   17
 ACNALC01 , Fe2   , 2.167 , Cl6   ,   17
 ACNALC01 , Fe2   , 2.168 , Cl7   ,   17
 ACOSAN   , Fe1   , 1.901 , O3    ,    8
 ACOSAN   , Fe1   , 1.915 , O1    ,    8
 ACOSAN   , Fe1   ,  2.07 , N3    ,    7
 ACOSAN   , Fe1   , 2.082 , N1    ,    7
 ACOSAN   , Fe1   , 2.195 , N4    ,    7
 ACOSAN   , Fe1   , 2.223 , N2    ,    7
 ACPICF   , Fe1   , 2.015 , O4    ,    8
 ACPICF   , Fe1   , 2.031 , O2    ,    8
 ACPICF   , Fe1   , 2.043 , O1    ,    8
 ACPICF   , Fe1   , 2.149 , N2    ,    7
 ACPICF   , Fe1   , 2.151 , N1    ,    7
 ACPICF   , Fe1   , 2.304 , Cl1   ,   17
