    WOGMIP,       Fe3, 2,       Br4, 2.443, 0.470,0,2.1638106163731665
    WOGMIP,       Fe3, 2,       Br3, 2.468, 0.439,0,2.1638106163731665
    WOGMIP,       Fe3, 2,       Br2, 2.449, 0.463,0,2.1638106163731665
    WOGMIP,       Fe3, 2,       Br1, 2.465, 0.443,0,2.1638106163731665
    YIDZER,       Fe1, 2,      Br3C, 2.335, 0.630,0,2.1638106163731665
    YIDZER,       Fe1, 2,       Br3, 2.335, 0.630,0,2.1638106163731665
    YIDZER,       Fe1, 2,       Br2, 2.318, 0.659,0,2.1638106163731665
    YIDZER,       Fe1, 2,       Br1, 2.334, 0.631,0,2.1638106163731665
    ABAYAF,       Fe2, 2,       Br4, 2.463, 0.445,0,2.1638106163731665
    ABAYAF,       Fe2, 2,       Br3, 2.484, 0.421,0,2.1638106163731665
    ABAYAF,       Fe2, 2,       Br2, 2.447, 0.465,0,2.1638106163731665
    ABAYAF,       Fe2, 2,       Br1, 2.408, 0.517,0,2.1638106163731665
    NEMDIS,       Fe5, 2,       Br4, 2.471, 0.436,0,2.1638106163731665
    NEMDIS,       Fe5, 2,       Br3, 2.469, 0.438,0,2.1638106163731665
    NEMDIS,       Fe5, 2,       Br2, 2.447, 0.465,0,2.1638106163731665
    NEMDIS,       Fe5, 2,       Br1, 2.450, 0.461,0,2.1638106163731665
    ZEYQID,       Fe4, 2,      Br1A, 2.468, 0.439,0,2.1638106163731665
    ZEYQID,       Fe4, 2,       Br2, 2.441, 0.473,0,2.1638106163731665
    ZEYQID,       Fe4, 2,       Br1, 2.468, 0.439,0,2.1638106163731665
    ZEYQID,       Fe4, 2,      Br2A, 2.441, 0.473,0,2.1638106163731665
    LABMUY,       Fe1, 2,       Br4, 2.421, 0.499,0,2.1638106163731665
    LABMUY,       Fe1, 2,       Br3, 2.488, 0.416,0,2.1638106163731665
    LABMUY,       Fe1, 2,       Br2, 2.447, 0.465,0,2.1638106163731665
    LABMUY,       Fe1, 2,       Br1, 2.440, 0.474,0,2.1638106163731665
    AWIDAM,       Fe5, 2,       Br7, 2.449, 0.463,0,2.1638106163731665
    AWIDAM,       Fe5, 2,       Br6, 2.461, 0.448,0,2.1638106163731665
    AWIDAM,       Fe5, 2,       Br5, 2.471, 0.436,0,2.1638106163731665
    AWIDAM,       Fe5, 2,       Br8, 2.480, 0.425,0,2.1638106163731665
    AWIDAM,       Fe4, 2,       Br4, 2.435, 0.480,0,2.1638106163731665
    AWIDAM,       Fe4, 2,       Br3, 2.495, 0.409,0,2.1638106163731665
    AWIDAM,       Fe4, 2,       Br2, 2.470, 0.437,0,2.1638106163731665
    AWIDAM,       Fe4, 2,       Br1, 2.458, 0.452,0,2.1638106163731665
    VOXSEG,       Fe1, 2,       Br4, 2.309, 0.675,0,2.1638106163731665
    VOXSEG,       Fe1, 2,       Br3, 2.326, 0.645,0,2.1638106163731665
    VOXSEG,       Fe1, 2,       Br2, 2.304, 0.685,0,2.1638106163731665
    VOXSEG,       Fe1, 2,       Br1, 2.336, 0.628,0,2.1638106163731665
    DEBWIQ,       Fe2, 2,      Br2F, 2.436, 0.479,0,2.1638106163731665
    DEBWIQ,       Fe2, 2,       Br2, 2.436, 0.479,0,2.1638106163731665
    DEBWIQ,       Fe2, 2,       Br1, 2.453, 0.458,0,2.1638106163731665
    DEBWIQ,       Fe2, 2,      Br1F, 2.453, 0.458,0,2.1638106163731665
    XIMSAO,       Fe1, 2,       Br4, 2.469, 0.438,0,2.1638106163731665
    XIMSAO,       Fe1, 2,       Br3, 2.435, 0.480,0,2.1638106163731665
    XIMSAO,       Fe1, 2,       Br2, 2.433, 0.483,0,2.1638106163731665
    XIMSAO,       Fe1, 2,       Br1, 2.465, 0.443,0,2.1638106163731665
    WIBNUR,       Fe1, 2,       Br4, 2.476, 0.430,0,2.1638106163731665
    WIBNUR,       Fe1, 2,       Br3, 2.403, 0.524,0,2.1638106163731665
    WIBNUR,       Fe1, 2,       Br2, 2.390, 0.543,0,2.1638106163731665
    WIBNUR,       Fe1, 2,       Br1, 2.496, 0.407,0,2.1638106163731665
