    CEYHET,       Fe1, 2,        S3, 2.349, 0.383,0,1.9943487257008297
    CEYHET,       Fe1, 2,        S2, 2.355, 0.377,0,1.9943487257008297
    CEYHET,       Fe1, 2,        S1, 2.367, 0.365,0,1.9943487257008297
    CEYHET,       Fe1, 2,        S7, 2.323, 0.411,0,1.9943487257008297
    YOMPIZ,       Fe1, 2,        S3, 2.285, 0.456,0,1.9943487257008297
    YOMPIZ,       Fe1, 2,        S2, 2.271, 0.473,0,1.9943487257008297
    YOMPIZ,       Fe1, 2,        S1, 2.267, 0.479,0,1.9943487257008297
  EDTCFD01,       Fe1, 2,        S3, 2.319, 0.416,0,1.9943487257008297
  EDTCFD01,       Fe1, 2,        S2, 2.309, 0.427,0,1.9943487257008297
  EDTCFD01,       Fe1, 2,        S1, 2.334, 0.399,0,1.9943487257008297
  EDTCFD01,       Fe1, 2,        S4, 2.304, 0.433,0,1.9943487257008297
  EDTCFD01,       Fe1, 2,       S1B, 2.801, 0.113,0,1.9943487257008297
    MAJYOM,       Fe1, 2,       S2B, 2.224, 0.538,0,1.9943487257008297
    MAJYOM,       Fe1, 2,       S1B, 2.226, 0.535,0,1.9943487257008297
    MAJYOM,       Fe1, 2,        S1, 2.226, 0.535,0,1.9943487257008297
    MAJYOM,       Fe1, 2,        S2, 2.224, 0.538,0,1.9943487257008297
    KURPUI,       Fe2, 2,      S11A, 2.489, 0.263,0,1.9943487257008297
    KURPUI,       Fe2, 2,       S20, 2.238, 0.518,0,1.9943487257008297
    KURPUI,       Fe2, 2,       S11, 2.238, 0.518,0,1.9943487257008297
    KURPUI,       Fe2, 2,       S15, 2.240, 0.515,0,1.9943487257008297
    KURPUI,       Fe2, 2,       S16, 2.236, 0.520,0,1.9943487257008297
    KURPUI,       Fe1, 2,       S1A, 2.500, 0.255,0,1.9943487257008297
    KURPUI,       Fe1, 2,       S10, 2.234, 0.523,0,1.9943487257008297
    KURPUI,       Fe1, 2,        S6, 2.236, 0.520,0,1.9943487257008297
    KURPUI,       Fe1, 2,        S5, 2.234, 0.523,0,1.9943487257008297
    KURPUI,       Fe1, 2,        S1, 2.249, 0.502,0,1.9943487257008297
    JASCIP,       Fe1, 2,        S9, 2.525, 0.238,0,1.9943487257008297
    JASCIP,       Fe1, 2,       S9D, 2.525, 0.238,0,1.9943487257008297
    JASCIP,       Fe1, 2,        S1, 2.495, 0.258,0,1.9943487257008297
    JASCIP,       Fe1, 2,       S10, 2.514, 0.245,0,1.9943487257008297
    JASCIP,       Fe1, 2,      S10D, 2.514, 0.245,0,1.9943487257008297
    JASCIP,       Fe1, 2,       S1D, 2.495, 0.258,0,1.9943487257008297
    KIDBEF,       Fe1, 2,       S2A, 2.251, 0.500,0,1.9943487257008297
    KIDBEF,       Fe1, 2,        S3, 2.264, 0.482,0,1.9943487257008297
    KIDBEF,       Fe1, 2,        S2, 2.251, 0.500,0,1.9943487257008297
    KIDBEF,       Fe1, 2,        S1, 2.261, 0.486,0,1.9943487257008297
    KIDBEF,       Fe1, 2,       S1A, 2.261, 0.486,0,1.9943487257008297
    KIDBEF,       Fe1, 2,       S3A, 2.264, 0.482,0,1.9943487257008297
  PTSQFE10,       Fe1, 2,        S3, 2.397, 0.337,0,1.9943487257008297
  PTSQFE10,       Fe1, 2,        S2, 2.394, 0.340,0,1.9943487257008297
  PTSQFE10,       Fe1, 2,        S1, 2.379, 0.354,0,1.9943487257008297
  PTSQFE10,       Fe1, 2,        S4, 2.387, 0.346,0,1.9943487257008297
    CEYHET,       Fe3, 2,        S2, 2.364, 0.368,0,1.9943487257008297
    CEYHET,       Fe3, 2,        S9, 2.307, 0.430,0,1.9943487257008297
    CEYHET,       Fe3, 2,        S6, 2.364, 0.368,0,1.9943487257008297
    CEYHET,       Fe3, 2,        S4, 2.352, 0.380,0,1.9943487257008297
    KURPOC,       Fe1, 2,        S1, 2.248, 0.504,0,1.9943487257008297
    KURPOC,       Fe1, 2,       S10, 2.242, 0.512,0,1.9943487257008297
    KURPOC,       Fe1, 2,       S1A, 2.478, 0.271,0,1.9943487257008297
    KURPOC,       Fe1, 2,        S5, 2.238, 0.518,0,1.9943487257008297
    KURPOC,       Fe1, 2,        S6, 2.250, 0.501,0,1.9943487257008297
    COZXOE,       Fe2, 2,        S3, 2.331, 0.403,0,1.9943487257008297
    COZXOE,       Fe2, 2,        S1, 2.319, 0.416,0,1.9943487257008297
    COZXOE,       Fe2, 2,        S6, 2.307, 0.430,0,1.9943487257008297
    COZXOE,       Fe2, 2,        S4, 2.297, 0.441,0,1.9943487257008297
    FATBOR,       Fe1, 2,       S2B, 2.521, 0.241,0,1.9943487257008297
