refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
FULHOJ,0,Fe2,3,2.955648271078211,F1,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe2,3,2.955648271078211,F1N,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe2,3,2.955648271078211,F1L,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe2,3,2.955648271078211,F1M,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe2,3,2.955648271078211,F1B,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe2,3,2.955648271078211,F1A,1.939,1.6770246592986626,0.4926080451797018
FULHOJ,0,Fe1,3,2.9958605566171328,F2B,1.934,1.6770246592986626,0.49931009276952215
FULHOJ,0,Fe1,3,2.9958605566171328,F2,1.934,1.6770246592986626,0.49931009276952215
FULHOJ,0,Fe1,3,2.9958605566171328,F2A,1.934,1.6770246592986626,0.49931009276952215
FULHOJ,0,Fe1,3,2.9958605566171328,F2M,1.934,1.6770246592986626,0.49931009276952215
FULHOJ,0,Fe1,3,2.9958605566171328,F2L,1.934,1.6770246592986626,0.49931009276952215
FULHOJ,0,Fe1,3,2.9958605566171328,F2N,1.934,1.6770246592986626,0.49931009276952215
NUYGET,0,Fe1,3,3.0116585671767964,F1,1.914,1.6770246592986626,0.52704260263823355
NUYGET,0,Fe1,3,3.0116585671767964,F5,1.92,1.6770246592986626,0.51856488982880011
NUYGET,0,Fe1,3,3.0116585671767964,F2,1.922,1.6770246592986626,0.51576939855872406
NUYGET,0,Fe1,3,3.0116585671767964,F3,1.923,1.6770246592986626,0.51437730926041036
NUYGET,0,Fe1,3,3.0116585671767964,F4,1.957,1.6770246592986626,0.46921691599679316
NUYGET,0,Fe1,3,3.0116585671767964,F6,1.959,1.6770246592986626,0.46668745089383545
ADOSIW,0,Fe1,3,3.0357010725936866,F6,1.911,1.6770246592986626,0.53133329221918457
ADOSIW,0,Fe1,3,3.0357010725936866,F2,1.925,1.6770246592986626,0.51160439249383682
ADOSIW,0,Fe1,3,3.0357010725936866,F4,1.925,1.6770246592986626,0.51160439249383682
ADOSIW,0,Fe1,3,3.0357010725936866,F3,1.926,1.6770246592986626,0.51022354477051135
ADOSIW,0,Fe1,3,3.0357010725936866,F5,1.936,1.6770246592986626,0.49661840069245367
ADOSIW,0,Fe1,3,3.0357010725936866,F1,1.953,1.6770246592986626,0.47431704992386375
JELNIY,1,Fe1,3,2.9960362153736764,F2,1.908,1.665608388097644,0.51938364702765927
JELNIY,1,Fe1,3,2.9960362153736764,F2B,1.909,1.665608388097644,0.51798180267867944
JELNIY,1,Fe1,3,2.9960362153736764,F2D,1.909,1.665608388097644,0.51798180267867944
JELNIY,1,Fe1,3,2.9960362153736764,F1B,1.937,1.665608388097644,0.48022965432955284
JELNIY,1,Fe1,3,2.9960362153736764,F1D,1.937,1.665608388097644,0.48022965432955284
JELNIY,1,Fe1,3,2.9960362153736764,F1,1.937,1.665608388097644,0.48022965432955284
VUYRIR,1,Fe1,3,3.0039534162037507,F1,1.897,1.665608388097644,0.5350566045042171
VUYRIR,1,Fe1,3,3.0039534162037507,F4,1.908,1.665608388097644,0.51938364702765927
VUYRIR,1,Fe1,3,3.0039534162037507,F5,1.916,1.665608388097644,0.50827426456181379
VUYRIR,1,Fe1,3,3.0039534162037507,F6,1.923,1.665608388097644,0.49874865618804515
VUYRIR,1,Fe1,3,3.0039534162037507,F2,1.941,1.665608388097644,0.47506594462688734
VUYRIR,1,Fe1,3,3.0039534162037507,F3,1.947,1.665608388097644,0.46742429929512758
