refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
PULKOW,0,Fe1,3,2.1927344439301191,Cl1,2.29,2.0858660210026101,0.57596207829341606
PULKOW,0,Fe1,3,2.1927344439301191,Cl4,2.308,2.0858660210026101,0.54861294441375519
PULKOW,0,Fe1,3,2.1927344439301191,Cl3,2.311,2.0858660210026101,0.54418271600713763
PULKOW,0,Fe1,3,2.1927344439301191,Cl2,2.325,2.0858660210026101,0.52397670521581008
MODXOS,0,Fe1,3,2.4462060046444885,N2B,2.008,1.6765278128056351,0.40825194773705403
MODXOS,0,Fe1,3,2.4462060046444885,N2A,2.008,1.6765278128056351,0.40825194773705403
MODXOS,0,Fe1,3,2.4462060046444885,N1B,2.008,1.6765278128056351,0.40825194773705403
MODXOS,0,Fe1,3,2.4462060046444885,N1A,2.009,1.6765278128056351,0.4071500538111088
MODXOS,0,Fe1,3,2.4462060046444885,N1,2.009,1.6765278128056351,0.4071500538111088
MODXOS,0,Fe1,3,2.4462060046444885,N2,2.009,1.6765278128056351,0.4071500538111088
DAPCIG,0,Fe1,3,2.4659979965983543,N7,1.941,1.6765278128056351,0.48929500210353383
DAPCIG,0,Fe1,3,2.4659979965983543,N3,1.944,1.6765278128056351,0.48534378542225159
DAPCIG,0,Fe1,3,2.4659979965983543,N5,1.947,1.6765278128056351,0.48142447610400241
DAPCIG,0,Fe1,3,2.4659979965983543,N1,1.949,1.6765278128056351,0.47882920221148334
DAPCIG,0,Fe1,3,2.4659979965983543,Cl1,2.32,2.0858660210026101,0.53110553075708344
SUMXIH,0,Fe1,3,2.4833537152126004,N4,1.874,1.6765278128056351,0.5864261038080717
SUMXIH,0,Fe1,3,2.4833537152126004,N1,1.876,1.6765278128056351,0.58326478477954824
SUMXIH,0,Fe1,3,2.4833537152126004,N2,1.91,1.6765278128056351,0.53205633023994825
SUMXIH,0,Fe1,3,2.4833537152126004,N3,1.911,1.6765278128056351,0.53062028163858332
SUMXIH,0,Fe1,3,2.4833537152126004,N5,2.188,1.6765278128056351,0.25098621474644894
QOLKIM,0,Fe1,3,2.4834759736961054,N1,1.872,1.6765278128056351,0.58960455731524231
QOLKIM,0,Fe1,3,2.4834759736961054,N4,1.889,1.6765278128056351,0.56312753183831243
QOLKIM,0,Fe1,3,2.4834759736961054,N3,2.016,1.6765278128056351,0.39951962230518351
QOLKIM,0,Fe1,3,2.4834759736961054,N2,2.032,1.6765278128056351,0.38261131782361202
QOLKIM,0,Fe1,3,2.4834759736961054,Cl1,2.308,2.0858660210026101,0.54861294441375519
