    JAFKIK,       Fe1, 3,        N1, 2.075, 0.408,0,1.7436855365387394
    JAFKIK,       Fe1, 3,        N2, 2.078, 0.405,0,1.7436855365387394
    JAFKIK,       Fe1, 3,        N3, 2.079, 0.404,0,1.7436855365387394
    JAFKIK,       Fe1, 3,        N4, 2.064, 0.421,0,1.7436855365387394
    JAFKIK,       Fe1, 3,        O1, 1.875, 0.744,0,1.7655282350223604
    TALREE,       Fe1, 3,       O16, 2.019, 0.504,0,1.7655282350223604
    TALREE,       Fe1, 3,       O13, 1.943, 0.619,0,1.7655282350223604
    TALREE,       Fe1, 3,       O11, 2.064, 0.446,0,1.7655282350223604
    TALREE,       Fe1, 3,        O9, 2.007, 0.521,0,1.7655282350223604
    TALREE,       Fe1, 3,        O6, 1.932, 0.638,0,1.7655282350223604
    TALREE,       Fe1, 3,        O4, 2.035, 0.483,0,1.7655282350223604
    PETDAT,       Fe1, 3,        O3, 1.965, 0.583,0,1.7655282350223604
    PETDAT,       Fe1, 3,        N1, 2.060, 0.425,0,1.7436855365387394
    PETDAT,       Fe1, 3,        O5, 1.978, 0.563,0,1.7655282350223604
    PETDAT,       Fe1, 3,        N3, 2.205, 0.287,0,1.7436855365387394
    PETDAT,       Fe1, 3,        N4, 2.200, 0.291,0,1.7436855365387394
    PETDAT,       Fe1, 3,        N2, 2.067, 0.417,0,1.7436855365387394
    QIWFIL,       Fe1, 3,        O2, 1.968, 0.579,0,1.7655282350223604
    QIWFIL,       Fe1, 3,        N1, 2.366, 0.186,0,1.7436855365387394
    QIWFIL,       Fe1, 3,        N3, 2.030, 0.461,0,1.7436855365387394
    QIWFIL,       Fe1, 3,        O3, 2.068, 0.442,0,1.7655282350223604
    QIWFIL,       Fe1, 3,        N5, 2.077, 0.406,0,1.7436855365387394
    QIWFIL,       Fe1, 3,        O1, 1.957, 0.596,0,1.7655282350223604
    QIWFIL,       Fe2, 3,        N9, 2.050, 0.437,0,1.7436855365387394
    QIWFIL,       Fe2, 3,        O6, 2.073, 0.436,0,1.7655282350223604
    QIWFIL,       Fe2, 3,        N2, 2.392, 0.173,0,1.7436855365387394
    QIWFIL,       Fe2, 3,        O2, 1.981, 0.559,0,1.7655282350223604
    QIWFIL,       Fe2, 3,        O1, 1.968, 0.579,0,1.7655282350223604
    QIWFIL,       Fe2, 3,        N7, 2.088, 0.394,0,1.7436855365387394
    UNAKOJ,       Fe1, 3,        O2, 1.965, 0.583,0,1.7655282350223604
    UNAKOJ,       Fe1, 3,        O1, 1.932, 0.638,0,1.7655282350223604
    UNAKOJ,       Fe1, 3,        N1, 2.070, 0.414,0,1.7436855365387394
    UNAKOJ,       Fe1, 3,        N4, 2.099, 0.383,0,1.7436855365387394
    UNAKOJ,       Fe1, 3,        N5, 2.243, 0.259,0,1.7436855365387394
    UNAKOJ,       Fe1, 3,        N6, 2.076, 0.407,0,1.7436855365387394
    UNAKOJ,       Fe2, 3,        N8, 2.299, 0.223,0,1.7436855365387394
    UNAKOJ,       Fe2, 3,        N9, 2.096, 0.386,0,1.7436855365387394
    UNAKOJ,       Fe2, 3,        N2, 2.070, 0.414,0,1.7436855365387394
    UNAKOJ,       Fe2, 3,        O4, 1.932, 0.638,0,1.7655282350223604
    UNAKOJ,       Fe2, 3,        O3, 1.958, 0.594,0,1.7655282350223604
    UNAKOJ,       Fe2, 3,        N7, 2.100, 0.382,0,1.7436855365387394
    FISTUW,       Fe1, 3,        N1, 1.938, 0.591,0,1.7436855365387394
    FISTUW,       Fe1, 3,        N2, 2.000, 0.500,0,1.7436855365387394
    FISTUW,       Fe1, 3,        N3, 1.999, 0.502,0,1.7436855365387394
    FISTUW,       Fe1, 3,        N4, 1.925, 0.613,0,1.7436855365387394
    FISTUW,       Fe1, 3,        O2, 1.890, 0.714,0,1.7655282350223604
    FISTUW,       Fe1, 3,        O1, 1.869, 0.756,0,1.7655282350223604
    OMAJUH,       Fe2, 3,        O8, 2.039, 0.478,0,1.7655282350223604
    OMAJUH,       Fe2, 3,        O7, 2.076, 0.432,0,1.7655282350223604
    OMAJUH,       Fe2, 3,        N1, 2.257, 0.250,0,1.7436855365387394
    OMAJUH,       Fe2, 3,        O4, 2.056, 0.456,0,1.7655282350223604
    OMAJUH,       Fe2, 3,        O2, 2.049, 0.465,0,1.7655282350223604
    OMAJUH,       Fe2, 3,        O1, 1.853, 0.789,0,1.7655282350223604
    NIPGOI,       Fe1, 3,        N5, 2.101, 0.381,0,1.7436855365387394
    NIPGOI,       Fe1, 3,        O1, 1.973, 0.571,0,1.7655282350223604
    NIPGOI,       Fe1, 3,        O5, 1.790, 0.936,0,1.7655282350223604
    NIPGOI,       Fe1, 3,        N3, 2.242, 0.260,0,1.7436855365387394
    NIPGOI,       Fe1, 3,        N2, 2.125, 0.357,0,1.7436855365387394
    NIPGOI,       Fe1, 3,        N6, 2.312, 0.215,0,1.7436855365387394
    OBOTUU,       Fe1, 3,        N1, 2.161, 0.324,0,1.7436855365387394
    OBOTUU,       Fe1, 3,        N2, 1.699, 1.128,0,1.7436855365387394
    OBOTUU,       Fe1, 3,        N3, 1.690, 1.156,0,1.7436855365387394
    OBOTUU,       Fe1, 3,        N4, 2.251, 0.254,0,1.7436855365387394
    OBOTUU,       Fe1, 3,        N5, 2.206, 0.287,0,1.7436855365387394
    NOPZEX,       Fe2, 3,       O10, 2.027, 0.493,0,1.7655282350223604
    NOPZEX,       Fe2, 3,       O6A, 1.965, 0.583,0,1.7655282350223604
    NOPZEX,       Fe2, 3,        O9, 1.993, 0.541,0,1.7655282350223604
    NOPZEX,       Fe2, 3,        O8, 1.997, 0.535,0,1.7655282350223604
    NOPZEX,       Fe2, 3,        O7, 2.000, 0.531,0,1.7655282350223604
    NOPZEX,       Fe2, 3,        O6, 1.979, 0.562,0,1.7655282350223604
    MODXOS,       Fe1, 3,       N2B, 2.008, 0.490,0,1.7436855365387394
    MODXOS,       Fe1, 3,       N2A, 2.008, 0.490,0,1.7436855365387394
    MODXOS,       Fe1, 3,       N1B, 2.008, 0.490,0,1.7436855365387394
    MODXOS,       Fe1, 3,       N1A, 2.009, 0.488,0,1.7436855365387394
    MODXOS,       Fe1, 3,        N1, 2.009, 0.488,0,1.7436855365387394
    MODXOS,       Fe1, 3,        N2, 2.009, 0.488,0,1.7436855365387394
    NOPZEX,       Fe1, 3,       O1A, 1.965, 0.583,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O5, 2.007, 0.521,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O4, 2.013, 0.512,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O3, 2.010, 0.516,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O2, 2.003, 0.526,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O1, 1.989, 0.547,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,        O3, 1.924, 0.652,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,       O1A, 2.045, 0.470,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,        N3, 2.184, 0.304,0,1.7436855365387394
    ZOVWUC,       Fe1, 3,        N4, 2.192, 0.298,0,1.7436855365387394
    ZOVWUC,       Fe1, 3,        O2, 1.948, 0.611,0,1.7655282350223604
