refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
FIKKEQ,0,Fe1,3,2.115127784673617,O1,1.999,1.7556666558517493,0.51806338109203764
FIKKEQ,0,Fe1,3,2.115127784673617,N4,2.107,1.8276437708397906,0.47000270190141857
FIKKEQ,0,Fe1,3,2.115127784673617,N3,2.165,1.8276437708397906,0.40181094288127261
FIKKEQ,0,Fe1,3,2.115127784673617,N1,2.198,1.8276437708397906,0.36752542409396782
FIKKEQ,0,Fe1,3,2.115127784673617,N2,2.208,1.8276437708397906,0.35772533470492018
LEFXAV,0,Fe3,3,2.196931080401185,O21,2.099,1.7556666558517493,0.39537209012934393
LEFXAV,0,Fe3,3,2.196931080401185,O5,2.108,1.7556666558517493,0.38587095399760624
LEFXAV,0,Fe3,3,2.196931080401185,O17,2.122,1.7556666558517493,0.37154320629230614
LEFXAV,0,Fe3,3,2.196931080401185,O11,2.131,1.7556666558517493,0.36261469902045845
LEFXAV,0,Fe3,3,2.196931080401185,O3,2.152,1.7556666558517493,0.34260702086802519
LEFXAV,0,Fe3,3,2.196931080401185,O1,2.156,1.7556666558517493,0.338923110093445
WUSYAL,0,Fe1,3,2.2165758582469768,O4,2.0,1.7556666558517493,0.51666510021170331
WUSYAL,0,Fe1,3,2.2165758582469768,N3,2.1,1.8276437708397906,0.47897929084532553
WUSYAL,0,Fe1,3,2.2165758582469768,N2,2.133,1.8276437708397906,0.43810919070009441
WUSYAL,0,Fe1,3,2.2165758582469768,N4,2.14,1.8276437708397906,0.42989855155007645
WUSYAL,0,Fe1,3,2.2165758582469768,N1,2.213,1.8276437708397906,0.35292372493977692
FEHPIR,0,Fe1,3,2.296322419105306,O2,1.977,1.7556666558517493,0.54980136120932821
FEHPIR,0,Fe1,3,2.296322419105306,O1,2.058,1.7556666558517493,0.44170318644988438
FEHPIR,0,Fe1,3,2.296322419105306,N1,2.085,1.8276437708397906,0.49879635332024003
FEHPIR,0,Fe1,3,2.296322419105306,N2,2.105,1.8276437708397906,0.47255013580065586
FEHPIR,0,Fe1,3,2.296322419105306,O1B,2.162,1.7556666558517493,0.3334713823251978
KEFFEG,0,Fe1,3,2.3356368687007514,N2B,1.992,1.8276437708397906,0.64133327668261308
KEFFEG,0,Fe1,3,2.3356368687007514,N2,1.992,1.8276437708397906,0.64133327668261308
KEFFEG,0,Fe1,3,2.3356368687007514,N3,2.002,1.8276437708397906,0.62423208305728928
KEFFEG,0,Fe1,3,2.3356368687007514,N1,2.141,1.8276437708397906,0.42873823227823593
XADBIO,0,Fe2,3,2.3566060445001007,O1,2.022,1.7556666558517493,0.48683995274071773
XADBIO,0,Fe2,3,2.3566060445001007,N10,2.03,1.8276437708397906,0.57873607898534341
XADBIO,0,Fe2,3,2.3566060445001007,N9,2.106,1.8276437708397906,0.47127469761296414
