refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
MODXOS,0,Fe1,3,2.5932976122995242,N2B,2.008,1.6981328603902974,0.43280034439985687
MODXOS,0,Fe1,3,2.5932976122995242,N2A,2.008,1.6981328603902974,0.43280034439985687
MODXOS,0,Fe1,3,2.5932976122995242,N1B,2.008,1.6981328603902974,0.43280034439985687
MODXOS,0,Fe1,3,2.5932976122995242,N1A,2.009,1.6981328603902974,0.43163219303331796
MODXOS,0,Fe1,3,2.5932976122995242,N1,2.009,1.6981328603902974,0.43163219303331796
MODXOS,0,Fe1,3,2.5932976122995242,N2,2.009,1.6981328603902974,0.43163219303331796
SUMXIH,0,Fe1,3,2.632679033543595,N4,1.874,1.6981328603902974,0.62168820283662207
SUMXIH,0,Fe1,3,2.632679033543595,N1,1.876,1.6981328603902974,0.61833679209164738
SUMXIH,0,Fe1,3,2.632679033543595,N2,1.91,1.6981328603902974,0.56404914721016353
SUMXIH,0,Fe1,3,2.632679033543595,N3,1.911,1.6981328603902974,0.56252674827810512
SUMXIH,0,Fe1,3,2.632679033543595,N5,2.188,1.6981328603902974,0.26607814312705674
RIQSUF,0,Fe1,3,2.6399233203123154,N5,1.731,1.6981328603902974,0.91500101258838951
RIQSUF,0,Fe1,3,2.6399233203123154,N3,1.998,1.6981328603902974,0.44465715645994719
RIQSUF,0,Fe1,3,2.6399233203123154,N2,2.0,1.6981328603902974,0.44226008866102423
RIQSUF,0,Fe1,3,2.6399233203123154,N4,2.017,1.6981328603902974,0.42239977467663559
RIQSUF,0,Fe1,3,2.6399233203123154,N1,2.023,1.6981328603902974,0.41560528792631857
RIQSUF01,0,Fe1,3,2.6910190208925586,N5,1.722,1.6981328603902974,0.93753069276051837
RIQSUF01,0,Fe1,3,2.6910190208925586,N2,1.988,1.6981328603902974,0.45683879264286303
RIQSUF01,0,Fe1,3,2.6910190208925586,N3,1.993,1.6981328603902974,0.45070682100138088
RIQSUF01,0,Fe1,3,2.6910190208925586,N1,2.016,1.6981328603902974,0.42354293981116059
RIQSUF01,0,Fe1,3,2.6910190208925586,N4,2.017,1.6981328603902974,0.42239977467663559
CIRSOM,0,Fe2,3,2.6920938606338378,N1,1.978,1.6981328603902974,0.46935415169054578
CIRSOM,0,Fe2,3,2.6920938606338378,N4,1.985,1.6981328603902974,0.46055794824424129
CIRSOM,0,Fe2,3,2.6920938606338378,N6,1.991,1.6981328603902974,0.45314967043563176
CIRSOM,0,Fe2,3,2.6920938606338378,N3,2.0,1.6981328603902974,0.44226008866102423
CIRSOM,0,Fe2,3,2.6920938606338378,N2,2.007,1.6981328603902974,0.43397165720253794
CIRSOM,0,Fe2,3,2.6920938606338378,N5,2.008,1.6981328603902974,0.43280034439985687
ZAWJIQ,0,Fe1,3,2.6963753825686054,N3A,1.975,1.6981328603902974,0.47317519567893285
ZAWJIQ,0,Fe1,3,2.6963753825686054,N3,1.975,1.6981328603902974,0.47317519567893285
ZAWJIQ,0,Fe1,3,2.6963753825686054,N1A,2.003,1.6981328603902974,0.43868869424197166
ZAWJIQ,0,Fe1,3,2.6963753825686054,N1,2.003,1.6981328603902974,0.43868869424197166
ZAWJIQ,0,Fe1,3,2.6963753825686054,N2A,2.005,1.6981328603902974,0.43632380136339816
ZAWJIQ,0,Fe1,3,2.6963753825686054,N2,2.005,1.6981328603902974,0.43632380136339816
