    NUYGUJ,       Zn1, 2,       O1E, 1.947, 0.519
    NUYGUJ,       Zn1, 2,      Cl1E, 2.253, 0.519
    NUYGUJ,       Zn1, 2,       Cl1, 2.253, 0.519
    NUYGUJ,       Zn1, 2,        O1, 1.947, 0.519
    QUDKIK,       Zn2, 2,       O6A, 1.962, 0.498
    QUDKIK,       Zn2, 2,       N6B, 2.018, 0.512
    QUDKIK,       Zn2, 2,        O1, 1.997, 0.453
    QUDKIK,       Zn2, 2,       O7*, 1.962, 0.498
    QUDKIK,       Zn1, 2,        O7, 1.891, 0.603
    QUDKIK,       Zn1, 2,       O4B, 1.972, 0.485
    QUDKIK,       Zn1, 2,        O3, 2.021, 0.425
    QUDKIK,       Zn1, 2,        N5, 1.984, 0.561
    PESGEA,       Zn1, 2,       O3A, 1.981, 0.473
    PESGEA,       Zn1, 2,        N1, 2.145, 0.363
    PESGEA,       Zn1, 2,        N2, 2.178, 0.332
    PESGEA,       Zn1, 2,        O1, 2.020, 0.426
    PESGEA,       Zn1, 2,       O2A, 2.051, 0.391
    QUGDOM,       Zn1, 2,        N1, 2.003, 0.533
    QUGDOM,       Zn1, 2,        S1, 2.256, 0.638
    QUGDOM,       Zn1, 2,        N3, 2.085, 0.427
    QUGDOM,       Zn1, 2,        N5, 2.050, 0.469
    QUGDOM,       Zn2, 2,        S2, 2.268, 0.618
    QUGDOM,       Zn2, 2,       N11, 2.035, 0.489
    QUGDOM,       Zn2, 2,        N9, 2.067, 0.448
    QUGDOM,       Zn2, 2,        N7, 2.028, 0.498
    JEVMIH,       Zn1, 2,        N1, 1.950, 0.615
    JEVMIH,       Zn1, 2,        N2, 1.935, 0.640
    JEVMIH,       Zn1, 2,        O2, 1.941, 0.527
    JEVMIH,       Zn1, 2,        O1, 1.944, 0.523
    RORZAZ,       Zn1, 2,        N1, 2.163, 0.346
    RORZAZ,       Zn1, 2,        N2, 2.156, 0.352
    RORZAZ,       Zn1, 2,       O5A, 1.985, 0.468
    RORZAZ,       Zn1, 2,        O1, 2.054, 0.388
    RORZAZ,       Zn1, 2,       O2A, 1.985, 0.468
    UWONOK,       Zn1, 2,        N1, 2.038, 0.485
    UWONOK,       Zn1, 2,        O4, 1.947, 0.519
    UWONOK,       Zn1, 2,       Cl1, 2.268, 0.498
    UWONOK,       Zn1, 2,       Cl2, 2.302, 0.454
  GEPMET01,       Zn1, 2,        O8, 2.120, 0.325
  GEPMET01,       Zn1, 2,        O7, 2.143, 0.305
  GEPMET01,       Zn1, 2,        O5, 2.144, 0.304
  GEPMET01,       Zn1, 2,        N3, 2.123, 0.385
  GEPMET01,       Zn1, 2,        O2, 2.091, 0.351
  GEPMET01,       Zn1, 2,        N7, 2.121, 0.387
    PODVIO,       Zn1, 2,        I1, 2.561, 0.581
    PODVIO,       Zn1, 2,        N1, 2.010, 0.523
    PODVIO,       Zn1, 2,        I2, 2.555, 0.590
    PODVIO,       Zn1, 2,        O1, 1.952, 0.512
    FOZKEL,       Zn1, 2,       N3A, 2.241, 0.280
    FOZKEL,       Zn1, 2,       N2A, 2.287, 0.247
    FOZKEL,       Zn1, 2,       N1A, 2.052, 0.467
    FOZKEL,       Zn1, 2,        N1, 2.052, 0.467
    FOZKEL,       Zn1, 2,        N2, 2.287, 0.247
    FOZKEL,       Zn1, 2,        N3, 2.241, 0.280
    DOCYIE,       Zn1, 2,        N3, 2.133, 0.375
    DOCYIE,       Zn1, 2,       O10, 2.147, 0.302
    DOCYIE,       Zn1, 2,       O3*, 2.074, 0.368
    DOCYIE,       Zn1, 2,        N2, 2.132, 0.376
    DOCYIE,       Zn1, 2,        O4, 2.089, 0.353
    DOCYIE,       Zn1, 2,        O1, 2.135, 0.312
    YABNAS,       Zn1, 2,       N1A, 2.216, 0.300
    YABNAS,       Zn1, 2,       O1A, 2.207, 0.257
    YABNAS,       Zn1, 2,       O3A, 2.046, 0.397
    YABNAS,       Zn1, 2,        N1, 2.216, 0.300
    YABNAS,       Zn1, 2,        O3, 2.046, 0.397
    YABNAS,       Zn1, 2,        O1, 2.207, 0.257
    AMOFOX,       Zn1, 2,        N1, 2.064, 0.452
    AMOFOX,       Zn1, 2,        N2, 2.041, 0.481
    AMOFOX,       Zn1, 2,        O3, 2.039, 0.404
    AMOFOX,       Zn1, 2,        O2, 2.040, 0.403
    AMOFOX,       Zn1, 2,        O1, 2.028, 0.417
    CUXRIX,       Zn1, 2,        N1, 2.220, 0.296
    CUXRIX,       Zn1, 2,        N2, 2.081, 0.431
    CUXRIX,       Zn1, 2,        N3, 2.200, 0.313
    CUXRIX,       Zn1, 2,        N4, 2.166, 0.343
    CUXRIX,       Zn1, 2,        N5, 2.075, 0.439
    CUXRIX,       Zn1, 2,        N6, 2.250, 0.273
    PEHQUP,       Zn1, 2,       N2B, 2.102, 0.408
    PEHQUP,       Zn1, 2,        N2, 2.102, 0.408
    PEHQUP,       Zn1, 2,       O2B, 2.194, 0.266
    PEHQUP,       Zn1, 2,        O2, 2.194, 0.266
    POWFOX,       Zn1, 2,       N2*, 2.096, 0.414
    POWFOX,       Zn1, 2,       O1A, 2.156, 0.295
    POWFOX,       Zn1, 2,        N1, 2.145, 0.363
    POWFOX,       Zn1, 2,        O2, 2.101, 0.342
    POWFOX,       Zn1, 2,        O1, 2.156, 0.295
    POWFOX,       Zn1, 2,       O2A, 2.101, 0.342
    LAKKAK,       Zn2, 2,        O5, 1.941, 0.527
    LAKKAK,       Zn2, 2,        O4, 1.948, 0.517
    LAKKAK,       Zn2, 2,        O2, 1.945, 0.521
    LAKKAK,       Zn2, 2,       O7B, 1.902, 0.586
    DAMZOG,       Zn4, 2,       S13, 2.362, 0.479
