    LONQIP,       Mg1, 2,       O1A, 2.055, 0.376
    LONQIP,       Mg1, 2,       O3A, 2.102, 0.331
    LONQIP,       Mg1, 2,        O3, 2.102, 0.331
    LONQIP,       Mg1, 2,        O2, 2.116, 0.319
    LONQIP,       Mg1, 2,        O1, 2.055, 0.376
    LONQIP,       Mg1, 2,       O2A, 2.116, 0.319
    MINBOB,       Mg1, 2,       N2C, 2.274, 0.318
    MINBOB,       Mg1, 2,       N3C, 2.082, 0.534
    MINBOB,       Mg1, 2,       N1E, 2.228, 0.360
    MINBOB,       Mg1, 2,        N1, 2.228, 0.360
    MINBOB,       Mg1, 2,        N2, 2.274, 0.318
    MINBOB,       Mg1, 2,        N3, 2.082, 0.534
    FUYCAD,       Mg1, 2,       O4G, 2.051, 0.380
    FUYCAD,       Mg1, 2,        O6, 2.124, 0.312
    FUYCAD,       Mg1, 2,        N1, 2.139, 0.458
    FUYCAD,       Mg1, 2,        O5, 2.116, 0.319
    FUYCAD,       Mg1, 2,        O4, 2.051, 0.380
    FUYCAD,       Mg1, 2,        N2, 2.108, 0.498
  MGFORD02,       Mg1, 2,       O4B, 2.099, 0.334
  MGFORD02,       Mg1, 2,       O1B, 2.068, 0.363
  MGFORD02,       Mg1, 2,        O4, 2.099, 0.334
  MGFORD02,       Mg1, 2,       O2C, 2.057, 0.374
  MGFORD02,       Mg1, 2,        O1, 2.068, 0.363
  MGFORD02,       Mg1, 2,       O2A, 2.057, 0.374
  MGFORD02,       Mg2, 2,       O5B, 2.084, 0.348
  MGFORD02,       Mg2, 2,       O6B, 2.047, 0.384
  MGFORD02,       Mg2, 2,        O6, 2.047, 0.384
  MGFORD02,       Mg2, 2,        O5, 2.084, 0.348
  MGFORD02,       Mg2, 2,       O3B, 2.119, 0.316
  MGFORD02,       Mg2, 2,        O3, 2.119, 0.316
    QESJON,       Mg1, 2,       O4K, 2.165, 0.279
    QESJON,       Mg1, 2,       O1K, 2.021, 0.412
    QESJON,       Mg1, 2,       O3K, 2.084, 0.348
    QESJON,       Mg1, 2,        O4, 2.165, 0.279
    QESJON,       Mg1, 2,        O3, 2.084, 0.348
    QESJON,       Mg1, 2,        O1, 2.021, 0.412
    VAXJAF,       Mg1, 2,        O3, 2.098, 0.335
    VAXJAF,       Mg1, 2,       O1B, 1.998, 0.439
    VAXJAF,       Mg1, 2,       O3B, 2.098, 0.335
    VAXJAF,       Mg1, 2,       O2B, 2.149, 0.292
    VAXJAF,       Mg1, 2,        O2, 2.149, 0.292
    VAXJAF,       Mg1, 2,        O1, 1.998, 0.439
    QESJON,       Mg2, 2,        O6, 1.987, 0.452
    QESJON,       Mg2, 2,        O5, 2.005, 0.430
    QESJON,       Mg2, 2,       O4K, 2.049, 0.382
    QESJON,       Mg2, 2,        O3, 2.100, 0.333
    QESJON,       Mg2, 2,        O2, 1.963, 0.482
    RIBYIK,       Mg1, 2,        P2, 2.715, 0.317
    RIBYIK,       Mg1, 2,        P1, 2.743, 0.294
    RIBYIK,       Mg1, 2,        N1, 2.188, 0.401
    RIBYIK,       Mg1, 2,        N2, 2.194, 0.395
    RIBYIK,       Mg1, 2,        O2, 2.120, 0.315
    RIBYIK,       Mg1, 2,        O1, 2.135, 0.303
    GAWMIA,       Mg1, 2,       O5A, 2.057, 0.374
    GAWMIA,       Mg1, 2,       O1A, 2.058, 0.373
    GAWMIA,       Mg1, 2,       O3A, 2.061, 0.370
    GAWMIA,       Mg1, 2,        O5, 2.057, 0.374
    GAWMIA,       Mg1, 2,        O3, 2.061, 0.370
    GAWMIA,       Mg1, 2,        O1, 2.058, 0.373
    TEBGOX,       Mg1, 2,        N1, 2.092, 0.520
    TEBGOX,       Mg1, 2,        N2, 2.063, 0.562
    TEBGOX,       Mg1, 2,        N3, 2.095, 0.516
    TEBGOX,       Mg1, 2,        O1, 1.990, 0.448
    ERACOQ,       Mg1, 2,        N1, 2.193, 0.396
    ERACOQ,       Mg1, 2,       N1A, 2.193, 0.396
    ERACOQ,       Mg1, 2,       O1A, 1.896, 0.578
    ERACOQ,       Mg1, 2,        O1, 1.896, 0.578
