    QEJWOR,       Fe1, 2,      Cl2A, 2.402, 0.349,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl1, 2.265, 0.506,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl2, 2.405, 0.347,0,2.0128891419042092
    QEJWOR,       Fe1, 2,       Cl3, 2.254, 0.521,0,2.0128891419042092
    WEKPUX,       Fe1, 2,      Cl1F, 2.314, 0.443,0,2.0128891419042092
    WEKPUX,       Fe1, 2,      Cl2F, 2.315, 0.442,0,2.0128891419042092
    WEKPUX,       Fe1, 2,       Cl2, 2.315, 0.442,0,2.0128891419042092
    WEKPUX,       Fe1, 2,       Cl1, 2.314, 0.443,0,2.0128891419042092
    QEJXEI,       Fe1, 2,      Cl2A, 2.402, 0.349,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl1, 2.264, 0.507,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl2, 2.404, 0.347,0,2.0128891419042092
    QEJXEI,       Fe1, 2,       Cl3, 2.256, 0.518,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl4, 2.315, 0.442,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl1, 2.309, 0.449,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl2, 2.319, 0.437,0,2.0128891419042092
    TUKBAC,       Fe2, 2,       Cl3, 2.345, 0.408,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl4, 2.304, 0.455,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl1, 2.302, 0.458,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl2, 2.336, 0.418,0,2.0128891419042092
    PTUMFC,       Fe1, 2,       Cl3, 2.275, 0.492,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl5, 2.303, 0.457,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl6, 2.315, 0.442,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl7, 2.338, 0.415,0,2.0128891419042092
    PTUMFC,       Fe2, 2,       Cl8, 2.284, 0.481,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2K, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2E, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,      Cl2N, 2.173, 0.649,0,2.0128891419042092
  FEDMSI10,       Fe2, 2,       Cl2, 2.173, 0.649,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl4, 2.149, 0.692,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl1, 2.187, 0.625,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl2, 2.190, 0.620,0,2.0128891419042092
    NIPJAX,       Fe1, 2,       Cl3, 2.175, 0.645,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl4, 2.311, 0.447,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl1, 2.319, 0.437,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl2, 2.312, 0.446,0,2.0128891419042092
    QOMWEV,       Fe2, 2,       Cl3, 2.325, 0.430,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl4, 2.172, 0.650,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl1, 2.165, 0.663,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl2, 2.190, 0.620,0,2.0128891419042092
  MICYFE10,       Fe1, 2,       Cl3, 2.182, 0.633,0,2.0128891419042092
    RUKLOY,       Fe2, 2,      Cl2B, 2.179, 0.638,0,2.0128891419042092
    RUKLOY,       Fe2, 2,      Cl2A, 2.179, 0.638,0,2.0128891419042092
    RUKLOY,       Fe2, 2,       Cl1, 2.206, 0.593,0,2.0128891419042092
    RUKLOY,       Fe2, 2,       Cl2, 2.179, 0.638,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl5, 2.280, 0.486,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl6, 2.314, 0.443,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl7, 2.334, 0.420,0,2.0128891419042092
    QAMDOY,       Fe2, 2,       Cl8, 2.317, 0.440,0,2.0128891419042092
