refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
NELGOA,0,Fe1,2,0.8330883591035636,N1B,2.389,1.6179293987522581,0.12443465031319187
NELGOA,0,Fe1,2,0.8330883591035636,N1,2.389,1.6179293987522581,0.12443465031319187
NELGOA,0,Fe1,2,0.8330883591035636,N2B,2.426,1.6179293987522581,0.11259312770359592
NELGOA,0,Fe1,2,0.8330883591035636,N2,2.426,1.6179293987522581,0.11259312770359592
NELGOA,0,Fe1,2,0.8330883591035636,N3B,2.482,1.6179293987522581,0.096778932357841282
NELGOA,0,Fe1,2,0.8330883591035636,N3,2.482,1.6179293987522581,0.096778932357841282
NELGOA,0,Fe1,2,0.8330883591035636,N4B,2.54,1.6179293987522581,0.082737469177152689
NELGOA,0,Fe1,2,0.8330883591035636,N4,2.54,1.6179293987522581,0.082737469177152689
KANBAC,0,Fe1,2,0.92572096186919484,N1,1.897,1.6179293987522581,0.47036566871400071
KANBAC,0,Fe1,2,0.92572096186919484,N2,1.909,1.6179293987522581,0.45535529315519419
MAQLIZ,0,Fe1,2,0.98492504590290242,N6,2.226,1.6179293987522581,0.19331504615707004
MAQLIZ,0,Fe1,2,0.98492504590290242,N8,2.233,1.6179293987522581,0.18969211351845461
MAQLIZ,0,Fe1,2,0.98492504590290242,N4,2.302,1.6179293987522581,0.15741975181750617
MAQLIZ,0,Fe1,2,0.98492504590290242,N3,2.314,1.6179293987522581,0.15239615049554911
MAQLIZ,0,Fe1,2,0.98492504590290242,N2,2.316,1.6179293987522581,0.15157460990022628
MAQLIZ,0,Fe1,2,0.98492504590290242,N1,2.344,1.6179293987522581,0.14052737401409607
JIRWUC,0,Fe2,2,1.0074898934322529,N3,1.923,1.6179293987522581,0.43844752725830544
JIRWUC,0,Fe2,2,1.0074898934322529,N1B,2.083,1.6179293987522581,0.28452118308697377
JIRWUC,0,Fe2,2,1.0074898934322529,N1,2.083,1.6179293987522581,0.28452118308697377
LESRUX,0,Fe1,2,1.0239844832258109,N1B,2.26,1.6179293987522581,0.17634271213094413
LESRUX,0,Fe1,2,1.0239844832258109,N1,2.26,1.6179293987522581,0.17634271213094413
LESRUX,0,Fe1,2,1.0239844832258109,N2B,2.406,1.6179293987522581,0.11884673657392653
LESRUX,0,Fe1,2,1.0239844832258109,N2,2.406,1.6179293987522581,0.11884673657392653
LESRUX,0,Fe1,2,1.0239844832258109,N4B,2.422,1.6179293987522581,0.11381695406402502
LESRUX,0,Fe1,2,1.0239844832258109,N4,2.422,1.6179293987522581,0.11381695406402502
LESRUX,0,Fe1,2,1.0239844832258109,N3B,2.459,1.6179293987522581,0.1029858388440098
LESRUX,0,Fe1,2,1.0239844832258109,N3,2.459,1.6179293987522581,0.1029858388440098
MEMYIN,0,Fe1,2,1.0903155936570985,N5,2.16,1.6179293987522581,0.23106512563294448
MEMYIN,0,Fe1,2,1.0903155936570985,N8,2.196,1.6179293987522581,0.2096422072489004
MEMYIN,0,Fe1,2,1.0903155936570985,N2,2.257,1.6179293987522581,0.17777833011292379
MEMYIN,0,Fe1,2,1.0903155936570985,N4,2.272,1.6179293987522581,0.17071523863063343
MEMYIN,0,Fe1,2,1.0903155936570985,N3,2.316,1.6179293987522581,0.15157460990022628
MEMYIN,0,Fe1,2,1.0903155936570985,N1,2.321,1.6179293987522581,0.14954008213147013
WOJLUC,0,Fe1,2,1.1108539127799248,N2B,2.227,1.6179293987522581,0.19279327846842817
WOJLUC,0,Fe1,2,1.1108539127799248,N2A,2.227,1.6179293987522581,0.19279327846842817
WOJLUC,0,Fe1,2,1.1108539127799248,N2,2.228,1.6179293987522581,0.19227291905879135
WOJLUC,0,Fe1,2,1.1108539127799248,N3A,2.326,1.6179293987522581,0.1475328630474903
WOJLUC,0,Fe1,2,1.1108539127799248,N3,2.327,1.6179293987522581,0.14713466392910166
WOJLUC,0,Fe1,2,1.1108539127799248,N3B,2.327,1.6179293987522581,0.14713466392910166
WOJLUC,0,Fe1,2,1.1108539127799248,N1,2.504,1.6179293987522581,0.091192245878583392
SEBHUE,0,Fe1,2,1.1223059753793114,N1,1.915,2.0075539596388192,0.44803070234924958
SEBHUE,0,Fe1,2,1.1223059753793114,N2,2.048,2.0075539596388192,0.31274942244193943
SEBHUE,0,Fe1,2,1.1223059753793114,S1,2.384,2.0075539596388192,0.36152585058812259
OBUJAW,0,Fe1,2,1.1306886599796839,N3B,2.219,1.6179293987522581,0.19700717324273173
OBUJAW,0,Fe1,2,1.1306886599796839,N3,2.219,1.6179293987522581,0.19700717324273173
OBUJAW,0,Fe1,2,1.1306886599796839,N1B,2.237,1.6179293987522581,0.18765243313165744
OBUJAW,0,Fe1,2,1.1306886599796839,N1,2.237,1.6179293987522581,0.18765243313165744
OBUJAW,0,Fe1,2,1.1306886599796839,N5B,2.251,1.6179293987522581,0.18068472361545282
OBUJAW,0,Fe1,2,1.1306886599796839,N5,2.251,1.6179293987522581,0.18068472361545282
LUTVIF,0,Fe1,2,1.1368444393689368,N2,2.056,1.6179293987522581,0.30605985304605365
LUTVIF,0,Fe1,2,1.1368444393689368,N2F,2.056,1.6179293987522581,0.30605985304605365
LUTVIF,0,Fe1,2,1.1368444393689368,N1,2.113,1.6179293987522581,0.26236236663841467
LUTVIF,0,Fe1,2,1.1368444393689368,N1F,2.113,1.6179293987522581,0.26236236663841467
WAPNEI,0,Fe1,2,1.1371328558516256,N1A,2.232,1.6179293987522581,0.19020548834360609
WAPNEI,0,Fe1,2,1.1371328558516256,N1,2.232,1.6179293987522581,0.19020548834360609
WAPNEI,0,Fe1,2,1.1371328558516256,N1B,2.233,1.6179293987522581,0.18969211351845461
WAPNEI,0,Fe1,2,1.1371328558516256,N1Q,2.234,1.6179293987522581,0.18918012431951922
WAPNEI,0,Fe1,2,1.1371328558516256,N1O,2.234,1.6179293987522581,0.18918012431951922
WAPNEI,0,Fe1,2,1.1371328558516256,N1P,2.235,1.6179293987522581,0.18866951700692036
KAHJUZ,0,Fe1,2,1.1443690935344875,N2,1.995,1.6179293987522581,0.36091610885360859
KAHJUZ,0,Fe1,2,1.1443690935344875,N1,1.996,1.6179293987522581,0.35994197689826579
KAHJUZ,0,Fe1,2,1.1443690935344875,N3,2.18,1.6179293987522581,0.21890668560389581
KAHJUZ,0,Fe1,2,1.1443690935344875,N4,2.205,1.6179293987522581,0.20460432217871716
MOBKOE,0,Fe1,2,1.1458864162179907,N5,1.992,1.6179293987522581,0.36385435137917277
MOBKOE,0,Fe1,2,1.1458864162179907,N2,2.002,1.6179293987522581,0.35415215138334877
MOBKOE,0,Fe1,2,1.1458864162179907,N1,2.186,1.6179293987522581,0.21538547497817989
MOBKOE,0,Fe1,2,1.1458864162179907,N4,2.191,1.6179293987522581,0.21249443847728933
MONYOD,0,Fe2,2,1.1472399308583843,N6,1.914,1.6179293987522581,0.44924323395752191
MONYOD,0,Fe2,2,1.1472399308583843,N4,2.0,1.6179293987522581,0.35607167055264666
MONYOD,0,Fe2,2,1.1472399308583843,N5,2.015,1.6179293987522581,0.34192502634821581
TEGJUK01,0,Fe1,2,1.156121502852627,N2,2.001,1.6179293987522581,0.3551106139963755
TEGJUK01,0,Fe1,2,1.156121502852627,N3,2.009,1.6179293987522581,0.34751495777742475
TEGJUK01,0,Fe1,2,1.156121502852627,N1,2.163,1.6179293987522581,0.22919919940247344
TEGJUK01,0,Fe1,2,1.156121502852627,N4,2.171,1.6179293987522581,0.22429673167635331
GEVYEL,0,Fe1,2,1.1579476558107324,N10,2.145,1.6179293987522581,0.2406251047760109
GEVYEL,0,Fe1,2,1.1579476558107324,N5,2.166,1.6179293987522581,0.22734834113471614
GEVYEL,0,Fe1,2,1.1579476558107324,N13,2.207,1.6179293987522581,0.2035013365973771
GEVYEL,0,Fe1,2,1.1579476558107324,N18,2.228,1.6179293987522581,0.19227291905879135
GEVYEL,0,Fe1,2,1.1579476558107324,N16,2.302,1.6179293987522581,0.15741975181750617
GEVYEL,0,Fe1,2,1.1579476558107324,N11,2.354,1.6179293987522581,0.13678020242633088
QOSGOV,0,Fe1,2,1.1600655635046757,N4,2.064,1.6179293987522581,0.29951337052896354
QOSGOV,0,Fe1,2,1.1600655635046757,N3,2.077,1.6179293987522581,0.28917265279833054
QOSGOV,0,Fe1,2,1.1600655635046757,N2,2.078,1.6179293987522581,0.28839216028277936
QOSGOV,0,Fe1,2,1.1600655635046757,N1,2.085,1.6179293987522581,0.28298737989460221
ASEQUL,0,Fe1,2,1.1622406297035226,N11,2.245,1.6179293987522581,0.1836386320383106
ASEQUL,0,Fe1,2,1.1622406297035226,N7,2.251,1.6179293987522581,0.18068472361545282
ASEQUL,0,Fe1,2,1.1622406297035226,N5,2.257,1.6179293987522581,0.17777833011292379
ASEQUL,0,Fe1,2,1.1622406297035226,N1,2.259,1.6179293987522581,0.17681995869290076
ASEQUL,0,Fe1,2,1.1622406297035226,N10,2.4,1.6179293987522581,0.12078969206662259
ASEQUL,0,Fe1,2,1.1622406297035226,N3,2.425,1.6179293987522581,0.11289784504885605
ASEQUL,0,Fe1,2,1.1622406297035226,N9,2.449,1.6179293987522581,0.10580719458418929
ASEQUL,0,Fe1,2,1.1622406297035226,N4,2.456,1.6179293987522581,0.10382425354426666
RAVYIX,0,Fe1,2,1.1631905404809362,N1,2.019,1.6179293987522581,0.33824844877700488
RAVYIX,0,Fe1,2,1.1631905404809362,N2,2.162,1.6179293987522581,0.22981949455726736
RAVYIX,0,Fe1,2,1.1631905404809362,N4,2.166,1.6179293987522581,0.22734834113471614
RAVYIX,0,Fe1,2,1.1631905404809362,N3,2.244,1.6179293987522581,0.18413562397363722
RAVYIX,0,Fe1,2,1.1631905404809362,N5,2.245,1.6179293987522581,0.1836386320383106
MONYUJ,0,Fe1,2,1.1659716507039923,N2,1.915,1.6179293987522581,0.44803070234924958
MONYUJ,0,Fe1,2,1.1659716507039923,N1,1.997,1.6179293987522581,0.35897047417737132
