refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
XUGLOB,0,Fe4,2,1.1197039592397318,O6A,2.293,1.6910752747015869,0.19655291785095891
XUGLOB,0,Fe4,2,1.1197039592397318,O6,2.293,1.6910752747015869,0.19655291785095891
XUGLOB,0,Fe4,2,1.1197039592397318,O2,2.307,1.6910752747015869,0.18925472505221672
XUGLOB,0,Fe4,2,1.1197039592397318,O2A,2.307,1.6910752747015869,0.18925472505221672
XUGLOB,0,Fe4,2,1.1197039592397318,O4A,2.338,1.6910752747015869,0.17404433671669023
XUGLOB,0,Fe4,2,1.1197039592397318,O4,2.338,1.6910752747015869,0.17404433671669023
QANTAB,0,Fe2,2,1.3920659833613214,S1,2.544,2.0034409125582853,0.23201099722688689
QANTAB,0,Fe2,2,1.3920659833613214,S1K,2.544,2.0034409125582853,0.23201099722688689
QANTAB,0,Fe2,2,1.3920659833613214,S1J,2.544,2.0034409125582853,0.23201099722688689
QANTAB,0,Fe2,2,1.3920659833613214,S1I,2.544,2.0034409125582853,0.23201099722688689
QANTAB,0,Fe2,2,1.3920659833613214,S1B,2.544,2.0034409125582853,0.23201099722688689
QANTAB,0,Fe2,2,1.3920659833613214,S1A,2.544,2.0034409125582853,0.23201099722688689
PTSQFE10,0,Fe1,2,1.4102168826798767,S1,2.379,2.0034409125582853,0.36239352910136663
PTSQFE10,0,Fe1,2,1.4102168826798767,S4,2.387,2.0034409125582853,0.35464209460593249
PTSQFE10,0,Fe1,2,1.4102168826798767,S2,2.394,2.0034409125582853,0.3479957189351488
PTSQFE10,0,Fe1,2,1.4102168826798767,S3,2.397,2.0034409125582853,0.34518554003742868
CESTOJ,0,Fe1,2,1.424605955320293,N3,1.811,1.5542309331000168,0.49958853413655291
CESTOJ,0,Fe1,2,1.424605955320293,N1B,2.095,1.5542309331000168,0.23187936554518881
CESTOJ,0,Fe1,2,1.424605955320293,N1,2.095,1.5542309331000168,0.23187936554518881
CESTOJ,0,Fe1,2,1.424605955320293,N2,2.097,1.5542309331000168,0.23062934504668128
CESTOJ,0,Fe1,2,1.424605955320293,N2B,2.097,1.5542309331000168,0.23062934504668128
EBOTOG01,0,Fe1,2,1.4302865398115241,N5,2.022,1.5542309331000168,0.28245367578855091
EBOTOG01,0,Fe1,2,1.4302865398115241,N6,2.043,1.5542309331000168,0.26686897320088715
EBOTOG01,0,Fe1,2,1.4302865398115241,N3,2.09,1.5542309331000168,0.23503413850959373
EBOTOG01,0,Fe1,2,1.4302865398115241,N1,2.102,1.5542309331000168,0.22753369593304448
EBOTOG01,0,Fe1,2,1.4302865398115241,N2,2.116,1.5542309331000168,0.21908515800602696
EBOTOG01,0,Fe1,2,1.4302865398115241,N4,2.151,1.5542309331000168,0.19931089837342081
YOMPIZ,0,Fe1,2,1.4429465757890401,S1,2.267,2.0034409125582853,0.49050399368007958
YOMPIZ,0,Fe1,2,1.4429465757890401,S2,2.271,2.0034409125582853,0.48522980828039186
YOMPIZ,0,Fe1,2,1.4429465757890401,S3,2.285,2.0034409125582853,0.46721277382856857
NASWEL,0,Fe1,2,1.4457405338555234,N2A,2.046,1.5542309331000168,0.26471391922711945
NASWEL,0,Fe1,2,1.4457405338555234,N2,2.046,1.5542309331000168,0.26471391922711945
NASWEL,0,Fe1,2,1.4457405338555234,N7A,2.098,1.5542309331000168,0.23000686406193571
NASWEL,0,Fe1,2,1.4457405338555234,N7,2.098,1.5542309331000168,0.23000686406193571
NASWEL,0,Fe1,2,1.4457405338555234,N8,2.101,1.5542309331000168,0.22814948363870652
NASWEL,0,Fe1,2,1.4457405338555234,N8A,2.101,1.5542309331000168,0.22814948363870652
OFONON,0,Fe3,2,1.4503472247555678,N11,2.071,1.5542309331000168,0.24741872028860726
OFONON,0,Fe3,2,1.4503472247555678,N11B,2.071,1.5542309331000168,0.24741872028860726
OFONON,0,Fe3,2,1.4503472247555678,N12,2.083,1.5542309331000168,0.2395230591916461
OFONON,0,Fe3,2,1.4503472247555678,N12B,2.083,1.5542309331000168,0.2395230591916461
OFONON,0,Fe3,2,1.4503472247555678,N13,2.085,1.5542309331000168,0.2382318328975305
OFONON,0,Fe3,2,1.4503472247555678,N13B,2.085,1.5542309331000168,0.2382318328975305
PAFMUF10,0,Fe1,2,1.4507757012785758,N2,1.926,1.5542309331000168,0.3661247114725224
PAFMUF10,0,Fe1,2,1.4507757012785758,N2B,1.926,1.5542309331000168,0.3661247114725224
PAFMUF10,0,Fe1,2,1.4507757012785758,N1B,1.933,1.5542309331000168,0.3592631391667655
PAFMUF10,0,Fe1,2,1.4507757012785758,N1,1.933,1.5542309331000168,0.3592631391667655
DOJKET,0,Fe3,2,1.4563848943813715,N13,2.059,1.5542309331000168,0.25557465471527818
DOJKET,0,Fe3,2,1.4563848943813715,N13B,2.059,1.5542309331000168,0.25557465471527818
DOJKET,0,Fe3,2,1.4563848943813715,N11,2.087,1.5542309331000168,0.23694756737515932
DOJKET,0,Fe3,2,1.4563848943813715,N11B,2.087,1.5542309331000168,0.23694756737515932
DOJKET,0,Fe3,2,1.4563848943813715,N12,2.089,1.5542309331000168,0.23567022510024824
DOJKET,0,Fe3,2,1.4563848943813715,N12B,2.089,1.5542309331000168,0.23567022510024824
FEPHCY,0,Fe1,2,1.4625224653831681,N4B,1.926,1.5542309331000168,0.3661247114725224
FEPHCY,0,Fe1,2,1.4625224653831681,N4,1.926,1.5542309331000168,0.3661247114725224
FEPHCY,0,Fe1,2,1.4625224653831681,N2B,1.927,1.5542309331000168,0.36513652121906165
FEPHCY,0,Fe1,2,1.4625224653831681,N2,1.927,1.5542309331000168,0.36513652121906165
TDCURF,0,Fe1,2,1.466178137868972,Cl1D,2.46,2.038296922809026,0.3199028105144528
TDCURF,0,Fe1,2,1.466178137868972,Cl1,2.46,2.038296922809026,0.3199028105144528
TDCURF,0,Fe1,2,1.466178137868972,S2D,2.567,2.0034409125582853,0.21802780711342631
TDCURF,0,Fe1,2,1.466178137868972,S2,2.567,2.0034409125582853,0.21802780711342631
TDCURF,0,Fe1,2,1.466178137868972,S1,2.608,2.0034409125582853,0.195158451306607
TDCURF,0,Fe1,2,1.466178137868972,S1D,2.608,2.0034409125582853,0.195158451306607
DOJKET,0,Fe2,2,1.4771049259993525,N5,2.06,1.5542309331000168,0.25488484500042602
DOJKET,0,Fe2,2,1.4771049259993525,N8,2.061,1.5542309331000168,0.2541968971190301
DOJKET,0,Fe2,2,1.4771049259993525,N6,2.068,1.5542309331000168,0.24943297287456628
DOJKET,0,Fe2,2,1.4771049259993525,N10,2.079,1.5542309331000168,0.24212654521026905
DOJKET,0,Fe2,2,1.4771049259993525,N9,2.085,1.5542309331000168,0.2382318328975305
DOJKET,0,Fe2,2,1.4771049259993525,N7,2.085,1.5542309331000168,0.2382318328975305
JIVMEG,0,Fe1,2,1.4788086058379173,N2,1.992,1.5542309331000168,0.30630938054229406
JIVMEG,0,Fe1,2,1.4788086058379173,N2A,1.992,1.5542309331000168,0.30630938054229406
JIVMEG,0,Fe1,2,1.4788086058379173,N1,2.007,1.5542309331000168,0.29413978048316569
JIVMEG,0,Fe1,2,1.4788086058379173,N1A,2.007,1.5542309331000168,0.29413978048316569
JIVMEG,0,Fe1,2,1.4788086058379173,N3,2.028,1.5542309331000168,0.27791028378699784
BAESMC,0,Fe4,2,1.4818933673292043,S10,2.486,2.0034409125582853,0.27138582833394931
BAESMC,0,Fe4,2,1.4818933673292043,S10B,2.486,2.0034409125582853,0.27138582833394931
BAESMC,0,Fe4,2,1.4818933673292043,S9B,2.523,2.0034409125582853,0.24556005220124089
BAESMC,0,Fe4,2,1.4818933673292043,S9,2.523,2.0034409125582853,0.24556005220124089
BAESMC,0,Fe4,2,1.4818933673292043,S8,2.557,2.0034409125582853,0.22400080312941203
BAESMC,0,Fe4,2,1.4818933673292043,S8B,2.557,2.0034409125582853,0.22400080312941203
QANTAB,0,Fe4,2,1.4850044530547259,S4I,2.473,2.0034409125582853,0.28109049514714424
QANTAB,0,Fe4,2,1.4850044530547259,S4,2.473,2.0034409125582853,0.28109049514714424
QANTAB,0,Fe4,2,1.4850044530547259,S2,2.521,2.0034409125582853,0.24689099774420317
QANTAB,0,Fe4,2,1.4850044530547259,S2I,2.521,2.0034409125582853,0.24689099774420317
QANTAB,0,Fe4,2,1.4850044530547259,S3,2.573,2.0034409125582853,0.21452073363601551
QANTAB,0,Fe4,2,1.4850044530547259,S3I,2.573,2.0034409125582853,0.21452073363601551
HTMZFE,0,Fe1,2,1.4975537463666269,N1,1.916,1.5542309331000168,0.37615490657438633
HTMZFE,0,Fe1,2,1.4975537463666269,N2,1.916,1.5542309331000168,0.37615490657438633
HTMZFE,0,Fe1,2,1.4975537463666269,N3,1.917,1.5542309331000168,0.37513964428582552
HTMZFE,0,Fe1,2,1.4975537463666269,N4,1.922,1.5542309331000168,0.37010428893202879
MEGBIK,0,Fe2,2,1.5016407759266102,S2,2.489,2.0034409125582853,0.2691942992822185
MEGBIK,0,Fe2,2,1.5016407759266102,S5,2.489,2.0034409125582853,0.2691942992822185
MEGBIK,0,Fe2,2,1.5016407759266102,S4,2.502,2.0034409125582853,0.25990034937054407
MEGBIK,0,Fe2,2,1.5016407759266102,S1,2.513,2.0034409125582853,0.25228730976027414
MEGBIK,0,Fe2,2,1.5016407759266102,S3,2.528,2.0034409125582853,0.24226399394036557
MEGBIK,0,Fe2,2,1.5016407759266102,S6,2.583,2.0034409125582853,0.20880052429098928
JIVTOX,0,Fe1,2,1.5033986605837086,N4A,1.987,1.5542309331000168,0.31047679125694017
JIVTOX,0,Fe1,2,1.5033986605837086,N4,1.987,1.5542309331000168,0.31047679125694017
JIVTOX,0,Fe1,2,1.5033986605837086,N3,2.005,1.5542309331000168,0.29573403014361593
JIVTOX,0,Fe1,2,1.5033986605837086,N3A,2.005,1.5542309331000168,0.29573403014361593
JIVTOX,0,Fe1,2,1.5033986605837086,N1,2.011,1.5542309331000168,0.29097701778259633
YOMPOF,0,Fe2,2,1.5117980323904723,S3,2.343,2.0034409125582853,0.39942579993424776
YOMPOF,0,Fe2,2,1.5117980323904723,S1,2.359,2.0034409125582853,0.38252146616431693
YOMPOF,0,Fe2,2,1.5117980323904723,S2,2.369,2.0034409125582853,0.37232150633601013
YOMPOF,0,Fe2,2,1.5117980323904723,S4,2.384,2.0034409125582853,0.35752925995589735
HELLOZ,0,Fe1,2,1.5167404782024194,S2,2.348,2.0034409125582853,0.39406446084151497
HELLOZ,0,Fe1,2,1.5167404782024194,S3,2.355,2.0034409125582853,0.3866792674730633
HELLOZ,0,Fe1,2,1.5167404782024194,S1,2.362,2.0034409125582853,0.37943248060027218
HELLOZ,0,Fe1,2,1.5167404782024194,S4,2.385,2.0034409125582853,0.35656426928756901
LEWPOT,0,Fe2,2,1.5181746980361486,S5,2.324,2.0034409125582853,0.42047262111223505
LEWPOT,0,Fe2,2,1.5181746980361486,S4,2.325,2.0034409125582853,0.41933774293272302
LEWPOT,0,Fe2,2,1.5181746980361486,S6,2.401,2.0034409125582853,0.34147390351885604
LEWPOT,0,Fe2,2,1.5181746980361486,S6A,2.406,2.0034409125582853,0.33689043047233463
JASCIP,0,Fe1,2,1.5214136890351508,S1,2.495,2.0034409125582853,0.26486419020217905
JASCIP,0,Fe1,2,1.5214136890351508,S1D,2.495,2.0034409125582853,0.26486419020217905
