    OBAMOV,       Fe1, 2,        N1, 1.948, 0.347,0,1.5564335810398906
    OBAMOV,       Fe1, 2,        N2, 1.944, 0.351,0,1.5564335810398906
    OBAMOV,       Fe1, 2,        N3, 1.946, 0.349,0,1.5564335810398906
    OBAMOV,       Fe1, 2,        N4, 1.949, 0.346,0,1.5564335810398906
    OBAMOV,       Fe1, 2,        N5, 1.819, 0.492,0,1.5564335810398906
    OBAMOV,       Fe1, 2,        N6, 2.001, 0.301,0,1.5564335810398906
    SIBZOS,       Fe1, 2,       N11, 1.954, 0.341,0,1.5564335810398906
    SIBZOS,       Fe1, 2,        N9, 1.931, 0.363,0,1.5564335810398906
    SIBZOS,       Fe1, 2,        N1, 1.988, 0.311,0,1.5564335810398906
    SIBZOS,       Fe1, 2,        N2, 2.002, 0.300,0,1.5564335810398906
    SIBZOS,       Fe1, 2,        N3, 2.006, 0.297,0,1.5564335810398906
    SIBZOS,       Fe1, 2,        N4, 1.985, 0.314,0,1.5564335810398906
    COMRAY,       Fe1, 2,       N3C, 1.899, 0.396,0,1.5564335810398906
    COMRAY,       Fe1, 2,        N5, 1.962, 0.334,0,1.5564335810398906
    COMRAY,       Fe1, 2,       N1C, 1.968, 0.329,0,1.5564335810398906
    COMRAY,       Fe1, 2,        N1, 1.968, 0.329,0,1.5564335810398906
    COMRAY,       Fe1, 2,        N3, 1.899, 0.396,0,1.5564335810398906
    COMRAY,       Fe1, 2,       N5C, 1.962, 0.334,0,1.5564335810398906
    XOYGAU,       Fe1, 2,        N1, 1.896, 0.399,0,1.5564335810398906
    XOYGAU,       Fe1, 2,        N2, 1.898, 0.397,0,1.5564335810398906
    XOYGAU,       Fe1, 2,        N3, 1.906, 0.389,0,1.5564335810398906
    XOYGAU,       Fe1, 2,        N4, 1.906, 0.389,0,1.5564335810398906
    FOSYUH,       Fe2, 2,        O3, 2.166, 0.278,0,1.6926885007958257
    FOSYUH,       Fe2, 2,       O1B, 2.104, 0.329,0,1.6926885007958257
