    MAXJAX,       Fe1, 3,       Cl3, 2.112, 0.914,0,2.0788006126595278
    MAXJAX,       Fe1, 3,       Cl1, 2.181, 0.759,0,2.0788006126595278
    MAXJAX,       Fe1, 3,       Cl2, 2.148, 0.829,0,2.0788006126595278
    MAXJAX,       Fe1, 3,      Cl2F, 2.148, 0.829,0,2.0788006126595278
    RUHLUB,       Fe2, 3,       Cl4, 2.172, 0.777,0,2.0788006126595278
    RUHLUB,       Fe2, 3,       Cl5, 2.171, 0.779,0,2.0788006126595278
    RUHLUB,       Fe2, 3,       Cl6, 2.184, 0.753,0,2.0788006126595278
    RUHLUB,       Fe2, 3,       Cl3, 2.191, 0.738,0,2.0788006126595278
    TUVXUD,       Fe2, 3,      Cl12, 2.202, 0.717,0,2.0788006126595278
    TUVXUD,       Fe2, 3,       Cl9, 2.184, 0.753,0,2.0788006126595278
    TUVXUD,       Fe2, 3,      Cl10, 2.195, 0.730,0,2.0788006126595278
    TUVXUD,       Fe2, 3,      Cl11, 2.184, 0.753,0,2.0788006126595278
    TUVXUD,       Fe1, 3,       Cl5, 2.179, 0.763,0,2.0788006126595278
    TUVXUD,       Fe1, 3,       Cl6, 2.202, 0.717,0,2.0788006126595278
    TUVXUD,       Fe1, 3,       Cl7, 2.201, 0.719,0,2.0788006126595278
    TUVXUD,       Fe1, 3,       Cl8, 2.184, 0.753,0,2.0788006126595278
    EQACEF,       Fe1, 3,      Cl2A, 2.346, 0.486,0,2.0788006126595278
    EQACEF,       Fe1, 3,       Cl3, 2.261, 0.611,0,2.0788006126595278
    EQACEF,       Fe1, 3,       Cl1, 2.319, 0.522,0,2.0788006126595278
    EQACEF,       Fe1, 3,       Cl2, 2.346, 0.486,0,2.0788006126595278
    EQACEF,       Fe1, 3,      Cl1A, 2.319, 0.522,0,2.0788006126595278
    SAVHUS,       Fe1, 3,       Cl4, 2.173, 0.775,0,2.0788006126595278
    SAVHUS,       Fe1, 3,       Cl7, 2.169, 0.784,0,2.0788006126595278
    SAVHUS,       Fe1, 3,       Cl8, 2.153, 0.818,0,2.0788006126595278
    SAVHUS,       Fe1, 3,       Cl3, 2.187, 0.746,0,2.0788006126595278
    SAVHUS,       Fe2, 3,       Cl5, 2.171, 0.779,0,2.0788006126595278
    SAVHUS,       Fe2, 3,       Cl6, 2.184, 0.753,0,2.0788006126595278
    SAVHUS,       Fe2, 3,       Cl1, 2.192, 0.736,0,2.0788006126595278
    SAVHUS,       Fe2, 3,       Cl2, 2.180, 0.761,0,2.0788006126595278
    ETOREL,       Fe2, 3,       Cl4, 2.184, 0.753,0,2.0788006126595278
    ETOREL,       Fe2, 3,       Cl1, 2.206, 0.709,0,2.0788006126595278
    ETOREL,       Fe2, 3,       Cl2, 2.190, 0.740,0,2.0788006126595278
    ETOREL,       Fe2, 3,       Cl3, 2.185, 0.750,0,2.0788006126595278
  QQQAYM01,       Fe1, 3,      Cl1F, 2.191, 0.738,0,2.0788006126595278
  QQQAYM01,       Fe1, 3,      Cl1G, 2.191, 0.738,0,2.0788006126595278
  QQQAYM01,       Fe1, 3,       Cl1, 2.191, 0.738,0,2.0788006126595278
  QQQAYM01,       Fe1, 3,      Cl1A, 2.191, 0.738,0,2.0788006126595278
    VUYXOD,       Fe1, 3,       Cl2, 2.183, 0.755,0,2.0788006126595278
    VUYXOD,       Fe1, 3,       Cl1, 2.186, 0.748,0,2.0788006126595278
    VUYXOD,       Fe1, 3,      Cl3F, 2.195, 0.730,0,2.0788006126595278
    VUYXOD,       Fe1, 3,       Cl3, 2.195, 0.730,0,2.0788006126595278
    EYEKAU,       Fe2, 3,       Cl4, 2.156, 0.812,0,2.0788006126595278
    EYEKAU,       Fe2, 3,       Cl1, 2.196, 0.729,0,2.0788006126595278
    EYEKAU,       Fe2, 3,       Cl2, 2.172, 0.777,0,2.0788006126595278
    EYEKAU,       Fe2, 3,       Cl3, 2.168, 0.786,0,2.0788006126595278
    TIJDEW,       Fe1, 3,      Cl1B, 2.195, 0.730,0,2.0788006126595278
    TIJDEW,       Fe1, 3,       Cl1, 2.195, 0.730,0,2.0788006126595278
    TIJDEW,       Fe1, 3,       Cl2, 2.190, 0.740,0,2.0788006126595278
    TIJDEW,       Fe1, 3,      Cl1A, 2.195, 0.730,0,2.0788006126595278
    TIJDEW,       Fe2, 3,       Cl4, 2.197, 0.727,0,2.0788006126595278
    TIJDEW,       Fe2, 3,      Cl4D, 2.197, 0.727,0,2.0788006126595278
    TIJDEW,       Fe2, 3,      Cl4C, 2.197, 0.727,0,2.0788006126595278
    TIJDEW,       Fe2, 3,       Cl3, 2.211, 0.700,0,2.0788006126595278
    FADGAS,       Fe1, 3,       Cl4, 2.170, 0.782,0,2.0788006126595278
    FADGAS,       Fe1, 3,       Cl1, 2.171, 0.779,0,2.0788006126595278
    FADGAS,       Fe1, 3,       Cl2, 2.175, 0.771,0,2.0788006126595278
    FADGAS,       Fe1, 3,       Cl3, 2.182, 0.757,0,2.0788006126595278
    GOPSUZ,       Fe2, 3,       Cl5, 2.150, 0.825,0,2.0788006126595278
    GOPSUZ,       Fe2, 3,       Cl6, 2.174, 0.773,0,2.0788006126595278
    GOPSUZ,       Fe2, 3,       Cl7, 2.230, 0.665,0,2.0788006126595278
    GOPSUZ,       Fe2, 3,       Cl8, 2.229, 0.666,0,2.0788006126595278
    AZISEI,       Fe1, 3,       Cl4, 2.189, 0.742,0,2.0788006126595278
    AZISEI,       Fe1, 3,       Cl5, 2.202, 0.717,0,2.0788006126595278
    AZISEI,       Fe1, 3,       Cl6, 2.198, 0.725,0,2.0788006126595278
    AZISEI,       Fe1, 3,       Cl7, 2.192, 0.736,0,2.0788006126595278
