refcode,pick,cation_lbl,ox. state,BVS,anion_lbl,d,r0,bv
DIDROX,0,Fe1,3,2.1771210695893557,S1,2.461,2.0993701647027256,0.37629648091412188
DIDROX,0,Fe1,3,2.1771210695893557,S1B,2.461,2.0993701647027256,0.37629648091412188
DIDROX,0,Fe1,3,2.1771210695893557,S3,2.472,2.0993701647027256,0.365273948542224
DIDROX,0,Fe1,3,2.1771210695893557,S3B,2.472,2.0993701647027256,0.365273948542224
DIDROX,0,Fe1,3,2.1771210695893557,S2B,2.491,2.0993701647027256,0.34699010533833213
DIDROX,0,Fe1,3,2.1771210695893557,S2,2.491,2.0993701647027256,0.34699010533833213
VEKNUU,0,Fe1,3,2.1851381773710785,S2B,2.464,2.0993701647027256,0.37325776413568823
VEKNUU,0,Fe1,3,2.1851381773710785,S2,2.464,2.0993701647027256,0.37325776413568823
VEKNUU,0,Fe1,3,2.1851381773710785,S1,2.464,2.0993701647027256,0.37325776413568823
VEKNUU,0,Fe1,3,2.1851381773710785,S1B,2.464,2.0993701647027256,0.37325776413568823
VEKNUU,0,Fe1,3,2.1851381773710785,S3,2.492,2.0993701647027256,0.3460535604141628
VEKNUU,0,Fe1,3,2.1851381773710785,S3B,2.492,2.0993701647027256,0.3460535604141628
PYCDFE10,0,Fe1,3,2.2911984259659115,S22,2.433,2.0993701647027256,0.40587816218400757
PYCDFE10,0,Fe1,3,2.2911984259659115,S11,2.434,2.0993701647027256,0.40478267523271771
PYCDFE10,0,Fe1,3,2.2911984259659115,S2,2.453,2.0993701647027256,0.38452121668867595
PYCDFE10,0,Fe1,3,2.2911984259659115,S1,2.464,2.0993701647027256,0.37325776413568823
PYCDFE10,0,Fe1,3,2.2911984259659115,S12,2.471,2.0993701647027256,0.36626251072326077
PYCDFE10,0,Fe1,3,2.2911984259659115,S21,2.481,2.0993701647027256,0.35649609700156104
ITEMUP,0,Fe1,3,2.3928974120430793,S3,2.424,2.0993701647027256,0.41587192728049543
ITEMUP,0,Fe1,3,2.3928974120430793,S4,2.431,2.0993701647027256,0.40807803845094087
ITEMUP,0,Fe1,3,2.3928974120430793,S6,2.435,2.0993701647027256,0.40369014505952655
ITEMUP,0,Fe1,3,2.3928974120430793,S5,2.441,2.0993701647027256,0.39719661095681524
ITEMUP,0,Fe1,3,2.3928974120430793,S2,2.449,2.0993701647027256,0.38870075420331618
ITEMUP,0,Fe1,3,2.3928974120430793,S1,2.458,2.0993701647027256,0.37935993609198515
AMOMAR,0,Fe3,3,2.4173458714005438,S5,2.245,2.0993701647027256,0.67462779874916867
AMOMAR,0,Fe3,3,2.4173458714005438,S1,2.27,2.0993701647027256,0.63055069837271871
AMOMAR,0,Fe3,3,2.4173458714005438,S2,2.316,2.0993701647027256,0.55683515112397985
AMOMAR,0,Fe3,3,2.4173458714005438,S3,2.317,2.0993701647027256,0.55533222315467634
QADKUC,0,Fe4,3,2.4220848229322969,S5,2.261,2.0993701647027256,0.64607647962454784
QADKUC,0,Fe4,3,2.4220848229322969,S4,2.274,2.0993701647027256,0.62377064901538493
QADKUC,0,Fe4,3,2.4220848229322969,S3,2.276,2.0993701647027256,0.62040801217271768
QADKUC,0,Fe4,3,2.4220848229322969,S1,2.333,2.0993701647027256,0.53182968211964632
AMONEW,0,Fe1,3,2.4424623385861866,S3,2.238,2.0993701647027256,0.68751252561351395
AMONEW,0,Fe1,3,2.4424623385861866,S1,2.279,2.0993701647027256,0.61539801518448067
AMONEW,0,Fe1,3,2.4424623385861866,S4,2.307,2.0993701647027256,0.57054586585634204
AMONEW,0,Fe1,3,2.4424623385861866,S2,2.308,2.0993701647027256,0.5690059319318499
FESTPH,0,Fe2,3,2.4463764829969703,S6,2.263,2.0993701647027256,0.64259359600859767
FESTPH,0,Fe2,3,2.4463764829969703,S1,2.264,2.0993701647027256,0.64085920139218977
FESTPH,0,Fe2,3,2.4463764829969703,S3,2.297,2.0993701647027256,0.58617629496910184
FESTPH,0,Fe2,3,2.4463764829969703,S4,2.303,2.0993701647027256,0.57674739062708091
AMOMIZ,0,Fe1,3,2.4560975298193872,S2,2.223,2.0993701647027256,0.71595734344337081
AMOMIZ,0,Fe1,3,2.4560975298193872,S1,2.268,2.0993701647027256,0.63396830899011325
AMOMIZ,0,Fe1,3,2.4560975298193872,S3,2.318,2.0993701647027256,0.55383335166865488
AMOMIZ,0,Fe1,3,2.4560975298193872,S4,2.319,2.0993701647027256,0.55233852571724829
MRDTFE01,0,Fe1,3,2.4747225503734573,S4,2.417,2.0993701647027256,0.42381467171452714
MRDTFE01,0,Fe1,3,2.4747225503734573,S6,2.42,2.0993701647027256,0.42039223005162141
MRDTFE01,0,Fe1,3,2.4747225503734573,S3,2.424,2.0993701647027256,0.41587192728049543
MRDTFE01,0,Fe1,3,2.4747225503734573,S2,2.424,2.0993701647027256,0.41587192728049543
MRDTFE01,0,Fe1,3,2.4747225503734573,S5,2.434,2.0993701647027256,0.40478267523271771
MRDTFE01,0,Fe1,3,2.4747225503734573,S1,2.444,2.0993701647027256,0.39398911881360027
BZMSFE,0,Fe2,3,2.47922898404995,S1,2.232,2.0993701647027256,0.69875226409053204
BZMSFE,0,Fe2,3,2.47922898404995,S6,2.251,2.0993701647027256,0.66377611294155792
BZMSFE,0,Fe2,3,2.47922898404995,S3,2.313,2.0993701647027256,0.56136838386318344
BZMSFE,0,Fe2,3,2.47922898404995,S4,2.317,2.0993701647027256,0.55533222315467634
TUBHED,0,Fe4,3,2.4907477322589102,S5,2.262,2.0993701647027256,0.64433268451826475
TUBHED,0,Fe4,3,2.4907477322589102,S4,2.271,2.0993701647027256,0.62884880818361177
TUBHED,0,Fe4,3,2.4907477322589102,S7,2.282,2.0993701647027256,0.61042847555548085
TUBHED,0,Fe4,3,2.4907477322589102,S6,2.284,2.0993701647027256,0.60713776400155295
COKYEG01,0,Fe1,3,2.4940845503539339,S4,2.252,2.0993701647027256,0.66198454557466091
COKYEG01,0,Fe1,3,2.4940845503539339,S1,2.264,2.0993701647027256,0.64085920139218977
COKYEG01,0,Fe1,3,2.4940845503539339,S3,2.274,2.0993701647027256,0.62377064901538493
COKYEG01,0,Fe1,3,2.4940845503539339,S2,2.309,2.0993701647027256,0.56747015437169812
AMONAS,0,Fe1,3,2.5104235352807449,S5,2.233,2.0993701647027256,0.69686629421381818
AMONAS,0,Fe1,3,2.5104235352807449,S1,2.25,2.0993701647027256,0.66557252893166174
AMONAS,0,Fe1,3,2.5104235352807449,S4,2.292,2.0993701647027256,0.5941513604666101
AMONAS,0,Fe1,3,2.5104235352807449,S2,2.318,2.0993701647027256,0.55383335166865488
CAYGOY,0,Fe4,3,2.5189745523977796,S4,2.263,2.0993701647027256,0.64259359600859767
CAYGOY,0,Fe4,3,2.5189745523977796,S8,2.272,2.0993701647027256,0.6271515114874997
CAYGOY,0,Fe4,3,2.5189745523977796,S2,2.273,2.0993701647027256,0.62545879588629727
CAYGOY,0,Fe4,3,2.5189745523977796,S3,2.274,2.0993701647027256,0.62377064901538493
AMOPIC,0,Fe1,3,2.5189858046928206,S5,2.243,2.0993701647027256,0.67828430905634129
AMOPIC,0,Fe1,3,2.5189858046928206,S1,2.262,2.0993701647027256,0.64433268451826475
AMOPIC,0,Fe1,3,2.5189858046928206,S3,2.288,2.0993701647027256,0.60060946418798489
AMOPIC,0,Fe1,3,2.5189858046928206,S2,2.291,2.0993701647027256,0.59575934693022981
QADLAJ,0,Fe1,3,2.529827100639876,S5,2.248,2.0993701647027256,0.66917995930544893
QADLAJ,0,Fe1,3,2.529827100639876,S3,2.259,2.0993701647027256,0.6495782406123829
QADLAJ,0,Fe1,3,2.529827100639876,S4,2.281,2.0993701647027256,0.61208051372456018
QADLAJ,0,Fe1,3,2.529827100639876,S1,2.289,2.0993701647027256,0.59898838699748358
OXYSFE10,0,Fe1,3,2.539832044247484,S2,2.258,2.0993701647027256,0.65133623207291969
OXYSFE10,0,Fe1,3,2.539832044247484,S1,2.265,2.0993701647027256,0.63912948799997016
OXYSFE10,0,Fe1,3,2.539832044247484,S3,2.268,2.0993701647027256,0.63396830899011325
OXYSFE10,0,Fe1,3,2.539832044247484,S4,2.279,2.0993701647027256,0.61539801518448067
OXYSFE10,0,Fe2,3,2.5436635602466113,S6,2.252,2.0993701647027256,0.66198454557466091
OXYSFE10,0,Fe2,3,2.5436635602466113,S7,2.265,2.0993701647027256,0.63912948799997016
OXYSFE10,0,Fe2,3,2.5436635602466113,S5,2.272,2.0993701647027256,0.6271515114874997
OXYSFE10,0,Fe2,3,2.5436635602466113,S8,2.279,2.0993701647027256,0.61539801518448067
VIYNEX,0,Fe2,3,2.5442913576686337,S1,2.205,2.0993701647027256,0.75164883311261843
VIYNEX,0,Fe2,3,2.5442913576686337,S2,2.215,2.0993701647027256,0.73160606798463823
VIYNEX,0,Fe2,3,2.5442913576686337,S6,2.326,2.0993701647027256,0.54198710552432727
VIYNEX,0,Fe2,3,2.5442913576686337,S5,2.342,2.0993701647027256,0.51904935104704975
JURHIN,0,Fe1,3,2.5634368055687591,S1C,2.264,2.0993701647027256,0.64085920139218977
JURHIN,0,Fe1,3,2.5634368055687591,S1,2.264,2.0993701647027256,0.64085920139218977
JURHIN,0,Fe1,3,2.5634368055687591,S1G,2.264,2.0993701647027256,0.64085920139218977
JURHIN,0,Fe1,3,2.5634368055687591,S1D,2.264,2.0993701647027256,0.64085920139218977
VITNUH,0,Fe1,3,2.5639672078351472,S2,2.211,2.0993701647027256,0.73955822998342824
VITNUH,0,Fe1,3,2.5639672078351472,S1,2.215,2.0993701647027256,0.73160606798463823
VITNUH,0,Fe1,3,2.5639672078351472,S4,2.322,2.0993701647027256,0.54787821202684373
VITNUH,0,Fe1,3,2.5639672078351472,S5,2.324,2.0993701647027256,0.54492469784023656
VIYNIB,0,Fe2,3,2.598398907964643,S2,2.209,2.0993701647027256,0.74356666588794029
VIYNIB,0,Fe2,3,2.598398907964643,S1,2.236,2.0993701647027256,0.69123887166814801
VIYNIB,0,Fe2,3,2.598398907964643,S8,2.341,2.0993701647027256,0.52045408456441267
VIYNIB,0,Fe2,3,2.598398907964643,S6,2.369,2.0993701647027256,0.48252174850979451
VIYNIB,0,Fe2,3,2.598398907964643,S7,2.776,2.0993701647027256,0.16061753733434769
CEXXIM,0,Fe1,3,2.6205792215854351,S2B,2.396,2.0993701647027256,0.44856474112775613
CEXXIM,0,Fe1,3,2.6205792215854351,S2A,2.396,2.0993701647027256,0.44856474112775613
CEXXIM,0,Fe1,3,2.6205792215854351,S2,2.396,2.0993701647027256,0.44856474112775613
CEXXIM,0,Fe1,3,2.6205792215854351,S1,2.416,2.0993701647027256,0.424961666067389
CEXXIM,0,Fe1,3,2.6205792215854351,S1B,2.416,2.0993701647027256,0.424961666067389
CEXXIM,0,Fe1,3,2.6205792215854351,S1A,2.416,2.0993701647027256,0.424961666067389
UHIZER,0,Fe2,3,2.6428403210500031,S1,2.201,2.0993701647027256,0.75981884912079423
UHIZER,0,Fe2,3,2.6428403210500031,S2,2.203,2.0993701647027256,0.75572280058141583
UHIZER,0,Fe2,3,2.6428403210500031,S6,2.311,2.0993701647027256,0.5644110235016957
UHIZER,0,Fe2,3,2.6428403210500031,S5,2.312,2.0993701647027256,0.56288764784609779
RENGIA,0,Fe1,3,2.6484772522095934,S6B,2.182,2.0993701647027256,0.79985575071238391
RENGIA,0,Fe1,3,2.6484772522095934,S6,2.203,2.0993701647027256,0.75572280058141583
RENGIA,0,Fe1,3,2.6484772522095934,S5,2.318,2.0993701647027256,0.55383335166865488
RENGIA,0,Fe1,3,2.6484772522095934,S1,2.328,2.0993701647027256,0.53906534924713878
RUNROI,0,Fe4,3,2.6582895830788575,S8,2.196,2.0993701647027256,0.77015636215225958
RUNROI,0,Fe4,3,2.6582895830788575,S7,2.205,2.0993701647027256,0.75164883311261843
