    SIQQOY,       Ca1, 2,        S3, 2.886, 0.308
    SIQQOY,       Ca1, 2,        S2, 2.897, 0.299
    SIQQOY,       Ca1, 2,        S1, 2.922, 0.279
    SIQQOY,       Ca1, 2,        S4, 2.969, 0.246
    SIQQOY,       Ca1, 2,        O5, 2.357, 0.349
    SIQQOY,       Ca1, 2,        O4, 2.374, 0.333
    SIQQOY,       Ca1, 2,        O3, 2.346, 0.359
    TAKCEO,       Ca1, 2,       O17, 2.453, 0.269
    TAKCEO,       Ca1, 2,      O16C, 2.545, 0.210
    TAKCEO,       Ca1, 2,       O14, 2.349, 0.356
    TAKCEO,       Ca1, 2,       O20, 2.430, 0.286
    TAKCEO,       Ca1, 2,       O18, 2.324, 0.381
    TAKCEO,       Ca1, 2,       O19, 2.406, 0.305
    TAKCEO,       Ca1, 2,        O6, 2.399, 0.311
    FUJBAN,       Ca2, 2,       N2B, 2.421, 0.468
    FUJBAN,       Ca2, 2,       N3B, 2.439, 0.446
    FUJBAN,       Ca2, 2,       N1B, 2.422, 0.467
    FUJBAN,       Ca2, 2,        N1, 2.422, 0.467
    FUJBAN,       Ca2, 2,        N2, 2.421, 0.468
    FUJBAN,       Ca2, 2,        N3, 2.439, 0.446
    BAHTOV,       Ca1, 2,        O7, 2.334, 0.371
    BAHTOV,       Ca1, 2,        O6, 2.377, 0.330
    BAHTOV,       Ca1, 2,        O5, 2.411, 0.301
    BAHTOV,       Ca1, 2,        O4, 2.404, 0.307
    BAHTOV,       Ca1, 2,        O3, 2.420, 0.294
    BAHTOV,       Ca1, 2,        O2, 2.346, 0.359
    BAHTOV,       Ca1, 2,        O1, 2.364, 0.342
    JOBQUN,       Ca1, 2,        P1, 2.890, 0.399
    JOBQUN,       Ca1, 2,        N1, 2.413, 0.478
    JOBQUN,       Ca1, 2,        N2, 2.400, 0.495
    JOBQUN,       Ca1, 2,        N3, 2.419, 0.470
    JOBQUN,       Ca1, 2,        O2, 2.476, 0.253
    JOBQUN,       Ca1, 2,        O1, 2.350, 0.355
    QOTDUZ,       Ca1, 2,        P1, 3.055, 0.255
    QOTDUZ,       Ca1, 2,       O4A, 2.436, 0.282
    QOTDUZ,       Ca1, 2,       O1B, 2.321, 0.384
    QOTDUZ,       Ca1, 2,        O7, 2.423, 0.292
    QOTDUZ,       Ca1, 2,        O6, 2.385, 0.323
    QOTDUZ,       Ca1, 2,       O3B, 2.343, 0.362
    QOTDUZ,       Ca1, 2,        O2, 2.524, 0.222
    QOTDUZ,       Ca1, 2,        O1, 2.437, 0.281
    ISEQIH,       Ca2, 2,        O5, 2.325, 0.380
    ISEQIH,       Ca2, 2,      O10*, 2.407, 0.304
    ISEQIH,       Ca2, 2,      O15*, 2.398, 0.312
    ADACUE,       Ca1, 2,       O5*, 2.412, 0.300
    ADACUE,       Ca1, 2,       N1C, 2.523, 0.355
    ADACUE,       Ca1, 2,       O6*, 2.374, 0.333
    ADACUE,       Ca1, 2,        O4, 2.384, 0.324
    ADACUE,       Ca1, 2,        O3, 2.455, 0.267
    ADACUE,       Ca1, 2,       O2C, 2.412, 0.300
    ADACUE,       Ca1, 2,        O1, 2.325, 0.380
    YAQVOC,       Ca1, 2,       O17, 2.427, 0.288
    YAQVOC,       Ca1, 2,       O16, 2.411, 0.301
    YAQVOC,       Ca1, 2,       O15, 2.409, 0.303
    YAQVOC,       Ca1, 2,       O10, 2.413, 0.300
    YAQVOC,       Ca1, 2,       O3*, 2.424, 0.291
    YAQVOC,       Ca1, 2,        O5, 2.395, 0.315
    YAQVOC,       Ca1, 2,      O12*, 2.430, 0.286
    NARTOR,       Ca1, 2,       O5*, 2.565, 0.199
    NARTOR,       Ca1, 2,       O11, 2.420, 0.294
    NARTOR,       Ca1, 2,       O10, 2.409, 0.303
    NARTOR,       Ca1, 2,       O9*, 2.342, 0.363
    NARTOR,       Ca1, 2,       O6*, 2.488, 0.245
    NARTOR,       Ca1, 2,        O3, 2.425, 0.290
    NARTOR,       Ca1, 2,       O8A, 2.528, 0.220
    NARTOR,       Ca1, 2,       O9A, 2.564, 0.199
    LONTUD,       Ca1, 2,        O8, 2.416, 0.297
    LONTUD,       Ca1, 2,        O7, 2.418, 0.296
    LONTUD,       Ca1, 2,        O6, 2.436, 0.282
    LONTUD,       Ca1, 2,        O5, 2.429, 0.287
    LONTUD,       Ca1, 2,        O4, 2.510, 0.230
    LONTUD,       Ca1, 2,        O3, 2.513, 0.229
    LONTUD,       Ca1, 2,        O2, 2.514, 0.228
    LONTUD,       Ca1, 2,        O1, 2.502, 0.236
    FEGREP,       Ca1, 2,       O3B, 2.511, 0.230
    FEGREP,       Ca1, 2,       O2B, 2.386, 0.322
    FEGREP,       Ca1, 2,       O4B, 2.593, 0.184
    FEGREP,       Ca1, 2,       O1B, 2.302, 0.404
    FEGREP,       Ca1, 2,        O4, 2.593, 0.184
    FEGREP,       Ca1, 2,        O3, 2.511, 0.230
