    DEWDOY,       Fe1, 2,       N2*, 2.155, 0.352
    DEWDOY,       Fe1, 2,       N3A, 2.142, 0.365
    DEWDOY,       Fe1, 2,        N8, 2.246, 0.275
    DEWDOY,       Fe1, 2,        N1, 2.093, 0.417
    DEWDOY,       Fe1, 2,        O2, 2.120, 0.321
    DEWDOY,       Fe1, 2,        O1, 2.140, 0.304
    BASHOT,       Fe1, 2,       N3A, 2.180, 0.329
    BASHOT,       Fe1, 2,       N3E, 2.180, 0.329
    BASHOT,       Fe1, 2,       N1D, 2.159, 0.349
    BASHOT,       Fe1, 2,        N1, 2.159, 0.349
    BASHOT,       Fe1, 2,        N4, 2.121, 0.386
    BASHOT,       Fe1, 2,       N4D, 2.121, 0.386
  BAXFIR02,       Fe1, 2,       N1B, 2.062, 0.453
  BAXFIR02,       Fe1, 2,        N9, 2.067, 0.447
  BAXFIR02,       Fe1, 2,       N7A, 2.058, 0.458
  BAXFIR02,       Fe1, 2,       N7C, 2.058, 0.458
  BAXFIR02,       Fe1, 2,       N9B, 2.067, 0.447
  BAXFIR02,       Fe1, 2,        N1, 2.062, 0.453
  RATCUL03,       Fe1, 2,       O11, 2.106, 0.334
  RATCUL03,       Fe1, 2,        O9, 2.075, 0.363
  RATCUL03,       Fe1, 2,        O7, 2.155, 0.292
  RATCUL03,       Fe1, 2,        O5, 2.164, 0.285
  RATCUL03,       Fe1, 2,        O3, 2.129, 0.314
  RATCUL03,       Fe1, 2,        O1, 2.134, 0.309
  RATCUL03,       Fe2, 2,       O5C, 2.149, 0.297
  RATCUL03,       Fe2, 2,       O7B, 2.150, 0.296
  RATCUL03,       Fe2, 2,       O1C, 2.149, 0.297
  RATCUL03,       Fe2, 2,      O12C, 2.067, 0.371
  RATCUL03,       Fe2, 2,       O3B, 2.127, 0.315
  RATCUL03,       Fe2, 2,       O2B, 2.081, 0.357
  RATCUL03,       Fe3, 2,       O4B, 2.116, 0.325
  RATCUL03,       Fe3, 2,       O6B, 2.095, 0.344
  RATCUL03,       Fe3, 2,        O9, 2.172, 0.279
  RATCUL03,       Fe3, 2,        O6, 2.095, 0.344
  RATCUL03,       Fe3, 2,        O4, 2.116, 0.325
  RATCUL03,       Fe3, 2,       O9B, 2.172, 0.279
  RATCUL03,       Fe4, 2,       O11, 2.159, 0.289
  RATCUL03,       Fe4, 2,       O10, 2.099, 0.340
  RATCUL03,       Fe4, 2,      O11B, 2.159, 0.289
  RATCUL03,       Fe4, 2,      O10B, 2.099, 0.340
  RATCUL03,       Fe4, 2,        O8, 2.101, 0.338
  RATCUL03,       Fe4, 2,       O8B, 2.101, 0.338
    RESWIW,       Fe2, 2,       N13, 2.215, 0.300
    RESWIW,       Fe2, 2,       N11, 2.190, 0.321
    RESWIW,       Fe2, 2,      N11A, 2.190, 0.321
    RESWIW,       Fe2, 2,        N9, 2.154, 0.353
    RESWIW,       Fe2, 2,      N13A, 2.215, 0.300
    RESWIW,       Fe2, 2,       N9A, 2.154, 0.353
    RESWIW,       Fe1, 2,       N3A, 2.136, 0.371
    RESWIW,       Fe1, 2,       N1A, 2.198, 0.314
    RESWIW,       Fe1, 2,        N1, 2.198, 0.314
    RESWIW,       Fe1, 2,        N3, 2.136, 0.371
    RESWIW,       Fe1, 2,        N5, 2.191, 0.320
    RESWIW,       Fe1, 2,       N5A, 2.191, 0.320
  CIZFEW01,       Fe1, 2,       Cl4, 2.242, 0.611
  CIZFEW01,       Fe1, 2,       Cl2, 2.365, 0.439
  CIZFEW01,       Fe1, 2,       Cl1, 2.733, 0.162
  CIZFEW01,       Fe1, 2,        O1, 2.146, 0.300
  CIZFEW01,       Fe1, 2,       Cl3, 2.356, 0.449
    AGUDIQ,       Fe1, 2,       O10, 2.237, 0.234
    AGUDIQ,       Fe1, 2,        O9, 2.229, 0.239
    AGUDIQ,       Fe1, 2,        N1, 2.091, 0.419
    AGUDIQ,       Fe1, 2,        N2, 2.076, 0.436
    AGUDIQ,       Fe1, 2,        O2, 1.995, 0.451
    AGUDIQ,       Fe1, 2,        O1, 2.009, 0.434
  CIZFEW01,       Fe2, 2,       Cl1, 2.506, 0.300
  CIZFEW01,       Fe2, 2,      Cl3A, 2.488, 0.315
  CIZFEW01,       Fe2, 2,        O3, 2.118, 0.323
  CIZFEW01,       Fe2, 2,        O2, 2.145, 0.300
  CIZFEW01,       Fe2, 2,       Cl2, 2.474, 0.327
  CIZFEW01,       Fe2, 2,      Cl1A, 2.518, 0.290
    HOSRUD,       Fe1, 2,       N2B, 2.153, 0.354
    HOSRUD,       Fe1, 2,       N1B, 2.204, 0.309
    HOSRUD,       Fe1, 2,       O1B, 2.139, 0.305
    HOSRUD,       Fe1, 2,        N1, 2.204, 0.309
    HOSRUD,       Fe1, 2,        N2, 2.153, 0.354
    HOSRUD,       Fe1, 2,        O1, 2.139, 0.305
    TUNKAP,       Fe1, 2,       N2A, 2.200, 0.312
    TUNKAP,       Fe1, 2,       O1A, 2.152, 0.295
    TUNKAP,       Fe1, 2,        N2, 2.200, 0.312
