    JAFKIK,       Fe1, 3,        N1, 2.075, 0.495
    JAFKIK,       Fe1, 3,        N2, 2.078, 0.491
    JAFKIK,       Fe1, 3,        N3, 2.079, 0.490
    JAFKIK,       Fe1, 3,        N4, 2.064, 0.510
    JAFKIK,       Fe1, 3,        O1, 1.875, 0.743
    TALREE,       Fe1, 3,       O16, 2.019, 0.503
    TALREE,       Fe1, 3,       O13, 1.943, 0.618
    TALREE,       Fe1, 3,       O11, 2.064, 0.446
    TALREE,       Fe1, 3,        O9, 2.007, 0.520
    TALREE,       Fe1, 3,        O6, 1.932, 0.637
    TALREE,       Fe1, 3,        O4, 2.035, 0.482
    GIYPUZ,       Fe1, 3,        F1, 1.910, 0.536
    GIYPUZ,       Fe1, 3,        F2, 1.914, 0.530
    GIYPUZ,       Fe1, 3,        F3, 1.886, 0.572
    GIYPUZ,       Fe1, 3,        F4, 1.939, 0.495
    GIYPUZ,       Fe1, 3,        F5, 1.912, 0.533
    GIYPUZ,       Fe1, 3,        O1, 2.084, 0.422
    PETDAT,       Fe1, 3,        O3, 1.965, 0.582
    PETDAT,       Fe1, 3,        N1, 2.060, 0.516
    PETDAT,       Fe1, 3,        O5, 1.978, 0.562
    PETDAT,       Fe1, 3,        N3, 2.205, 0.349
    PETDAT,       Fe1, 3,        N4, 2.200, 0.353
    PETDAT,       Fe1, 3,        N2, 2.067, 0.506
    QEHJIW,       Fe6, 3,       O17, 2.226, 0.288
    QEHJIW,       Fe6, 3,       O12, 1.948, 0.610
    QEHJIW,       Fe6, 3,       O10, 2.062, 0.448
    QEHJIW,       Fe6, 3,       Cl6, 2.287, 0.587
    QEHJIW,       Fe6, 3,        O3, 2.062, 0.448
    QEHJIW,       Fe6, 3,        O2, 1.946, 0.613
    QEHJIW,       Fe7, 3,       O10, 2.228, 0.286
    QEHJIW,       Fe7, 3,       O18, 2.075, 0.433
    QEHJIW,       Fe7, 3,        O7, 2.197, 0.311
    QEHJIW,       Fe7, 3,        N1, 2.127, 0.430
    QEHJIW,       Fe7, 3,        N2, 2.077, 0.493
    QEHJIW,       Fe7, 3,        O3, 2.182, 0.324
    QEHJIW,       Fe4, 3,       O17, 2.345, 0.209
    QEHJIW,       Fe4, 3,       O16, 1.993, 0.540
    QEHJIW,       Fe4, 3,       O14, 1.981, 0.558
    QEHJIW,       Fe4, 3,       Cl4, 2.260, 0.632
