    POQNOY,        K1, 1,       O3A, 2.664, 0.237
    POQNOY,        K1, 1,        O7, 2.700, 0.215
    POQNOY,        K1, 1,        O5, 2.730, 0.199
    POQNOY,        K1, 1,        O2, 2.746, 0.190
    POQNOY,        K1, 1,        O1, 2.695, 0.218
    PUVYOV,        K1, 1,        O6, 2.754, 0.186
    PUVYOV,        K1, 1,        N1, 2.758, 0.260
    PUVYOV,        K1, 1,        O5, 2.822, 0.155
    PUVYOV,        K1, 1,        O4, 2.836, 0.149
    PUVYOV,        K1, 1,        O3, 2.877, 0.134
    PUVYOV,        K1, 1,        O2, 2.780, 0.174
    PUVYOV,        K1, 1,        O1, 2.854, 0.142
    HILPIB,        K1, 1,       O4D, 2.764, 0.181
    HILPIB,        K1, 1,       O4E, 2.657, 0.242
    HILPIB,        K1, 1,        O2, 2.856, 0.141
    HILPIB,        K1, 1,        O5, 2.828, 0.152
    HILPIB,        K1, 1,        O4, 3.215, 0.054
    HILPIB,        K1, 1,       O2D, 3.216, 0.053
    HILPIB,        K1, 1,       O3C, 2.734, 0.197
    HILPIB,        K1, 1,       O3F, 2.955, 0.108
    YOKDUY,        K1, 1,       O2D, 2.788, 0.170
    YOKDUY,        K1, 1,       N3C, 2.709, 0.297
    YOKDUY,        K1, 1,        N2, 2.678, 0.323
    YOKDUY,        K1, 1,        O1, 2.658, 0.241
    YOKDUY,        K1, 1,        O2, 2.685, 0.224
    YAMYUG,        K1, 1,        O8, 2.770, 0.178
    YAMYUG,        K1, 1,        O7, 2.827, 0.153
    YAMYUG,        K1, 1,        O6, 2.864, 0.138
    YAMYUG,        K1, 1,        O5, 2.828, 0.152
    YAMYUG,        K1, 1,        O4, 2.878, 0.133
    YAMYUG,        K1, 1,        O3, 2.792, 0.168
    YAMYUG,        K1, 1,        O2, 2.835, 0.150
    MILVEI,        K1, 1,       O4*, 2.787, 0.170
    MILVEI,        K1, 1,       O7*, 2.862, 0.139
    MILVEI,        K1, 1,       O2*, 3.047, 0.084
    MILVEI,        K1, 1,        O9, 2.888, 0.130
    MILVEI,        K1, 1,       O6*, 2.785, 0.171
    MILVEI,        K1, 1,       O2B, 2.777, 0.175
    MILVEI,        K1, 1,       O9B, 2.961, 0.106
    MILVEI,        K1, 1,        O1, 2.825, 0.154
    GOXWOF,        K1, 1,       N2B, 2.973, 0.146
    GOXWOF,        K1, 1,       O1B, 2.644, 0.251
    GOXWOF,        K1, 1,        N2, 2.973, 0.146
    GOXWOF,        K1, 1,       O2B, 2.854, 0.142
    GOXWOF,        K1, 1,        O2, 2.854, 0.142
    GOXWOF,        K1, 1,        O1, 2.644, 0.251
    PAYSAJ,        K1, 1,        S1, 3.136, 0.229
    PAYSAJ,        K1, 1,        O6, 2.799, 0.165
    PAYSAJ,        K1, 1,        O5, 2.860, 0.140
    PAYSAJ,        K1, 1,        O4, 2.847, 0.145
    PAYSAJ,        K1, 1,        O3, 2.965, 0.105
    PAYSAJ,        K1, 1,        O2, 2.763, 0.182
    PAYSAJ,        K1, 1,        O1, 2.958, 0.107
