    MIKJEW,       Na1, 1,       O4I, 2.335, 0.237
    MIKJEW,       Na1, 1,       O4A, 2.335, 0.237
    MIKJEW,       Na1, 1,       O4E, 2.335, 0.237
    MIKJEW,       Na1, 1,       O3H, 2.647, 0.102
    MIKJEW,       Na1, 1,        O3, 2.647, 0.102
    MIKJEW,       Na1, 1,       O3D, 2.647, 0.102
  RUWMUR04,       Na1, 1,       O4C, 2.460, 0.169
  RUWMUR04,       Na1, 1,       O4F, 2.580, 0.122
  RUWMUR04,       Na1, 1,       O5E, 2.385, 0.207
  RUWMUR04,       Na1, 1,        O5, 2.364, 0.220
  RUWMUR04,       Na1, 1,       O2D, 2.578, 0.123
  RUWMUR04,       Na1, 1,        O1, 2.454, 0.172
    TAGHOA,       Na1, 1,        O7, 2.299, 0.262
    TAGHOA,       Na1, 1,        O6, 2.834, 0.062
    TAGHOA,       Na1, 1,        O2, 2.557, 0.130
    TAGHOA,       Na1, 1,        O1, 2.646, 0.102
    DELLOV,       Na1, 1,        N1, 2.469, 0.233
    DELLOV,       Na1, 1,        N2, 2.453, 0.243
    DELLOV,       Na1, 1,        N3, 2.511, 0.208
    DELLOV,       Na1, 1,        P1, 2.840, 0.273
    JOBBUX,       Na2, 1,       N2B, 2.446, 0.248
    JOBBUX,       Na2, 1,       N1B, 2.709, 0.122
    JOBBUX,       Na2, 1,        N1, 2.709, 0.122
    JOBBUX,       Na2, 1,        N2, 2.446, 0.248
    JOBBUX,       Na2, 1,       N4B, 2.510, 0.209
    JOBBUX,       Na2, 1,        N4, 2.510, 0.209
    FONQIJ,       Na1, 1,        O6, 2.295, 0.265
    FONQIJ,       Na1, 1,       O4A, 2.278, 0.277
    FONQIJ,       Na1, 1,        O1, 2.298, 0.262
    FONQIJ,       Na1, 1,       O2A, 2.221, 0.323
    ZANROX,       Na1, 1,       O4B, 2.403, 0.198
    ZANROX,       Na1, 1,       O6B, 2.387, 0.206
    ZANROX,       Na1, 1,        O6, 2.519, 0.144
    ZANROX,       Na1, 1,        O5, 2.424, 0.187
    ZANROX,       Na1, 1,        O4, 2.514, 0.146
    ZANROX,       Na1, 1,        O2, 2.363, 0.220
    YALWOY,       Na1, 1,       O3C, 2.332, 0.239
    YALWOY,       Na1, 1,        O2, 2.459, 0.170
    YALWOY,       Na1, 1,        O3, 2.332, 0.239
    YALWOY,       Na1, 1,       O2C, 2.459, 0.170
    YALWOY,       Na1, 1,       Cl1, 2.624, 0.278
    FEKWUO,       Na1, 1,        O7, 2.423, 0.187
    FEKWUO,       Na1, 1,        I1, 3.031, 0.280
    FEKWUO,       Na1, 1,        O5, 2.318, 0.249
    FEKWUO,       Na1, 1,        O3, 2.484, 0.159
    FEKWUO,       Na1, 1,        O1, 2.272, 0.282
    QUHRUG,       Na1, 1,       O1A, 2.401, 0.199
    QUHRUG,       Na1, 1,        O1, 2.384, 0.208
    QUHRUG,       Na1, 1,       O2A, 2.368, 0.217
    WIDBOA,       Na1, 1,       O1A, 2.519, 0.144
    WIDBOA,       Na1, 1,       O3A, 2.497, 0.153
    WIDBOA,       Na1, 1,        N1, 2.610, 0.159
    WIDBOA,       Na1, 1,        O5, 2.463, 0.168
    WIDBOA,       Na1, 1,        O3, 2.614, 0.112
